set_id,outfile,site,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing
0,deka_CC_252.out,deka,1997-12-31,1997,42.258,0,42.258,0,0,1628.374,125.000,200,0,3.771,549.486,182.168,0.999,2,1,2062.932,5550.4,44,0.327,0.348
0,deka_CC_252.out,deka,1998-12-31,1998,257.783,257.783,0,8.5,8.5,1518.818,132.000,197,256,5.042,766.385,342.024,1.918,2,1.77,2221.003,282.1,4.2,0.334,0.338
0,deka_CC_252.out,deka,1999-12-31,1999,166.873,166.873,0,8.2,8.2,1328.223,128.000,192,248,2.144,605.976,197.468,1.994,1.993,1.536,1982.447,2992.1,20.9,0.332,0.358
0,deka_CC_252.out,deka,2000-12-31,2000,195.716,195.716,0,4.5,4.5,1484.816,126.000,195,258,3.57,711.349,312.719,1.974,1.999,1.804,2142.113,1648.3,14.5,0.337,0.329
0,deka_CC_252.out,deka,2001-12-31,2001,190.987,190.987,0,8.6,0,1523.285,122.000,196,252,5.526,590.744,355.086,1.719,1.998,1.636,2371.85,4793.6,45.9,0.322,0.342
0,deka_CC_252.out,deka,2002-12-31,2002,207.093,207.093,0,8.6,8.6,1467.222,120.000,192,244,4.135,582.937,305.912,1.86,1.995,1.729,1901.776,5029.7,58.9,0.318,0.345
0,deka_CC_252.out,deka,2003-12-31,2003,173.591,173.591,0,8.6,8.6,1554.417,121.000,197,255,3.895,646.655,298.677,1.716,1.999,1.734,2583.544,1739.1,15.3,0.316,0.225
0,deka_CC_252.out,deka,2004-12-31,2004,285.471,285.471,0,7.6,7.6,1426.048,119.000,189,254,5.146,654.728,323.878,1.902,1.997,1.675,2114.37,2814.5,34.8,0.326,0.293
0,deka_CC_252.out,deka,2005-12-31,2005,216.179,216.179,0,8.5,8.5,1529.636,126.000,197,255,3.915,624.001,354.208,1.664,2,1.8,2482.767,4099.6,36.4,0.304,0.318
0,deka_CC_252.out,deka,2006-12-31,2006,251.594,251.594,0,8.6,8.6,1542.82,120.000,199,260,5.69,677.851,375.192,1.746,2,1.872,2110.579,3426.6,35.9,0.362,0.324
0,deka_CC_252.out,deka,2007-12-31,2007,259.164,259.164,0,8.6,8.6,1541.807,119.000,193,251,5.301,697.192,390.125,1.977,2,1.824,2126.525,2707.4,32.2,0.359,0.345
0,deka_CC_252.out,deka,2008-12-31,2008,268.975,268.975,0,7.1,7.1,1279.821,130.000,206,274,4.657,629.165,326.654,1.98,1.995,1.758,1810.881,3887.2,36.4,0.364,0.349
0,deka_CS_252.out,deka,1997-12-31,1997,45.98,0,45.98,0,0,1618.407,125.000,201,0,4.267,554.577,200.049,0.997,2,1,2071.996,4126.5,32.7,0.327,0.348
0,deka_CS_252.out,deka,1998-12-31,1998,248.441,248.441,0,8.5,8.5,1512.061,139.000,205,265,5.179,781.34,335.867,1.89,2,1.81,2279.074,214.2,3.2,0.332,0.327
0,deka_CS_252.out,deka,1999-12-31,1999,163.425,163.425,0,8.2,8.2,1331.876,128.000,192,248,2.089,605.765,193.198,1.994,1.993,1.534,1983.153,3034.9,24.1,0.331,0.358
0,deka_CS_252.out,deka,2000-12-31,2000,55.454,0,55.454,0,0,1574.269,128.000,192,0,8.109,715.562,277.724,0.998,2,1,2081.202,1600,14.1,0.338,0.332
0,deka_CS_252.out,deka,2001-12-31,2001,174.763,174.763,0,8.6,0,1550.383,122.000,201,261,4.356,694.199,350.63,1.653,2,1.68,2720.102,1298.9,24,0.315,0.325
0,deka_CS_252.out,deka,2002-12-31,2002,21.456,0,21.456,0,0,1549.27,122.000,193,268,1.241,562.453,98.124,1,2,1,1854.719,5249.3,59.8,0.312,0.341
0,deka_CS_252.out,deka,2003-12-31,2003,164.265,164.265,0,8.6,8.6,1558.312,121.000,198,255,3.286,661.716,283.024,1.68,1.999,1.734,2775.177,237.5,2.5,0.313,0.151
0,deka_CS_252.out,deka,2004-12-31,2004,71.563,0,71.563,0,0,1622.399,121.000,192,0,8.626,723.024,322.78,0.945,2,1,2205.272,2605.9,31.9,0.312,0.275
0,deka_CS_252.out,deka,2005-12-31,2005,160.809,160.809,0,8.5,8.5,1466.77,126.000,203,263,2.789,612.288,304.112,1.582,2,1.842,2774.94,1516.5,23.9,0.302,0.191
0,deka_CS_252.out,deka,2006-12-31,2006,53.169,0,53.169,0,0,1642.494,126.000,197,0,6.333,665.398,243.529,0.926,2,1,2130.937,3341.3,35.8,0.358,0.321
0,deka_CS_252.out,deka,2007-12-31,2007,254.498,254.498,0,8.6,8.6,1549.476,119.000,193,251,4.997,761.871,384.58,1.954,2,1.833,2385.021,349.9,6.7,0.358,0.331
0,deka_CS_252.out,deka,2008-12-31,2008,55.556,0,55.556,0,0,1456.297,119.000,202,0,7.625,631.432,270.816,0.997,2,1,1427.453,3902.5,36.5,0.365,0.348
0,deka_SC_252.out,deka,1997-12-31,1997,45.98,0,45.98,0,0,1618.407,125.000,201,0,4.267,554.577,200.049,0.997,2,1,2071.996,4126.5,32.7,0.327,0.348
0,deka_SC_252.out,deka,1998-12-31,1998,245.842,245.842,0,8.5,8.5,1526.641,110.000,186,243,4.865,718.882,328.153,1.966,1.999,1.718,2092.893,717.5,10.9,0.34,0.34
0,deka_SC_252.out,deka,1999-12-31,1999,68.333,0,68.333,0,0,1593.037,110.000,188,282,6.96,710.772,316.025,0.903,2,1,1955.192,2836.6,20.3,0.314,0.356
0,deka_SC_252.out,deka,2000-12-31,2000,195.716,195.716,0,4.5,4.5,1533.272,126.000,195,258,3.576,711.424,312.838,1.922,2,1.801,2631.802,1125.3,13.9,0.332,0.289
0,deka_SC_252.out,deka,2001-12-31,2001,40.873,0,40.873,0,0,1662.164,126.000,198,0,5.523,605.757,235.563,0.885,2,1,2185.666,4798.3,43.7,0.315,0.34
0,deka_SC_252.out,deka,2002-12-31,2002,215.117,215.117,0,8.6,8.6,1491.752,120.000,192,244,4.422,732.111,342.16,1.738,1.997,1.773,2251.985,896.3,15.7,0.305,0.311
0,deka_SC_252.out,deka,2003-12-31,2003,49.713,0,49.713,0,0,1601.615,120.000,196,0,7.815,673.209,292.821,0.775,2,1,2718.637,2152.9,19.4,0.298,0.197
0,deka_SC_252.out,deka,2004-12-31,2004,283.715,283.715,0,7.6,7.6,1523.401,119.000,189,254,5.043,699.551,319.072,1.806,1.998,1.673,2690.63,740.8,8.6,0.318,0.165
0,deka_SC_252.out,deka,2005-12-31,2005,50.063,0,50.063,0,0,1628.523,119.000,191,269,5.465,616.553,302.876,0.767,2,1,2550.613,4203.2,36.6,0.296,0.313
0,deka_SC_252.out,deka,2006-12-31,2006,230.946,230.946,0,8.6,8.6,1575.313,120.000,200,261,4.935,724.651,337.643,1.673,2,1.856,2708.173,980.1,9.1,0.359,0.278
0,deka_SC_252.out,deka,2007-12-31,2007,62.451,0,62.451,0,0,1500.854,120.000,187,268,8.556,709.537,327.434,1,1.999,1,1490.385,2505.5,25.8,0.359,0.342
0,deka_SC_252.out,deka,2008-12-31,2008,271.291,271.291,0,7.1,7.1,1509.323,130.000,206,274,4.909,758.248,343.637,1.965,1.998,1.796,2097.194,643,9.7,0.362,0.325
