set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1006,ames_CC_270.out,1996-12-31,1996,253.27,253.27,0,7.9,7.9,1501.719,129,198,255,4.992,759.643,334.108,1.994,1.914,1.75,1384.644,1176.3,10.5,0.352,0.306,normal
1006,ames_CC_270.out,1997-12-31,1997,50.367,0,50.367,0,0,1512.796,129,186,258,3.773,581.857,215.483,1,1.93,1,1374.772,4287.2,33,0.345,0.345,normal
1006,ames_CC_270.out,1998-12-31,1998,241.145,241.145,0,7.9,7.9,1177.56,126,192,244,3.772,750.871,306.81,1.994,1.905,1.672,1405.443,478.1,5.4,0.341,0.342,normal
1006,ames_CC_270.out,1999-12-31,1999,220.031,220.031,0,7.9,7.9,1440.952,146,207,269,4.28,738.174,300.842,1.994,1.893,1.813,1222.947,1225.2,9,0.341,0.366,normal
1006,ames_CC_270.out,2000-12-31,2000,158.037,158.037,0,7.4,7.4,1528.211,132,200,255,3.998,655.89,285.087,1.993,1.947,1.882,1599.765,2595.5,22.3,0.352,0.317,normal
1006,ames_CC_270.out,2001-12-31,2001,210.541,210.541,0,6.5,6.5,1534.181,134,199,248,4.471,635.67,293.816,1.994,1.93,1.734,1486.906,2992,27.5,0.347,0.357,normal
1006,ames_CC_270.out,2002-12-31,2002,235.726,235.726,0,7.9,7.9,1516.278,130,195,248,4.882,730.439,342.173,1.992,1.944,1.786,1503.911,1743,14.9,0.339,0.348,normal
1006,ames_CC_270.out,2003-12-31,2003,224.576,224.576,0,7.8,7.8,1268.377,126,198,253,3.832,674.83,366.498,1.982,1.896,1.743,1327.481,3769.5,32.4,0.349,0.343,normal
1006,ames_CC_270.out,2004-12-31,2004,257.833,257.833,0,8,8,1503.283,127,201,266,4.103,643.642,288.237,1.994,1.909,1.855,1318.387,2462.7,21.3,0.346,0.354,normal
1006,ames_CC_270.out,2005-12-31,2005,253.789,253.789,0,8,8,1530.302,131,199,253,5.139,752.009,386.289,1.992,1.939,1.763,1509.59,2287.6,19.7,0.347,0.336,normal
1006,ames_CC_270.out,2006-12-31,2006,236.957,236.957,0,8,8,1584.153,138,201,256,5.002,671.188,343.861,1.974,1.971,1.779,1687.136,2836,24.6,0.354,0.351,normal
1006,ames_CC_270.out,2007-12-31,2007,221.01,221.01,0,8,8,1561.902,139,203,256,5.207,708.716,333.951,1.99,1.948,1.798,1502.203,2011.1,17.8,0.349,0.367,normal
1006,ames_CC_270.out,2008-12-31,2008,227.684,227.684,0,7.4,7.4,1272.259,142,211,279,4.113,678.436,310.765,1.994,1.843,1.802,1137.278,2610.8,23,0.355,0.371,normal
1006,ames_CC_270.out,2009-12-31,2009,238.5,238.5,0,8,8,1504.751,133,203,266,4.434,597.353,276.485,1.994,1.923,1.858,1364.563,3394.7,29,0.357,0.356,normal
1006,ames_CC_270.out,2010-12-31,2010,167.3,167.3,0,8,8,961.875,127,195,243,2.814,649.194,231.675,1.994,1.785,1.742,852.79,1683.6,14.5,0.349,0.341,normal
1006,ames_CC_270.out,2011-12-31,2011,212.707,212.707,0,7.9,7.9,1512.176,139,204,260,4.359,620.801,255.994,1.994,1.923,1.772,1485.973,2160.3,17.4,0.349,0.339,normal
1006,ames_CC_270.out,2012-12-31,2012,200.299,200.299,0,7.9,7.9,1561.864,137,195,244,4.674,839.822,423.852,1.764,1.991,1.773,1798.193,1018.6,8.9,0.344,0.356,normal
1006,ames_CC_270.out,2013-12-31,2013,152.631,152.631,0,7.9,7.9,1550.492,150,211,265,4.892,693.184,349.936,1.938,1.965,1.861,1602.441,2693,26.5,0.335,0.355,normal
1006,ames_CC_270.out,2014-12-31,2014,168.64,168.64,0,7.9,7.9,1099.323,134,203,262,2.705,577.702,211.355,1.994,1.815,1.797,903.319,2605.5,26.9,0.352,0.362,normal
1006,ames_CC_270.out,2015-12-31,2015,220.472,220.472,0,8.9,8.9,1363.574,141,206,263,4.577,716.922,288.085,1.993,1.871,1.864,1203.912,1158.6,9.6,0.375,0.333,normal
1006,ames_CC_270.out,2016-12-31,2016,213.362,213.362,0,8.6,8.6,1562.262,127,192,243,5.278,697.338,307.128,1.994,1.92,1.742,1396.031,1592.3,13.3,0.351,0.332,normal
1006,ames_CS_270.out,1996-12-31,1996,64.78,0,64.78,0,0,1501.621,?,187,269,6.229,758.574,257.763,1,1,1,1312.189,1159.2,10.3,0.352,0.307,normal
1006,ames_CS_270.out,1997-12-31,1997,233.35,233.35,0,7.9,7.353,1560.052,127.000,196,250,5.162,786.874,355.188,1.98,1.973,1.73,1783.367,966.4,11.5,0.347,0.32,normal
1006,ames_CS_270.out,1998-12-31,1998,43.772,0,43.772,0,0,1182.092,127.000,182,247,3.787,586.246,199.572,1,1.902,1,1123.766,4212.3,29.1,0.336,0.356,normal
1006,ames_CS_270.out,1999-12-31,1999,221.857,221.857,0,7.9,7.9,1518.805,146.000,207,269,4.437,831.433,305.916,1.994,1.914,1.825,1321.314,199.4,2,0.341,0.352,normal
1006,ames_CS_270.out,2000-12-31,2000,48.722,0,48.722,0,0,1545.898,146.000,186,254,4.466,696.456,231.908,1,1.956,1,1632.852,2577.8,22.3,0.349,0.313,normal
1006,ames_CS_270.out,2001-12-31,2001,211.291,211.291,0,7.5,7.5,1548.531,134.000,199,248,4.844,726.95,307.874,1.991,1.949,1.743,1631.425,487.5,5.2,0.347,0.337,normal
1006,ames_CS_270.out,2002-12-31,2002,43.58,0,43.58,0,0,1349.966,134.000,183,251,3.392,563.843,214.233,1,1.834,1,1114.557,5817.1,65.3,0.335,0.361,normal
1006,ames_CS_270.out,2003-12-31,2003,233.497,233.497,0,7.8,7.8,1517.221,126.000,198,253,4.274,808.485,382.591,1.981,1.938,1.752,1547.46,835.2,8.5,0.349,0.316,normal
1006,ames_CS_270.out,2004-12-31,2004,43.887,0,43.887,0,0,1526.909,126.000,196,0,3.629,644.009,165.443,1,1.957,1,1210.277,2729.5,23.6,0.341,0.342,normal
1006,ames_CS_270.out,2005-12-31,2005,249.608,249.608,0,8,7.397,1565.814,131.000,199,253,5.179,870.852,389.245,1.98,1.964,1.771,1698.342,336.2,5.6,0.347,0.311,normal
1006,ames_CS_270.out,2006-12-31,2006,61.661,0,61.661,0,0,1592.39,131.000,193,275,6.482,678.332,288.18,1,1.916,1,1653.781,2749.8,25.3,0.351,0.345,normal
1006,ames_CS_270.out,2007-12-31,2007,220.841,220.841,0,8,7.801,1576.549,139.000,203,256,5.205,824.699,335.349,1.984,1.962,1.805,1637.221,324.1,4.4,0.349,0.347,normal
1006,ames_CS_270.out,2008-12-31,2008,53.218,0,53.218,0,0,1253.242,139.000,195,0,4.214,625.098,218.343,1,1.833,1,951.421,2873.2,25.4,0.354,0.363,normal
1006,ames_CS_270.out,2009-12-31,2009,239.221,239.221,0,8,8,1517.425,133.000,203,266,4.724,751.862,282.254,1.994,1.958,1.869,1583.824,347.7,4.3,0.357,0.329,normal
