set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1004,ames_CC_270.out,1996-12-31,1996,253.27,253.27,0,7.9,7.9,1501.719,129,198,255,4.992,759.643,334.108,1.994,1.914,1.75,1384.644,1176.3,10.5,0.352,0.306,reduced
1004,ames_CC_270.out,1997-12-31,1997,50.367,0,50.367,0,0,1512.796,129,186,258,3.773,581.857,215.483,1,1.93,1,1374.772,4287.2,33,0.345,0.345,reduced
1004,ames_CC_270.out,1998-12-31,1998,241.145,241.145,0,7.9,7.9,1177.56,126,192,244,3.772,750.871,306.81,1.994,1.905,1.672,1405.443,478.1,5.4,0.341,0.342,reduced
1004,ames_CC_270.out,1999-12-31,1999,218.26,218.26,0,7.9,7.644,1442.898,146,207,269,4.203,725.104,298.193,1.994,1.892,1.813,1222.302,1225.2,9,0.343,0.366,reduced
1004,ames_CC_270.out,2000-12-31,2000,153.306,153.306,0,7.4,7.4,1443.268,132,200,255,3.535,523.671,272.273,1.993,1.904,1.872,1355.057,5828.6,50.2,0.353,0.339,reduced
1004,ames_CC_270.out,2001-12-31,2001,207.901,207.901,0,6.5,6.379,1508.012,134,199,248,4.334,564.031,288.024,1.994,1.914,1.728,1399.25,5242.6,46.7,0.345,0.362,reduced
1004,ames_CC_270.out,2002-12-31,2002,233.691,233.691,0,7.9,7.695,1508.096,130,195,248,4.648,629.433,333.321,1.993,1.919,1.778,1344.51,4164.7,35.4,0.34,0.356,reduced
1004,ames_CC_270.out,2003-12-31,2003,155.663,155.663,0,7.8,4.842,1120.766,126,198,254,2.286,556.853,256.822,1.994,1.863,1.744,1177.078,5473.9,46.9,0.349,0.346,reduced
1004,ames_CC_270.out,2004-12-31,2004,254.669,254.669,0,8,8,1500.787,127,201,266,3.862,548.465,280.146,1.994,1.884,1.85,1211.368,5095.8,43.9,0.347,0.359,reduced
1004,ames_CC_270.out,2005-12-31,2005,235.439,235.439,0,8,6.738,1505.074,131,199,253,4.483,621.453,359.918,1.994,1.902,1.755,1319.423,5459.4,47.1,0.348,0.349,reduced
1004,ames_CC_270.out,2006-12-31,2006,237.01,237.01,0,8,8,1539.147,138,201,256,4.855,540.794,338.526,1.992,1.948,1.775,1525.612,6908.3,60.3,0.357,0.357,reduced
1004,ames_CC_270.out,2007-12-31,2007,212.552,212.552,0,8,6.391,1519.579,139,202,256,4.574,558.03,309.708,1.993,1.906,1.79,1314.753,5828,49.9,0.35,0.378,reduced
1004,ames_CC_270.out,2008-12-31,2008,189.326,189.326,0,7.4,5.623,1177.03,142,211,279,3.154,548.2,264.053,1.994,1.817,1.799,1027.563,5767.9,49.1,0.355,0.384,reduced
1004,ames_CC_270.out,2009-12-31,2009,236.778,236.778,0,8,7.957,1503.24,133,203,266,4.179,487.534,270.353,1.994,1.899,1.852,1234.88,6520,55.8,0.358,0.365,reduced
1004,ames_CC_270.out,2010-12-31,2010,128.347,128.347,0,8,6.692,907.67,127,195,243,1.979,499.923,174.428,1.994,1.74,1.733,700.061,5691.8,48.9,0.35,0.355,reduced
1004,ames_CC_270.out,2011-12-31,2011,211.479,211.479,0,7.9,7.9,1494.753,139,204,260,4.265,561.564,253.86,1.994,1.914,1.77,1410.741,3488.6,28.4,0.351,0.346,reduced
1004,ames_CC_270.out,2012-12-31,2012,198.299,198.299,0,7.9,7.9,1527.608,137,195,244,4.467,673.439,413.469,1.888,1.965,1.767,1671.686,4925.3,43.2,0.347,0.372,reduced
1004,ames_CC_270.out,2013-12-31,2013,129.01,129.01,0,7.9,5.198,1506.003,150,211,265,3.862,512.006,308.601,1.989,1.929,1.85,1424.716,6771.6,61.6,0.339,0.372,reduced
1004,ames_CC_270.out,2014-12-31,2014,138.521,138.521,0,7.9,6.891,1077.984,134,205,265,1.974,429.102,167.277,1.994,1.766,1.801,768.797,7778.8,75.1,0.353,0.383,reduced
1004,ames_CC_270.out,2015-12-31,2015,219.302,219.302,0,8.9,8.9,1291.78,141,206,263,4.44,649.314,284.899,1.993,1.861,1.861,1101.479,2069,17.3,0.376,0.343,reduced
1004,ames_CC_270.out,2016-12-31,2016,212.308,212.308,0,8.6,8.6,1509.383,127,192,243,5.168,580.797,301.281,1.994,1.9,1.737,1236.994,4599,38.4,0.352,0.346,reduced
1004,ames_CS_270.out,1996-12-31,1996,64.78,0,64.78,0,0,1511.504,?,187,269,6.229,746.83,257.763,1,1,1,1291.823,1532.8,13.6,0.352,0.313,reduced
