set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1002,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,normal
1002,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1268.745,126.000,193,247,3.23,699.933,270.823,1.994,1.861,1.714,1631.323,412.2,5.9,0.297,0.295,normal
1002,nash_CC_270.out,1999-12-31,1999,57.247,0,57.247,0,0,1338.995,126.000,185,266,4.593,724.448,254.349,1,1.76,1,1133.011,2152.4,17.7,0.283,0.308,normal
1002,nash_CC_270.out,2000-12-31,2000,226.188,226.188,0,8,8,1513.862,126.000,196,254,3.904,739.172,309.709,1.99,1.936,1.761,2123.118,761.2,8.9,0.319,0.244,normal
1002,nash_CC_270.out,2001-12-31,2001,51.31,0,51.31,0,0,1545.944,126.000,188,270,4.178,628.248,231.355,1,1.956,1,1670.01,2894.8,22.6,0.281,0.302,normal
1002,nash_CC_270.out,2002-12-31,2002,250.23,250.23,0,8,8,1434.5,128.000,192,247,4.794,782.813,336.807,1.942,1.978,1.733,2212.517,418.3,5,0.291,0.285,normal
1002,nash_CC_270.out,2003-12-31,2003,60.459,0,60.459,0,0,1406.934,128.000,190,0,5.46,655.544,299.077,0.949,1.932,1,1673.437,2842.8,21.8,0.267,0.306,normal
1002,nash_CC_270.out,2004-12-31,2004,213.086,213.086,0,8,8,1226.359,129.000,200,263,3.311,695.935,256.515,1.994,1.858,1.795,1509.43,719.5,8.5,0.297,0.288,normal
1002,nash_CC_270.out,2005-12-31,2005,206.786,206.786,0,8.7,5.635,1287.011,128.000,198,254,2.853,689.59,271.353,1.994,1.845,1.806,1372.208,2271.5,19.4,0.303,0.311,normal
1002,nash_CC_270.out,2006-12-31,2006,193.093,193.093,0,8.7,8.616,1532.492,127.000,199,256,4.816,679.233,314.554,1.969,1.931,1.834,1915.787,1761.8,14.7,0.312,0.303,normal
1002,nash_CC_270.out,2007-12-31,2007,238.328,238.328,0,8.7,8.7,1474.3,130.000,198,254,4.921,654.115,328.757,1.993,1.863,1.858,1442.03,3465,32.6,0.307,0.311,normal
1002,nash_CC_270.out,2008-12-31,2008,231.565,231.565,0,8.7,8.7,1307.318,137.000,207,270,4.044,635.391,291.628,1.994,1.864,1.872,1514.387,2967.2,25,0.314,0.336,normal
