set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1011,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,normal
1011,nash_CC_270.out,1998-12-31,1998,196.597,196.597,0,8,6.812,1252.966,126.000,193,247,2.892,698.561,254.193,1.994,1.861,1.715,1618.833,412.2,5.9,0.296,0.295,normal
1011,nash_CC_270.out,1999-12-31,1999,60.175,0,60.175,0,0,1344.109,126.000,185,266,4.904,749.4,269.005,1,1.759,1,1154.853,1820.8,15.1,0.283,0.307,normal
1011,nash_CC_270.out,2000-12-31,2000,214.642,214.642,0,8,6.744,1513.671,126.000,196,254,3.471,733.791,291.675,1.993,1.935,1.762,2114.534,795.2,9.4,0.319,0.247,normal
1011,nash_CC_270.out,2001-12-31,2001,54.653,0,54.653,0,0,1559.041,126.000,188,270,4.633,653.559,249.362,1,1.956,1,1738.835,2547.4,21.9,0.28,0.301,normal
1011,nash_CC_270.out,2002-12-31,2002,239.951,239.951,0,8,6.285,1434.5,128.000,192,247,4.287,774.717,318.514,1.956,1.977,1.733,2187.922,447.6,5.4,0.291,0.285,normal
1011,nash_CC_270.out,2003-12-31,2003,62.467,0,62.467,0,0,1427.705,128.000,190,0,5.989,681.46,310.348,0.928,1.93,1,1741.829,2499,21,0.265,0.304,normal
1011,nash_CC_270.out,2004-12-31,2004,195.015,195.015,0,8,6.609,1238.258,129.000,200,263,2.854,690.123,234.075,1.994,1.855,1.796,1491.315,733.5,8.6,0.298,0.289,normal
1011,nash_CC_270.out,2005-12-31,2005,225.516,225.516,0,8.7,6.632,1305.272,128.000,198,254,3.344,710.786,297.322,1.994,1.853,1.808,1413.983,1866,16,0.303,0.309,normal
1011,nash_CC_270.out,2006-12-31,2006,174.05,174.05,0,8.7,6.699,1526.159,127.000,199,256,4.263,664.975,293.375,1.985,1.928,1.834,1891.521,1987.7,16.6,0.312,0.304,normal
1011,nash_CC_270.out,2007-12-31,2007,231.326,231.326,0,8.7,7.26,1481.221,130.000,198,254,4.578,658.725,316.064,1.993,1.864,1.859,1416.033,3268.4,30.8,0.307,0.311,normal
1011,nash_CC_270.out,2008-12-31,2008,215.961,215.961,0,8.7,6.835,1311.42,137.000,207,270,3.506,636.88,269.313,1.994,1.864,1.874,1507.802,2740.4,23.2,0.314,0.335,normal
1011,nash_CC_270.out,2009-12-31,2009,202.505,202.505,0,8.7,0,1371.71,116.000,194,258,3.547,647.269,289.329,1.995,1.862,1.762,1577.467,2531.4,21.8,0.32,0.286,normal
1011,nash_CC_270.out,2010-12-31,2010,175.398,175.398,0,8.9,6.785,1157.823,117.000,192,243,2.671,613.004,263.557,1.994,1.801,1.841,1203.902,4133.8,35.8,0.311,0.309,normal
1011,nash_CC_270.out,2011-12-31,2011,221.683,221.683,0,8.7,7.188,1417.468,131.000,201,255,4.021,662.315,292.717,1.994,1.894,1.808,1647.257,2509.6,21.3,0.298,0.316,normal
