set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
1106,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,0,normal
1106,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1268.745,126.000,193,247,3.23,699.933,270.823,1.994,1.861,1.714,1631.323,412.2,5.9,0.297,0.295,0,normal
1106,nash_CC_270.out,1999-12-31,1999,57.247,0,57.247,0,0,1338.995,126.000,185,266,4.593,724.448,254.349,1,1.76,1,1133.011,2152.4,17.7,0.283,0.308,0,normal
1106,nash_CC_270.out,2000-12-31,2000,226.188,226.188,0,8,8,1513.862,126.000,196,254,3.904,739.172,309.709,1.99,1.936,1.761,2123.118,761.2,8.9,0.319,0.244,0,normal
1106,nash_CC_270.out,2001-12-31,2001,51.31,0,51.31,0,0,1545.944,126.000,188,270,4.178,628.248,231.355,1,1.956,1,1670.01,2894.8,22.6,0.281,0.302,0,normal
1106,nash_CC_270.out,2002-12-31,2002,250.23,250.23,0,8,8,1434.5,128.000,192,247,4.794,782.813,336.807,1.942,1.978,1.733,2212.517,418.3,5,0.291,0.285,0,normal
1106,nash_CC_270.out,2003-12-31,2003,60.459,0,60.459,0,0,1406.934,128.000,190,0,5.46,655.544,299.077,0.949,1.932,1,1673.437,2842.8,21.8,0.267,0.306,0,normal
1106,nash_CC_270.out,2004-12-31,2004,213.086,213.086,0,8,8,1226.359,129.000,200,263,3.311,695.935,256.515,1.994,1.858,1.795,1509.43,719.5,8.5,0.297,0.288,0,normal
1106,nash_CC_270.out,2005-12-31,2005,211.957,211.957,0,8.7,8.7,1291.797,128.000,198,254,3.738,669.956,286.627,1.994,1.834,1.805,1331.476,2271.5,19.4,0.304,0.311,0,normal
1106,nash_CC_270.out,2006-12-31,2006,167.16,167.16,0,8.7,8.7,1521.534,127.000,199,256,4.53,638.869,276.824,1.993,1.919,1.833,1833.449,1998.8,16.5,0.314,0.304,11.877,normal
1106,nash_CC_270.out,2007-12-31,2007,207.774,207.774,0,8.7,8.7,1466.121,130.000,198,254,4.642,640.523,289.711,1.993,1.85,1.86,1342.387,2948.7,27.7,0.307,0.309,2.562,normal
1106,nash_CC_270.out,2008-12-31,2008,199.695,199.695,0,8.7,8.7,1295.524,137.000,207,270,3.827,620.277,254.849,1.994,1.853,1.874,1452.384,2477,20.8,0.314,0.334,0,normal
1106,nash_CC_270.out,2009-12-31,2009,204.406,204.406,0,8.7,0,1328.09,116.000,194,258,3.964,624.109,275.889,1.995,1.846,1.761,1484.153,2458.8,21,0.319,0.285,0,normal
1106,nash_CC_270.out,2010-12-31,2010,184.48,184.48,0,8.9,8.9,1167.825,117.000,192,243,3.386,613.912,273.072,1.994,1.8,1.842,1196.755,3674.4,31.5,0.311,0.308,2.127,normal
1106,nash_CC_270.out,2011-12-31,2011,195.969,195.969,0,8.7,8.7,1398.352,131.000,201,255,4.014,628.846,266.122,1.994,1.876,1.807,1556.779,2579,21.5,0.302,0.317,1.254,normal
1106,nash_CC_270.out,2012-12-31,2012,210.33,210.33,0,8.7,8.7,1512.251,125.000,192,244,4.857,790.612,359.529,1.754,1.971,1.86,2043.226,1283.9,11,0.292,0.3,0,normal
1106,nash_CC_270.out,2013-12-31,2013,187.857,187.857,0,8.7,8.7,1444.317,139.000,207,270,4.591,694.107,343.494,1.913,1.908,1.819,1794.38,1733.1,16.7,0.249,0.321,0.846,normal
1106,nash_CC_270.out,2014-12-31,2014,165.297,165.297,0,8.7,8.7,1287.603,136.000,206,272,3.17,504.768,222.668,1.994,1.834,1.87,1353.837,3935,37,0.314,0.33,0,normal
1106,nash_CC_270.out,2015-12-31,2015,192.171,192.171,0,8.7,8.7,1239.888,125.000,199,257,3.558,659.714,266.66,1.994,1.832,1.824,1367.833,2054.5,17.6,0.315,0.305,1.506,normal
1106,nash_CC_270.out,2016-12-31,2016,140.617,140.617,0,8.7,8.7,1009.48,116.000,192,245,3.19,605.349,216.017,1.994,1.748,1.743,1007.999,2012.9,17.1,0.312,0.295,0.329,normal
1106,nash_CC_270.out,2017-12-31,2017,36.748,36.748,0,8.7,8.7,1205.387,130.000,199,261,2.541,534.233,137.561,1.994,1.815,1.541,1203.411,1976.9,15.9,0.299,0.302,2.374,normal
1106,nash_CC_270.out,2018-12-31,2018,29.239,29.239,0,8.7,8.7,956.973,128.000,192,248,1.483,502.533,87.665,1.994,1.747,1.495,885.763,2426.1,19.9,0.312,0.3,1.378,normal
1106,nash_CC_270.out,2019-12-31,2019,188.247,188.247,0,8.7,8.7,1462.4,136.000,202,263,3.685,629.438,244.893,1.994,1.867,1.793,1558.136,1108.8,9.6,0.306,0.306,0,normal
1106,nash_CS_270.out,1997-12-31,1997,201.114,201.114,0,8,8,1389.463,128,199,260,3.785,673.011,246.795,1.994,1.857,1.799,1523.355,1225.8,10.9,0.294,0.27,0,normal
1106,nash_CS_270.out,1998-12-31,1998,62.082,0,62.082,0,0,1398.588,128,183,254,5.756,686.546,283.065,1,1.832,1,1496.446,2329.7,19,0.292,0.302,1.659,normal
1106,nash_CS_270.out,1999-12-31,1999,215.534,215.534,0,8,8,1396.041,126,194,247,4.016,750.779,284.527,1.993,1.815,1.643,1227.337,543.6,5.1,0.298,0.304,1.659,normal
1106,nash_CS_270.out,2000-12-31,2000,44.848,0,44.848,0,0,1405.949,126,189,272,3.489,711.708,202.239,1,1.852,1,1685.229,2334.3,14.8,0.317,0.285,1.659,normal
1106,nash_CS_270.out,2001-12-31,2001,238.353,238.353,0,8,8,1474.799,127,195,247,4.83,737.762,340.154,1.864,1.953,1.72,2034.286,326.9,3.9,0.286,0.281,1.659,normal
1106,nash_CS_270.out,2002-12-31,2002,7.549,0,7.549,0,0,1501.692,127,185,257,0.358,709.623,32.103,1,1.952,1,1482.88,2703.2,18.5,0.281,0.31,1.659,normal
1106,nash_CS_270.out,2003-12-31,2003,238.588,238.588,0,8,0,1515.003,128,199,253,4.208,797.801,353.721,1.851,1.949,1.753,2094.418,134,1.2,0.267,0.245,1.659,normal
1106,nash_CS_270.out,2004-12-31,2004,43.142,0,43.142,0,0,1310.49,128,190,0,3.417,571.783,168.323,1,1.998,1,1228.374,3273.2,22.3,0.291,0.308,1.659,normal
1106,nash_CS_270.out,2005-12-31,2005,248.017,248.017,0,8.7,8.7,1330.923,128,198,254,4.232,805.824,337.176,1.994,1.886,1.814,1706.69,389.2,4.9,0.303,0.293,1.659,normal
1106,nash_CS_270.out,2006-12-31,2006,59.482,0,59.482,0,0,1537.665,128,188,0,5.816,656.884,267.254,0.999,1.846,1,1758.43,2679.5,22.2,0.308,0.307,1.659,normal
1106,nash_CS_270.out,2007-12-31,2007,240.787,240.787,0,8.7,8.7,1521.5,130,198,254,5.093,777.618,336.255,1.988,1.899,1.864,1664.388,471.7,6.6,0.307,0.289,1.659,normal
1106,nash_CS_270.out,2008-12-31,2008,47.941,0,47.941,0,0,1266.159,130,192,0,3.979,593.963,201.265,1,1.82,1,1259.686,3196.1,26.9,0.311,0.335,1.659,normal
1106,nash_CS_270.out,2009-12-31,2009,237.768,237.768,0,8.7,0,1474.499,116,194,258,4.566,751.984,328.785,1.995,1.886,1.767,1736.241,379.3,5.5,0.32,0.261,1.659,normal
