set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1003,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,reduced
1003,nash_CC_270.out,1998-12-31,1998,207.808,207.808,0,8,7.946,1269.009,126.000,193,247,3.217,699.885,270.204,1.994,1.861,1.714,1630.921,412.2,5.9,0.297,0.295,reduced
1003,nash_CC_270.out,1999-12-31,1999,57.366,0,57.366,0,0,1341.372,126.000,185,266,4.609,725.364,254.954,1,1.76,1,1133.741,2140.2,17.6,0.283,0.308,reduced
1003,nash_CC_270.out,2000-12-31,2000,226.183,226.183,0,8,8,1513.807,126.000,196,254,3.904,739.116,309.698,1.99,1.935,1.761,2122.845,762.6,8.9,0.319,0.244,reduced
1003,nash_CC_270.out,2001-12-31,2001,51.303,0,51.303,0,0,1545.909,126.000,188,270,4.177,628.216,231.316,1,1.956,1,1669.865,2894.9,22.6,0.281,0.302,reduced
1003,nash_CC_270.out,2002-12-31,2002,250.07,250.07,0,8,7.961,1434.5,128.000,192,247,4.785,782.724,336.491,1.942,1.978,1.733,2212.097,418.2,5,0.291,0.285,reduced
1003,nash_CC_270.out,2003-12-31,2003,60.366,0,60.366,0,0,1383.213,128.000,190,0,5.464,655.591,298.702,0.948,1.932,1,1674.056,2837.1,21.8,0.267,0.306,reduced
1003,nash_CC_270.out,2004-12-31,2004,211.135,211.135,0,8,7.837,1225.085,129.000,200,263,3.26,695.372,254.106,1.994,1.857,1.795,1505.97,718,8.5,0.297,0.288,reduced
1003,nash_CC_270.out,2005-12-31,2005,238.452,238.452,0,8.7,7.971,1296.576,128.000,198,254,3.757,693.363,317.21,1.994,1.853,1.806,1426.888,2225.5,19.1,0.304,0.311,reduced
1003,nash_CC_270.out,2006-12-31,2006,181.821,181.821,0,8.7,8.013,1401.038,127.000,199,256,3.986,543.069,291.363,1.994,1.878,1.825,1611.09,5173.4,42.9,0.314,0.313,reduced
1003,nash_CC_270.out,2007-12-31,2007,230.548,230.548,0,8.7,8.373,1411.549,130.000,198,254,4.541,533.706,314.965,1.993,1.825,1.848,1246.272,7061.5,61,0.307,0.319,reduced
1003,nash_CC_270.out,2008-12-31,2008,215.42,215.42,0,8.7,8.185,1205.833,137.000,207,270,3.624,519.101,271.895,1.994,1.833,1.865,1378.95,6171.4,51.5,0.315,0.34,reduced
1003,nash_CC_270.out,2009-12-31,2009,201.744,201.744,0,8.7,0,1262.536,116.000,194,258,3.452,537.015,281.617,1.995,1.833,1.754,1418.03,5666,48.1,0.32,0.297,reduced
1003,nash_CC_270.out,2010-12-31,2010,183.158,183.158,0,8.9,7.738,1028.974,117.000,192,243,2.78,479.886,260.392,1.994,1.772,1.769,1103.327,8481.4,65.3,0.312,0.314,reduced
1003,nash_CC_270.out,2011-12-31,2011,223.064,223.064,0,8.7,8.122,1373.298,131.000,201,255,4.046,559.479,294.779,1.994,1.873,1.802,1571.963,5140.5,38.4,0.304,0.321,reduced
1003,nash_CC_270.out,2012-12-31,2012,225.546,225.546,0,8.7,7.818,1509.06,125.000,192,244,4.624,676.607,386.505,1.77,1.942,1.853,1929.633,4428.6,38,0.297,0.316,reduced
1003,nash_CC_270.out,2013-12-31,2013,192.439,192.439,0,8.7,7.436,1427.563,139.000,207,270,4.477,616.205,373.497,1.846,1.9,1.814,1792.324,5410.8,52.7,0.239,0.328,reduced
1003,nash_CC_270.out,2014-12-31,2014,169.285,169.285,0,8.7,7.727,1276.626,136.000,206,272,2.835,388.516,224.132,1.994,1.804,1.86,1267.681,10159.8,91.4,0.315,0.333,reduced
1003,nash_CC_270.out,2015-12-31,2015,210.109,210.109,0,8.7,8.004,1247.26,125.000,199,257,3.385,584.182,287.125,1.994,1.829,1.816,1380.2,4716.4,40.1,0.315,0.312,reduced
1003,nash_CC_270.out,2016-12-31,2016,144.861,144.861,0,8.7,8.116,948.532,116.000,192,245,2.819,512.908,218.492,1.994,1.729,1.734,925.198,5108.3,43.4,0.312,0.303,reduced
1003,nash_CC_270.out,2017-12-31,2017,12.924,12.924,0,8.7,7.659,1064.68,130.000,199,261,1.894,415.714,112.45,1.994,1.787,1.512,1113.799,4757.4,38.4,0.301,0.308,reduced
1003,nash_CC_270.out,2018-12-31,2018,37.427,37.427,0,8.7,7.653,919.168,128.000,192,248,1.32,443.591,90.761,1.994,1.736,1.503,854.447,4602.8,39.5,0.313,0.305,reduced
1003,nash_CC_270.out,2019-12-31,2019,214.927,214.927,0,8.7,7.757,1456.628,136.000,202,263,3.792,608.813,273.389,1.994,1.874,1.79,1603.83,2287.2,19.8,0.307,0.313,reduced
1003,nash_CS_270.out,1997-12-31,1997,227.656,227.656,0,8,7.569,1370.738,128,199,260,3.723,683.616,270.504,1.994,1.864,1.797,1555.833,1628.7,14.5,0.294,0.273,reduced
1003,nash_CS_270.out,1998-12-31,1998,59.252,0,59.252,0,0,1339.933,128,183,254,5.345,489.667,269.4,1,1.849,1,1285.461,7933.8,65,0.295,0.312,reduced
1003,nash_CS_270.out,1999-12-31,1999,212.628,212.628,0,8,7.227,1401.303,126,194,247,3.755,703.788,277.991,1.994,1.811,1.663,1203.102,1506.4,13.9,0.299,0.308,reduced
1003,nash_CS_270.out,2000-12-31,2000,44.493,0,44.493,0,0,1315.851,126,189,272,3.449,517.354,200.567,1,1.853,1,1358.368,6502.7,43.4,0.319,0.305,reduced
1003,nash_CS_270.out,2001-12-31,2001,235.323,235.323,0,8,7.438,1474.001,127,195,247,4.671,709.746,336.26,1.887,1.947,1.723,1994.399,885.2,10.4,0.289,0.285,reduced
1003,nash_CS_270.out,2002-12-31,2002,7.076,0,7.076,0,0,1133.788,127,185,257,0.335,437.838,30.104,1,1.949,1,1086.688,7817.7,57.9,0.292,0.321,reduced
1003,nash_CS_270.out,2003-12-31,2003,233.196,233.196,0,8,0,1501.705,128,199,253,3.854,768.596,342.198,1.87,1.938,1.748,1977.735,620,5,0.272,0.275,reduced
1003,nash_CS_270.out,2004-12-31,2004,41.738,0,41.738,0,0,1209.076,128,190,0,3.259,339.398,162.638,1,1.998,1,1018.584,8886,58.9,0.303,0.317,reduced
1003,nash_CS_270.out,2005-12-31,2005,233.025,233.025,0,8.7,7.818,1303.752,128,198,254,3.564,649.772,307.969,1.994,1.838,1.803,1369.327,3612.9,35.1,0.304,0.314,reduced
1003,nash_CS_270.out,2006-12-31,2006,56.359,0,56.359,0,0,1437.457,128,188,0,5.318,495.545,251.615,1,1.824,1,1451.305,7104.9,58.9,0.313,0.315,reduced
1003,nash_CS_270.out,2007-12-31,2007,239.35,239.35,0,8.7,8.561,1510.972,130,198,254,5.004,726.328,332.592,1.992,1.885,1.862,1567.385,1309.5,18.1,0.307,0.298,reduced
1003,nash_CS_270.out,2008-12-31,2008,47.103,0,47.103,0,0,1122.813,130,192,0,3.854,394.562,197.407,1,1.812,1,1138.106,9095.6,76.5,0.314,0.34,reduced
1003,nash_CS_270.out,2009-12-31,2009,223.427,223.427,0,8.7,0,1423.219,116,194,258,4.123,694.789,312.985,1.995,1.872,1.765,1647.471,1573.6,20,0.32,0.275,reduced
1003,nash_CS_270.out,2010-12-31,2010,54.152,0,54.152,0,0,1130.166,116,183,252,4.601,367.669,242.093,1,1.809,1,1007.909,12836.3,111.1,0.311,0.307,reduced
1003,nash_CS_270.out,2011-12-31,2011,224,224,0,8.7,8.167,1386.487,131,201,255,4.108,594.704,296.733,1.994,1.879,1.804,1596.327,4523.3,43.9,0.304,0.32,reduced
1003,nash_CS_270.out,2012-12-31,2012,68.931,0,68.931,0,0,1535.612,131,190,0,6.929,674.348,387.899,0.866,1.971,1,1898.012,5544.9,47.7,0.29,0.316,reduced
1003,nash_CS_270.out,2013-12-31,2013,196.236,196.236,0,8.7,7.765,1456.742,139,207,270,4.689,737.982,381.771,1.825,1.911,1.821,1845.477,1667.8,23.1,0.234,0.321,reduced
1003,nash_CS_270.out,2014-12-31,2014,45.107,0,45.107,0,0,1312.833,139,191,0,5.47,297.9,204.535,1,1.998,1,1117.637,13919,128,0.315,0.334,reduced
1003,nash_CS_270.out,2015-12-31,2015,216.288,216.288,0,8.7,8.104,1245.069,125,199,257,3.537,631.228,295.632,1.994,1.843,1.822,1429.67,3744.4,51.4,0.315,0.31,reduced
1003,nash_CS_270.out,2016-12-31,2016,13.231,0,13.231,0,0,899.009,125,182,256,0.808,549.237,54.755,1,1.931,1,884.101,7091.1,60.5,0.31,0.302,reduced
