set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1205,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,reduced
1205,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1268.745,126.000,193,247,3.23,699.933,270.823,1.994,1.861,1.714,1631.323,412.2,5.9,0.297,0.295,reduced
1205,nash_CC_270.out,1999-12-31,1999,57.247,0,57.247,0,0,1338.995,126.000,185,266,4.593,724.448,254.349,1,1.76,1,1133.011,2152.4,17.7,0.283,0.308,reduced
1205,nash_CC_270.out,2000-12-31,2000,226.188,226.188,0,8,8,1513.862,126.000,196,254,3.904,739.172,309.709,1.99,1.936,1.761,2123.118,761.2,8.9,0.319,0.244,reduced
1205,nash_CC_270.out,2001-12-31,2001,51.31,0,51.31,0,0,1545.944,126.000,188,270,4.178,628.248,231.355,1,1.956,1,1670.01,2894.8,22.6,0.281,0.302,reduced
1205,nash_CC_270.out,2002-12-31,2002,250.23,250.23,0,8,8,1434.5,128.000,192,247,4.794,782.813,336.807,1.942,1.978,1.733,2212.517,418.3,5,0.291,0.285,reduced
1205,nash_CC_270.out,2003-12-31,2003,60.459,0,60.459,0,0,1406.934,128.000,190,0,5.46,655.544,299.077,0.949,1.932,1,1673.437,2842.8,21.8,0.267,0.306,reduced
1205,nash_CC_270.out,2004-12-31,2004,213.086,213.086,0,8,8,1226.359,129.000,200,263,3.311,695.935,256.515,1.994,1.858,1.795,1509.43,719.5,8.5,0.297,0.288,reduced
1205,nash_CC_270.out,2005-12-31,2005,243.758,243.758,0,8.7,8.7,1254.048,128.000,198,254,3.954,694.241,326.128,1.994,1.853,1.805,1435.557,2271.5,19.4,0.304,0.311,reduced
1205,nash_CC_270.out,2006-12-31,2006,186.204,186.204,0,8.7,8.7,1352.214,127.000,199,256,4.222,540.151,299.171,1.993,1.879,1.825,1624.096,5412.3,44.7,0.314,0.314,reduced
1205,nash_CC_270.out,2007-12-31,2007,231.506,231.506,0,8.7,8.7,1399.321,130.000,198,254,4.608,529.076,317.365,1.993,1.824,1.842,1241.989,7310.4,63.2,0.307,0.32,reduced
1205,nash_CC_270.out,2008-12-31,2008,219.439,219.439,0,8.7,8.7,1216.438,137.000,207,270,3.724,514.926,277.119,1.994,1.834,1.858,1383.211,6325.6,49,0.315,0.34,reduced
1205,nash_CC_270.out,2009-12-31,2009,221.529,221.529,0,8.7,0,1254.256,116.000,194,258,3.907,532.118,293.856,1.995,1.833,1.712,1420.761,5845.8,45.3,0.32,0.297,reduced
1205,nash_CC_270.out,2010-12-31,2010,181.807,181.807,0,8.9,8.9,1013.674,117.000,192,243,3.178,466.161,263.375,1.994,1.767,1.728,1083.074,8565.7,59.9,0.312,0.314,reduced
1205,nash_CC_270.out,2011-12-31,2011,224.408,224.408,0,8.7,8.7,1360.058,131.000,201,255,4.133,550.193,298.43,1.994,1.871,1.801,1566.646,5434.1,37.9,0.304,0.322,reduced
1205,nash_CC_270.out,2012-12-31,2012,234.863,234.863,0,8.7,8.7,1491.314,125.000,192,244,4.853,675.517,395.649,1.76,1.94,1.852,1923.582,4578.7,39.1,0.297,0.317,reduced
1205,nash_CC_270.out,2013-12-31,2013,203.612,203.612,0,8.7,8.7,1425.108,139.000,207,270,4.786,619.252,385.48,1.834,1.9,1.813,1795.03,5458.2,53.2,0.236,0.328,reduced
1205,nash_CC_270.out,2014-12-31,2014,178.946,178.946,0,8.7,8.7,1275.545,136.000,206,272,3.101,389.987,237.595,1.994,1.806,1.853,1277.467,10372.9,87.3,0.315,0.333,reduced
1205,nash_CC_270.out,2015-12-31,2015,215.691,215.691,0,8.7,8.7,1244.34,125.000,199,257,3.561,575.692,295.458,1.994,1.827,1.814,1378.129,5110.4,43.3,0.315,0.313,reduced
1205,nash_CC_270.out,2016-12-31,2016,150.98,150.98,0,8.7,8.7,920.811,116.000,192,245,3.007,509.545,227.493,1.994,1.728,1.733,923.716,5313.9,45,0.312,0.303,reduced
