set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
4,ames_CC_270.out,1996-12-31,1996,253.183,253.183,0,7.9,7.9,1501.885,129,198,255,4.992,753.266,327.262,1.994,1.913,1.718,1376.768,1176.3,10.5,0.352,0.306,normal
4,ames_CC_270.out,1997-12-31,1997,46.649,0,46.649,0,0,1500.013,129,186,258,3.387,571.618,198.262,1,1.925,1,1347.795,4158.7,28.5,0.345,0.344,normal
4,ames_CC_270.out,1998-12-31,1998,214.907,214.907,0,7.9,7.9,1173.869,126,192,244,3.779,731.334,285.384,1.994,1.902,1.64,1379.079,457.8,5.1,0.341,0.341,normal
4,ames_CC_270.out,1999-12-31,1999,219.142,219.142,0,7.9,7.807,1453.066,146,207,269,4.238,734.727,299.456,1.994,1.891,1.812,1215.716,1303.8,8.6,0.341,0.366,normal
4,ames_CC_270.out,2000-12-31,2000,157.863,157.863,0,7.4,7.4,1532.207,132,200,255,3.957,646.506,284.286,1.993,1.943,1.879,1581.084,2874.6,24,0.352,0.32,normal
4,ames_CC_270.out,2001-12-31,2001,210.458,210.458,0,6.5,6.5,1532.849,134,199,248,4.461,629.629,293.334,1.994,1.928,1.732,1476.511,3256.7,29.4,0.347,0.357,normal
4,ames_CC_270.out,2002-12-31,2002,235.723,235.723,0,7.9,7.9,1516.253,130,195,248,4.882,730.45,342.143,1.992,1.944,1.784,1503.705,1742.9,14.7,0.339,0.348,normal
4,ames_CC_270.out,2003-12-31,2003,212.986,212.986,0,7.8,7.08,1287.97,126,198,253,3.546,667.697,352.045,1.986,1.893,1.742,1316.608,3774.2,32.2,0.349,0.343,normal
4,ames_CC_270.out,2004-12-31,2004,256.631,256.631,0,8,7.814,1505.298,127,201,266,4.064,646.436,286.847,1.994,1.911,1.854,1322.09,2384.8,20.5,0.346,0.354,normal
4,ames_CC_270.out,2005-12-31,2005,253.551,253.551,0,8,7.988,1527.302,131,199,253,5.128,748.466,385.747,1.992,1.937,1.761,1502.916,2407.5,20.6,0.347,0.337,normal
4,ames_CC_270.out,2006-12-31,2006,237.235,237.235,0,8,8,1581.844,138,201,256,5.011,667.673,344.003,1.976,1.971,1.776,1680.663,2993.5,26,0.354,0.352,normal
4,ames_CC_270.out,2007-12-31,2007,220.896,220.896,0,8,7.981,1560.79,139,203,256,5.2,704.955,333.623,1.99,1.947,1.798,1496.513,2122.3,18.5,0.349,0.368,normal
4,ames_CC_270.out,2008-12-31,2008,223.133,223.133,0,7.4,7.091,1267.122,142,211,279,4.018,674.643,306.726,1.994,1.842,1.802,1134.124,2685.6,23.2,0.355,0.371,normal
4,ames_CC_270.out,2009-12-31,2009,238.511,238.511,0,8,8,1504.778,133,203,266,4.434,597.607,276.496,1.994,1.923,1.857,1364.672,3390.8,29,0.357,0.356,normal
4,ames_CC_270.out,2010-12-31,2010,167.02,167.02,0,8,8,967.727,127,195,243,2.807,648.171,231.235,1.994,1.784,1.74,851.592,1709.3,14.7,0.349,0.341,normal
4,ames_CC_270.out,2011-12-31,2011,212.706,212.706,0,7.9,7.9,1512.759,139,204,260,4.359,620.957,255.985,1.994,1.923,1.771,1486.197,2156.2,17.4,0.349,0.339,normal
4,ames_CC_270.out,2012-12-31,2012,200.281,200.281,0,7.9,7.9,1561.689,137,195,244,4.672,838.529,423.706,1.766,1.991,1.772,1796.801,1059.7,9.3,0.344,0.356,normal
4,ames_CC_270.out,2013-12-31,2013,152.06,152.06,0,7.9,7.817,1549.916,150,211,265,4.875,691.939,349.114,1.94,1.964,1.859,1600.218,2693.7,26.4,0.335,0.355,normal
4,ames_CC_270.out,2014-12-31,2014,168.437,168.437,0,7.9,7.9,1096.971,134,203,262,2.7,576.555,211.07,1.994,1.814,1.796,901.84,2632.1,26.1,0.352,0.362,normal
4,ames_CC_270.out,2015-12-31,2015,220.475,220.475,0,8.9,8.9,1350.268,141,206,263,4.577,717.075,288.073,1.993,1.871,1.862,1204.155,1157.2,9.6,0.375,0.333,normal
4,ames_CC_270.out,2016-12-31,2016,213.355,213.355,0,8.6,8.6,1562.255,127,192,243,5.278,697.318,307.073,1.994,1.92,1.74,1395.973,1593.5,13.3,0.351,0.332,normal
4,ames_CS_270.out,1996-12-31,1996,64.78,0,64.78,0,0,1501.621,?,187,269,6.229,758.574,257.763,1,1,1,1312.189,1159.2,10.3,0.352,0.307,normal
4,ames_CS_270.out,1997-12-31,1997,238.907,238.907,0,7.9,7.9,1560.57,127.000,196,250,5.295,777.054,346.922,1.981,1.971,1.714,1774.061,966.4,11.5,0.347,0.32,normal
4,ames_CS_270.out,1998-12-31,1998,42.407,0,42.407,0,0,1178.797,127.000,182,247,3.624,591.233,193.445,1,1.896,1,1126.762,3887.2,25.4,0.336,0.355,normal
4,ames_CS_270.out,1999-12-31,1999,221.859,221.859,0,7.9,7.9,1519.712,146.000,207,269,4.437,831.897,305.916,1.994,1.914,1.824,1321.569,197.6,1.9,0.341,0.351,normal
4,ames_CS_270.out,2000-12-31,2000,48.722,0,48.722,0,0,1544.666,146.000,186,254,4.466,694.6,231.908,1,1.956,1,1629.299,2579.2,22.2,0.349,0.313,normal
4,ames_CS_270.out,2001-12-31,2001,211.272,211.272,0,7.5,7.5,1548.18,134.000,199,248,4.843,725.449,307.75,1.991,1.948,1.741,1629.481,514.7,5.1,0.347,0.338,normal
4,ames_CS_270.out,2002-12-31,2002,43.17,0,43.17,0,0,1345.713,134.000,183,251,3.344,555.643,212.152,1,1.834,1,1102.11,5909.1,66.2,0.335,0.361,normal
4,ames_CS_270.out,2003-12-31,2003,233.461,233.461,0,7.8,7.8,1516.233,126.000,198,253,4.272,808.396,382.452,1.981,1.938,1.75,1546.921,837,8.3,0.349,0.316,normal
4,ames_CS_270.out,2004-12-31,2004,43.455,0,43.455,0,0,1516.249,126.000,197,0,3.581,639.893,163.754,1,1.957,1,1201.436,2781.3,24,0.341,0.342,normal
4,ames_CS_270.out,2005-12-31,2005,256.145,256.145,0,8,8,1566.745,131.000,199,253,5.364,873.119,395.751,1.978,1.964,1.769,1702.482,333.5,5.6,0.347,0.311,normal
4,ames_CS_270.out,2006-12-31,2006,61.665,0,61.665,0,0,1587.432,131.000,193,275,6.483,670.947,288.191,1,1.917,1,1640.28,2910.2,25.3,0.351,0.345,normal
4,ames_CS_270.out,2007-12-31,2007,221.562,221.562,0,8,7.994,1576.766,139.000,203,256,5.253,825.029,336.967,1.984,1.962,1.804,1637.852,324.1,4.4,0.349,0.347,normal
4,ames_CS_270.out,2008-12-31,2008,51.739,0,51.739,0,0,1253.593,139.000,195,0,4.027,623.271,211.849,1,1.833,1,949.297,2903.7,25.6,0.354,0.363,normal
4,ames_CS_270.out,2009-12-31,2009,239.228,239.228,0,8,8,1517.578,133.000,203,266,4.725,752.911,282.223,1.994,1.958,1.867,1585.119,335.5,4.1,0.357,0.329,normal
4,ames_CS_270.out,2010-12-31,2010,44.354,0,44.354,0,0,1092.404,133.000,182,244,4.737,717.339,226.258,1,1.873,1,849.495,1561.8,13.4,0.347,0.348,normal
4,ames_CS_270.out,2011-12-31,2011,215.33,215.33,0,7.9,7.9,1512.093,139.000,204,260,4.554,680.215,259.687,1.994,1.941,1.775,1577.128,845.1,9.3,0.349,0.323,normal
4,ames_CS_270.out,2012-12-31,2012,61.329,0,61.329,0,0,1605.569,139.000,185,252,6.092,861.445,370.027,0.935,1.966,1,1824.017,1349.7,11.8,0.341,0.349,normal
4,ames_CS_270.out,2013-12-31,2013,152.739,152.739,0,7.9,7.9,1563.604,150.000,211,265,4.904,826.308,352.659,1.9,1.98,1.864,1721.268,413.6,4.4,0.334,0.315,normal
4,ames_CS_270.out,2014-12-31,2014,51.247,0,51.247,0,0,1361.83,150.000,190,270,5.59,639.988,212.689,1,1.999,1,929.263,2076,19.6,0.35,0.352,normal
4,ames_CS_270.out,2015-12-31,2015,222.968,222.968,0,8.9,8.9,1513.895,141.000,206,263,4.772,806.502,292.682,1.993,1.891,1.866,1328.19,247.4,3,0.375,0.304,normal
4,ames_CS_270.out,2016-12-31,2016,56.869,0,56.869,0,0,1527.5,141.000,184,251,5.96,754.672,261.46,1,1.854,1,1355.098,1140.8,9.5,0.348,0.341,normal
4,ames_SC_270.out,1996-12-31,1996,253.183,253.183,0,7.9,7.9,1501.885,129,198,255,4.992,753.266,327.262,1.994,1.913,1.718,1376.768,1176.3,10.5,0.352,0.306,normal
4,ames_SC_270.out,1997-12-31,1997,46.649,0,46.649,0,0,1500.013,129,186,258,3.387,571.618,198.262,1,1.925,1,1347.795,4158.7,28.5,0.345,0.344,normal
4,ames_SC_270.out,1998-12-31,1998,214.907,214.907,0,7.9,7.9,1173.869,126,192,244,3.779,731.334,285.384,1.994,1.902,1.64,1379.079,457.8,5.1,0.341,0.341,normal
4,ames_SC_270.out,1999-12-31,1999,45.304,0,45.304,0,0,1270.158,126,190,266,3.437,732.004,192.656,1,1.864,1,1050.983,1642.4,10.8,0.338,0.368,normal
4,ames_SC_270.out,2000-12-31,2000,159.724,159.724,0,7.4,7.4,1530.823,132,200,255,4.219,754.093,292.349,1.991,1.976,1.891,1761.076,516.9,6.3,0.352,0.192,normal
4,ames_SC_270.out,2001-12-31,2001,61.814,0,61.814,0,0,1543.963,132,190,263,5.618,658.144,284.579,1,2,1,1422.627,3492.5,32.8,0.341,0.358,normal
4,ames_SC_270.out,2002-12-31,2002,236.34,236.34,0,7.9,7.9,1527.881,130,195,248,4.934,809.959,345.311,1.986,1.961,1.788,1667.86,477.7,5.6,0.339,0.336,normal
