set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
9,ames_CC_270.out,1996-12-31,1996,253.183,253.183,0,7.9,7.9,1501.885,129,198,255,4.992,753.266,327.262,1.994,1.913,1.718,1376.768,1176.3,10.5,0.352,0.306,reduced
9,ames_CC_270.out,1997-12-31,1997,46.649,0,46.649,0,0,1500.013,129,186,258,3.387,571.618,198.262,1,1.925,1,1347.795,4158.7,28.5,0.345,0.344,reduced
9,ames_CC_270.out,1998-12-31,1998,214.907,214.907,0,7.9,7.9,1173.869,126,192,244,3.779,731.334,285.384,1.994,1.902,1.64,1379.079,457.8,5.1,0.341,0.341,reduced
9,ames_CC_270.out,1999-12-31,1999,219.783,219.783,0,7.9,7.9,1452.565,146,207,269,4.266,722.204,300.392,1.994,1.891,1.812,1215.96,1303.8,8.6,0.343,0.366,reduced
9,ames_CC_270.out,2000-12-31,2000,152.471,152.471,0,7.4,7.4,1414.067,132,200,255,3.473,511.24,270.454,1.993,1.899,1.869,1331.595,6270.8,51.9,0.353,0.34,reduced
9,ames_CC_270.out,2001-12-31,2001,209.582,209.582,0,6.5,6.5,1506.608,134,199,248,4.371,559.422,289.175,1.994,1.913,1.727,1391.526,5459.5,48.2,0.345,0.362,reduced
9,ames_CC_270.out,2002-12-31,2002,234.189,234.189,0,7.9,7.9,1503.556,130,195,248,4.686,628.115,334.756,1.993,1.918,1.777,1341.435,4224.5,35.5,0.34,0.356,reduced
9,ames_CC_270.out,2003-12-31,2003,216.503,216.503,0,7.8,7.8,1166.252,126,198,253,3.648,598.566,351.073,1.982,1.875,1.737,1243.853,5528.9,47.1,0.35,0.346,reduced
9,ames_CC_270.out,2004-12-31,2004,232.883,232.883,0,8,7.443,1363.846,127,200,266,3.451,466.894,253.029,1.994,1.863,1.795,1123.357,7749.7,59.4,0.347,0.361,reduced
9,ames_CC_270.out,2005-12-31,2005,250.599,250.599,0,8,8,1512.714,131,199,253,4.907,633.968,377.217,1.994,1.906,1.755,1333.663,5145.1,34.9,0.348,0.348,reduced
9,ames_CC_270.out,2006-12-31,2006,236.701,236.701,0,8,8,1537.053,138,201,256,4.816,531.132,337.433,1.992,1.944,1.772,1509.775,7374.1,63.3,0.357,0.358,reduced
9,ames_CC_270.out,2007-12-31,2007,219.2,219.2,0,8,8,1522.685,139,202,256,4.995,561.526,323.88,1.993,1.908,1.789,1326.175,5891.5,49.5,0.35,0.378,reduced
9,ames_CC_270.out,2008-12-31,2008,220.396,220.396,0,7.4,7.4,1145.736,142,211,278,3.844,547.832,295.238,1.994,1.819,1.774,1032.848,6286.6,53.3,0.355,0.384,reduced
9,ames_CC_270.out,2009-12-31,2009,236.409,236.409,0,8,8,1505.111,133,203,266,4.139,471.494,269.297,1.994,1.893,1.85,1214.266,7157.9,58.9,0.358,0.366,reduced
9,ames_CC_270.out,2010-12-31,2010,141.695,141.695,0,8,8,914.133,127,195,243,2.309,497.87,194.095,1.994,1.74,1.731,697.828,5692.1,48.8,0.35,0.355,reduced
9,ames_CC_270.out,2011-12-31,2011,211.202,211.202,0,7.9,7.9,1467.264,139,204,260,4.241,546.417,253.067,1.994,1.912,1.768,1386.798,3928.4,31.8,0.351,0.347,reduced
