set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
209,ames_CC_270.out,1996-12-31,1996,252.641,252.641,0,7.9,7.9,1084.3,129,198,255,4.927,750.25,323.735,1.984,1.914,1.708,1370.964,1176.3,10.5,0.352,0.306,reduced
209,ames_CC_270.out,1997-12-31,1997,48.419,0,48.419,0,0,1500.264,129,186,258,3.562,581.155,206.438,1,1.928,1,1367.546,4046.9,27.9,0.345,0.344,reduced
209,ames_CC_270.out,1998-12-31,1998,217.133,217.133,0,7.9,7.9,1181.901,126,192,244,3.776,732.383,287.149,1.994,1.903,1.641,1380.878,469.3,5.2,0.341,0.341,reduced
209,ames_CC_270.out,1999-12-31,1999,220.609,220.609,0,7.9,7.9,1061.256,146,207,269,4.304,722.864,301.186,1.993,1.898,1.808,1215.271,1300.4,8.6,0.343,0.366,reduced
209,ames_CC_270.out,2000-12-31,2000,152.455,152.455,0,7.4,7.4,1109.093,132,200,255,3.466,507.069,270.253,1.99,1.899,1.869,1321.542,6331.8,48.7,0.353,0.34,reduced
209,ames_CC_270.out,2001-12-31,2001,208.185,208.185,0,6.5,6.5,1038.986,134,199,248,4.243,555.557,286.046,1.971,1.914,1.727,1379.77,5503.2,48.5,0.345,0.362,reduced
209,ames_CC_270.out,2002-12-31,2002,232.679,232.679,0,7.9,7.9,1085.655,130,195,248,4.642,629.373,333.42,1.975,1.921,1.777,1335.568,4131.4,34.7,0.34,0.356,reduced
209,ames_CC_270.out,2003-12-31,2003,217.649,217.649,0,7.8,7.8,939.578,126,198,253,3.668,595.501,349.461,1.96,1.878,1.718,1238.797,5521.6,47,0.35,0.346,reduced
209,ames_CC_270.out,2004-12-31,2004,225.257,225.257,0,8,8,1071.205,127,200,266,3.613,458.203,250.764,1.994,1.862,1.748,1115.343,7698.3,55.3,0.348,0.361,reduced
209,ames_CC_270.out,2005-12-31,2005,250.97,250.97,0,8,8,1117.284,131,199,253,4.899,628.388,376.861,1.982,1.908,1.754,1322.21,5337.4,36.3,0.348,0.348,reduced
209,ames_CC_270.out,2006-12-31,2006,233.286,233.286,0,8,8,1108.5,138,201,256,4.709,529.555,334.139,1.964,1.947,1.772,1501.759,7336.7,62.7,0.357,0.358,reduced
209,ames_CC_270.out,2007-12-31,2007,215.261,215.261,0,8,8,1074.853,139,202,256,4.85,561.46,320.724,1.966,1.91,1.79,1317.798,5817.5,49.1,0.35,0.378,reduced
209,ames_CC_270.out,2008-12-31,2008,221.281,221.281,0,7.4,7.4,815.741,142,211,278,3.842,543.684,290.067,1.99,1.823,1.73,1026.042,6263.6,53.2,0.355,0.384,reduced
209,ames_CC_270.out,2009-12-31,2009,236.609,236.609,0,8,8,1203.259,133,203,266,4.175,478.394,270.089,1.994,1.898,1.851,1220.237,6823.2,53.7,0.358,0.366,reduced
209,ames_CC_270.out,2010-12-31,2010,142.758,142.758,0,8,8,686.901,127,195,243,2.315,497.902,195.015,1.994,1.741,1.729,698.085,5718.1,49.1,0.35,0.355,reduced
209,ames_CC_270.out,2011-12-31,2011,211.681,211.681,0,7.9,7.9,1104.4,139,204,260,4.255,545.083,253.371,1.991,1.913,1.768,1382.463,3933,31.8,0.351,0.347,reduced
209,ames_CC_270.out,2012-12-31,2012,196.627,196.627,0,7.9,7.9,1005.5,137,195,244,4.33,667.068,407.885,1.77,1.966,1.765,1660.62,4911.7,43,0.347,0.372,reduced
209,ames_CC_270.out,2013-12-31,2013,150.53,150.53,0,7.9,7.9,1060.372,150,211,265,4.495,524.983,335.376,1.905,1.933,1.835,1432.194,6652,60.7,0.339,0.372,reduced
209,ames_CC_270.out,2014-12-31,2014,145.544,145.544,0,7.9,7.9,744.159,134,205,265,2.135,417.332,176.033,1.994,1.759,1.794,753.533,8317.3,78.3,0.353,0.384,reduced
209,ames_CC_270.out,2015-12-31,2015,219.334,219.334,0,8.9,8.9,1075.282,141,206,263,4.413,639.282,284.182,1.993,1.862,1.858,1080.86,2294.5,19.1,0.376,0.344,reduced
209,ames_CC_270.out,2016-12-31,2016,210.371,210.371,0,8.6,8.6,1119.5,127,192,243,5.056,580.828,298.848,1.974,1.906,1.736,1233.843,4551.5,38,0.352,0.346,reduced
209,ames_CS_270.out,1996-12-31,1996,64.78,0,64.78,0,0,1511.504,?,187,269,6.229,746.83,257.763,1,1,1,1291.823,1532.8,13.6,0.352,0.313,reduced
209,ames_CS_270.out,1997-12-31,1997,237.918,237.918,0,7.9,7.9,1541.614,127.000,196,250,5.185,699.066,341.851,1.988,1.958,1.706,1680.978,2800,33.3,0.348,0.332,reduced
209,ames_CS_270.out,1998-12-31,1998,39.927,0,39.927,0,0,965.663,127.000,182,247,3.346,321.087,180.096,1,1.885,1,914.173,10846.8,71.6,0.342,0.364,reduced
209,ames_CS_270.out,1999-12-31,1999,216.012,216.012,0,7.9,7.9,1314.951,146.000,207,269,4.038,618.52,292.034,1.994,1.869,1.807,1121.15,4158.8,34.7,0.343,0.378,reduced
209,ames_CS_270.out,2000-12-31,2000,45.29,0,45.29,0,0,1397.718,146.000,186,254,4.024,489.861,215.778,1,1.949,1,1261.189,7603.5,65.4,0.35,0.34,reduced
209,ames_CS_270.out,2001-12-31,2001,211.384,211.384,0,7.5,7.5,1550.245,134.000,199,248,4.852,717.431,308.433,1.99,1.95,1.742,1616.46,621.1,6.3,0.347,0.339,reduced
209,ames_CS_270.out,2002-12-31,2002,42.062,0,42.062,0,0,1050.468,134.000,183,251,3.24,304.475,207.311,1,1.832,1,861.47,17406,194.8,0.34,0.365,reduced
209,ames_CS_270.out,2003-12-31,2003,226.171,226.171,0,7.8,7.8,1285.177,126.000,198,253,3.914,688.798,369.378,1.982,1.9,1.743,1348.459,3588.3,38.2,0.35,0.34,reduced
209,ames_CS_270.out,2004-12-31,2004,39.709,0,39.709,0,0,1172.457,126.000,197,0,3.16,313.341,149.283,1,1.942,1,824.086,11665.4,96.6,0.346,0.357,reduced
209,ames_CS_270.out,2005-12-31,2005,254.482,254.482,0,8,8,1540.131,131.000,199,253,5.198,792.608,389.118,1.989,1.948,1.766,1569.914,1545.1,19.8,0.348,0.33,reduced
209,ames_CS_270.out,2006-12-31,2006,61.676,0,61.676,0,0,1529.968,131.000,193,275,6.483,478.664,288.221,1,1.914,1,1347.036,10035.4,87.3,0.354,0.356,reduced
209,ames_CS_270.out,2007-12-31,2007,221.534,221.534,0,8,8,1572.399,139.000,203,256,5.251,764.263,336.333,1.987,1.957,1.803,1582.271,941,12.7,0.35,0.359,reduced
209,ames_CS_270.out,2008-12-31,2008,40.228,0,40.228,0,0,945.775,139.000,195,0,2.849,378.995,157.43,1,1.822,1,740.227,9148.6,80.6,0.354,0.38,reduced
209,ames_CS_270.out,2009-12-31,2009,238.999,238.999,0,8,8,1512.673,133.000,203,266,4.676,714.79,281.186,1.994,1.95,1.865,1540.799,784.6,9.2,0.358,0.336,reduced
209,ames_CS_270.out,2010-12-31,2010,33.155,0,33.155,0,0,814.265,133.000,182,244,3.289,453.763,170.32,1,1.861,1,611.921,8162.7,70.1,0.348,0.364,reduced
209,ames_SC_270.out,1996-12-31,1996,252.053,252.053,0,7.9,7.9,1071.086,129,198,255,4.898,737.731,321.257,1.984,1.909,1.703,1352.534,1556.2,13.8,0.352,0.311,reduced
209,ames_SC_270.out,1997-12-31,1997,52.173,0,52.173,0,0,1363.703,129,186,258,3.99,345.717,223.954,1,1.927,1,1083.686,11122.6,76.5,0.349,0.353,reduced
209,ames_SC_270.out,1998-12-31,1998,159.702,159.702,0,7.9,7.9,939.041,126,193,244,2.911,500.864,204.951,1.994,1.83,1.558,1102.959,6025.2,55.9,0.342,0.359,reduced
209,ames_SC_270.out,1999-12-31,1999,47.409,0,47.409,0,0,1203.272,126,190,266,3.678,600.704,202.273,1,1.867,1,923.932,4268.6,28.8,0.34,0.379,reduced
209,ames_SC_270.out,2000-12-31,2000,159.183,159.183,0,7.4,7.4,1532.565,132,200,255,4.163,714.933,290.244,1.992,1.969,1.889,1716.507,1394.5,16.6,0.352,0.273,reduced
209,ames_SC_270.out,2001-12-31,2001,60.503,0,60.503,0,0,1518.523,132,190,263,5.397,532.733,277.077,1,2,1,1236.327,7369.6,70.2,0.342,0.365,reduced
209,ames_SC_270.out,2002-12-31,2002,236.051,236.051,0,7.9,7.9,1520.539,130,195,248,4.903,761.298,343.491,1.991,1.953,1.786,1584.442,1227.6,14.4,0.34,0.344,reduced
