set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
2,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,normal
2,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1269.147,126.000,193,247,3.23,699.725,270.723,1.994,1.861,1.709,1631.382,412.2,5.9,0.297,0.295,normal
2,nash_CC_270.out,1999-12-31,1999,51.098,0,51.098,0,0,1297.552,126.000,185,266,3.845,695.746,224.25,1,1.759,1,1109.681,2379.9,17.4,0.282,0.309,normal
2,nash_CC_270.out,2000-12-31,2000,217.067,217.067,0,8,7.651,1516.787,126.000,196,254,3.817,733.706,298.213,1.991,1.936,1.745,2133.375,692.9,8,0.319,0.239,normal
2,nash_CC_270.out,2001-12-31,2001,48.773,0,48.773,0,0,1544.209,126.000,188,270,3.874,618.195,218.428,1,1.948,1,1642.312,2909.1,19.2,0.281,0.302,normal
2,nash_CC_270.out,2002-12-31,2002,242.087,242.087,0,8,7.848,1434.5,128.000,192,247,4.758,775.168,326.86,1.942,1.975,1.712,2194.414,402.7,4.7,0.292,0.285,normal
2,nash_CC_270.out,2003-12-31,2003,58.464,0,58.464,0,0,1387.037,128.000,190,0,5.154,645.091,288.73,0.955,1.921,1,1660.826,2850.9,18.2,0.267,0.306,normal
2,nash_CC_270.out,2004-12-31,2004,212.912,212.912,0,8,8,1255.206,129.000,200,263,3.308,695.131,256.308,1.994,1.857,1.794,1507.856,737.9,8.6,0.297,0.289,normal
2,nash_CC_270.out,2005-12-31,2005,206.657,206.657,0,8.7,5.634,1285.215,128.000,198,254,2.849,686.708,271.086,1.994,1.844,1.804,1369.645,2372.7,20.3,0.303,0.311,normal
2,nash_CC_270.out,2006-12-31,2006,193.066,193.066,0,8.7,8.616,1531.802,127.000,199,256,4.812,678.534,314.425,1.97,1.93,1.832,1914.671,1785.8,14.8,0.312,0.303,normal
2,nash_CC_270.out,2007-12-31,2007,238.235,238.235,0,8.7,8.7,1468.009,130.000,198,254,4.913,650.889,328.532,1.993,1.862,1.855,1437.633,3530.1,31.5,0.307,0.312,normal
2,nash_CC_270.out,2008-12-31,2008,231.223,231.223,0,8.7,8.7,1303.132,137.000,207,270,4.037,631.096,291.139,1.994,1.863,1.867,1510.65,3088.7,26,0.314,0.336,normal
2,nash_CC_270.out,2009-12-31,2009,226.816,226.816,0,8.7,0,1354.395,116.000,194,258,4.135,628.834,300.585,1.995,1.856,1.713,1549.345,2919.9,21.9,0.32,0.288,normal
2,nash_CC_270.out,2010-12-31,2010,195.341,195.341,0,8.9,8.801,1159.888,117.000,192,243,3.416,600.966,281.263,1.994,1.798,1.747,1187.804,4156,27.9,0.311,0.309,normal
2,nash_CC_270.out,2011-12-31,2011,226.666,226.666,0,8.7,8.7,1407.714,131.000,201,255,4.296,648.789,303.457,1.994,1.889,1.804,1634.357,2785.4,18.2,0.299,0.317,normal
2,nash_CC_270.out,2012-12-31,2012,235.372,235.372,0,8.7,8.61,1512.692,125.000,192,244,5.058,805.69,404.775,1.686,1.969,1.857,1992.424,1726.9,14.7,0.289,0.305,normal
2,nash_CC_270.out,2013-12-31,2013,202.503,202.503,0,8.7,8.494,1430.134,139.000,207,270,4.85,717.507,387.859,1.819,1.909,1.818,1837.395,2123.7,21.1,0.227,0.323,normal
2,nash_CC_270.out,2014-12-31,2014,189.971,189.971,0,8.7,8.577,1299.711,136.000,206,272,3.28,503.281,250.96,1.994,1.839,1.864,1409.389,4972.5,43.7,0.313,0.33,normal
2,nash_CC_270.out,2015-12-31,2015,222.471,222.471,0,8.7,8.676,1239.477,125.000,199,257,3.729,681.888,304.877,1.994,1.846,1.822,1453.953,2341.7,19.9,0.315,0.306,normal
2,nash_CC_270.out,2016-12-31,2016,158.695,158.695,0,8.7,8.671,1027.758,116.000,192,245,3.235,615.717,241.547,1.994,1.747,1.74,1002.231,2365.7,20.1,0.312,0.297,normal
2,nash_CC_270.out,2017-12-31,2017,36.321,36.321,0,8.7,8.611,1210.326,130.000,199,261,2.399,526.32,137.183,1.994,1.814,1.521,1203.467,2263,18.2,0.299,0.303,normal
2,nash_CC_270.out,2018-12-31,2018,41.419,41.419,0,8.7,8.533,978.485,128.000,192,248,1.672,504.445,101.53,1.994,1.747,1.474,890.277,2422.8,19.4,0.312,0.3,normal
2,nash_CC_270.out,2019-12-31,2019,217.342,217.342,0,8.7,8.61,1486.469,136.000,202,263,4.004,655.971,281.156,1.994,1.884,1.792,1652.087,1204,10.2,0.306,0.307,normal
2,nash_CS_270.out,1997-12-31,1997,238.393,238.393,0,8,7.858,1444.057,128,199,260,3.943,704.939,281.287,1.994,1.88,1.797,1642.135,1225.8,10.9,0.291,0.27,normal
2,nash_CS_270.out,1998-12-31,1998,55.227,0,55.227,0,0,1372.222,128,183,254,4.77,641.079,249.733,1,1.854,1,1403.693,2798,23,0.292,0.303,normal
2,nash_CS_270.out,1999-12-31,1999,200.865,200.865,0,8,7.763,1400.128,126,194,247,3.956,744.424,272.318,1.993,1.813,1.603,1179.401,493.3,4.6,0.298,0.303,normal
2,nash_CS_270.out,2000-12-31,2000,44.353,0,44.353,0,0,1384.853,126,189,272,3.432,704.796,199.85,1,1.847,1,1658.979,2359.9,14,0.317,0.285,normal
2,nash_CS_270.out,2001-12-31,2001,230.261,230.261,0,8,7.936,1474.799,127,195,247,4.813,731.162,332.417,1.879,1.951,1.702,2025.926,323.8,3.9,0.287,0.28,normal
2,nash_CS_270.out,2002-12-31,2002,7.549,0,7.549,0,0,1496.972,127,185,257,0.358,703.912,32.103,1,1.944,1,1453.534,2737.9,17,0.282,0.31,normal
2,nash_CS_270.out,2003-12-31,2003,231.377,231.377,0,8,0,1514.974,128,199,253,4.189,790.728,345.88,1.854,1.948,1.744,2089.04,139.7,1.2,0.269,0.246,normal
2,nash_CS_270.out,2004-12-31,2004,41.858,0,41.858,0,0,1283.577,128,190,0,3.278,562.663,163.097,1,1.998,1,1208.007,3312.2,20.1,0.292,0.308,normal
2,nash_CS_270.out,2005-12-31,2005,217.315,217.315,0,8.7,5.673,1337.065,128,198,254,3.176,794.507,288.214,1.994,1.882,1.812,1656.469,388.1,4.8,0.306,0.293,normal
2,nash_CS_270.out,2006-12-31,2006,62.236,0,62.236,0,0,1558.009,128,188,0,6.306,704.122,283.26,0.996,1.832,1,1904.156,1923.8,16.1,0.306,0.304,normal
2,nash_CS_270.out,2007-12-31,2007,240.737,240.737,0,8.7,8.696,1520.478,130,198,254,5.089,775.586,336.091,1.988,1.898,1.862,1658.632,505.2,6.9,0.307,0.29,normal
2,nash_CS_270.out,2008-12-31,2008,45.562,0,45.562,0,0,1256.346,130,192,0,3.695,587.273,190.554,1,1.819,1,1251.239,3238.8,27.2,0.311,0.335,normal
2,nash_CS_270.out,2009-12-31,2009,236.221,236.221,0,8.7,0,1474.945,116,194,258,4.533,752.761,327.614,1.995,1.886,1.766,1739.561,359.6,5.2,0.32,0.26,normal
2,nash_CS_270.out,2010-12-31,2010,48.885,0,48.885,0,0,1168.831,116,183,252,3.956,586.402,218.06,1,1.814,1,1101.646,4791.7,39.4,0.305,0.3,normal
2,nash_CS_270.out,2011-12-31,2011,228.634,228.634,0,8.7,8.7,1459.243,131,201,255,4.419,743.5,309.331,1.994,1.914,1.811,1762.781,679.4,6.6,0.297,0.31,normal
2,nash_CS_270.out,2012-12-31,2012,51.402,0,51.402,0,0,1538.5,131,190,0,6.102,799.96,330.388,0.787,1.985,1,2198.074,1305.1,11.2,0.286,0.297,normal
2,nash_CS_270.out,2013-12-31,2013,203.279,203.279,0,8.7,8.567,1445.549,139,207,270,4.892,794.869,389.679,1.815,1.914,1.823,1862.025,467.6,6.1,0.226,0.312,normal
2,nash_CS_270.out,2014-12-31,2014,43.383,0,43.383,0,0,1360.887,139,191,0,5.139,477.362,196.339,1,2,1,1240.04,5043.3,45.5,0.312,0.33,normal
2,nash_CS_270.out,2015-12-31,2015,236.114,236.114,0,8.7,8.7,1344.065,125,199,257,4.129,781.739,323.022,1.994,1.889,1.835,1678.973,442.3,7.9,0.315,0.291,normal
2,nash_CS_270.out,2016-12-31,2016,14.065,0,14.065,0,0,1107.175,125,182,256,0.866,751.493,58.22,1,1.952,1,1018.515,2564,21.9,0.31,0.292,normal
2,nash_CS_270.out,2017-12-31,2017,123.399,123.399,0,8.7,8.657,1409.852,130,199,261,3.784,672.312,217.198,1.994,1.853,1.575,1382.104,139.4,1.4,0.3,0.293,normal
2,nash_CS_270.out,2018-12-31,2018,0,0,0,8.7,8.519,916.086,128,192,248,0.876,495.704,48.319,1.994,1.745,1.427,872.989,2930.3,19.1,0.312,0.302,normal
2,nash_CS_270.out,2019-12-31,2019,217.423,217.423,0,8.7,8.63,1504.085,136,202,263,4.057,677.206,282.5,1.994,1.889,1.793,1681.101,791.6,7,0.306,0.302,normal
2,nash_SC_270.out,1997-12-31,1997,44.689,0,44.689,0,0,1508.603,?,191,276,3.616,739.604,176.9,1,1,1,1574.853,1202.7,10.7,0.286,0.276,normal
2,nash_SC_270.out,1998-12-31,1998,208.221,208.221,0,8,8,1269.404,126.000,193,247,3.23,699.88,270.769,1.994,1.861,1.709,1631.602,410.4,5.9,0.297,0.295,normal
2,nash_SC_270.out,1999-12-31,1999,50.773,0,50.773,0,0,1302.163,126.000,185,266,3.801,696.293,222.781,1,1.76,1,1110.27,2379.4,17.4,0.282,0.309,normal
2,nash_SC_270.out,2000-12-31,2000,217.099,217.099,0,8,7.65,1510.63,126.000,196,254,3.818,733.847,298.253,1.991,1.936,1.745,2134.07,689.6,7.9,0.319,0.238,normal
2,nash_SC_270.out,2001-12-31,2001,48.669,0,48.669,0,0,1544.204,126.000,188,270,3.86,618.114,217.927,1,1.948,1,1642.237,2910.2,19.2,0.281,0.302,normal
2,nash_SC_270.out,2002-12-31,2002,242.035,242.035,0,8,7.848,1434.5,128.000,192,247,4.758,775.169,326.818,1.942,1.976,1.712,2194.683,401.7,4.7,0.292,0.285,normal
2,nash_SC_270.out,2003-12-31,2003,58.356,0,58.356,0,0,1387.865,128.000,190,0,5.137,645.01,288.236,0.956,1.921,1,1660.557,2851.6,18.2,0.268,0.306,normal
2,nash_SC_270.out,2004-12-31,2004,181.621,181.621,0,8,8,1255.409,129.000,200,263,3.308,671.3,232.283,1.994,1.848,1.684,1458.256,737,8.6,0.302,0.289,normal
2,nash_SC_270.out,2005-12-31,2005,49.886,0,49.886,0,0,1305.759,129.000,187,261,3.731,669.311,226.042,1,1.918,1,1222.455,2760.8,16.8,0.303,0.308,normal
2,nash_SC_270.out,2006-12-31,2006,194.447,194.447,0,8.7,8.647,1542.876,127.000,199,256,4.996,750.933,321.326,1.924,1.951,1.837,2040.477,502.3,5.7,0.311,0.29,normal
2,nash_SC_270.out,2007-12-31,2007,60.54,0,60.54,0,0,1471.269,127.000,184,0,5.877,640.345,268.003,1,1.969,1,1212.822,3535.8,33.3,0.308,0.315,normal
2,nash_SC_270.out,2008-12-31,2008,239.772,239.772,0,8.7,8.7,1328.85,137.000,207,271,4.175,747.245,300.541,1.994,1.883,1.885,1603.683,419.2,4.2,0.313,0.325,normal
2,nash_SC_270.out,2009-12-31,2009,49.841,0,49.841,0,0,1455.967,137.000,190,0,4.503,616.599,188.35,1,1.924,1,1357.666,2738.8,23.2,0.321,0.281,normal
2,nash_SC_270.out,2010-12-31,2010,226.507,226.507,0,8.9,8.872,1297.131,117.000,192,243,4.108,778.748,346.732,1.993,1.875,1.856,1619.765,524.2,8.7,0.312,0.285,normal
2,nash_SC_270.out,2011-12-31,2011,39.351,0,39.351,0,0,1433.34,117.000,203,0,4.112,618.83,186.867,1,1.961,1,1515.458,2753.1,23.2,0.289,0.303,normal
2,nash_SC_270.out,2012-12-31,2012,234.952,234.952,0,8.7,8.651,1513.574,125.000,192,244,5.004,883.989,404.53,1.657,1.982,1.862,2119.009,221.3,4.4,0.288,0.276,normal
2,nash_SC_270.out,2013-12-31,2013,55.57,0,55.57,0,0,1530.979,125.000,192,0,5.271,657.783,275.753,0.994,2,1,1622.334,2235.4,22.5,0.249,0.324,normal
2,nash_SC_270.out,2014-12-31,2014,197.343,197.343,0,8.7,8.608,1347.286,136.000,206,272,3.535,663.184,265.933,1.994,1.874,1.875,1542.765,610.1,7.9,0.313,0.317,normal
2,nash_SC_270.out,2015-12-31,2015,46.407,0,46.407,0,0,1334.383,136.000,185,0,3.721,716.233,216.21,1,1.818,1,1295.982,2754.4,23.7,0.31,0.311,normal
2,nash_SC_270.out,2016-12-31,2016,168.827,168.827,0,8.7,8.686,1200.451,116.000,192,245,3.58,711.216,259.239,1.994,1.771,1.748,1133.503,282.4,3.8,0.312,0.286,normal
2,nash_SC_270.out,2017-12-31,2017,0,0,0,8.7,8.597,1201.097,130.000,199,261,1.608,487.788,78.833,1.994,1.799,1.425,1141.283,2714.6,21.7,0.297,0.304,normal
2,nash_SC_270.out,2018-12-31,2018,28.221,28.221,0,8.7,8.562,1039.483,128.000,192,248,1.575,531.339,88.014,1.994,1.751,1.44,906.423,1635.2,13.3,0.312,0.296,normal
2,nash_SC_270.out,2019-12-31,2019,59.855,0,59.855,0,0,1529.383,128.000,190,268,5.561,676.733,264.052,1,1.774,1,1665.071,1192.4,9.7,0.305,0.308,normal
