set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
100,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,0,normal
100,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1269.147,126.000,193,247,3.23,699.725,270.723,1.994,1.861,1.709,1631.382,412.2,5.9,0.297,0.295,0,normal
100,nash_CC_270.out,1999-12-31,1999,51.098,0,51.098,0,0,1297.552,126.000,185,266,3.845,695.746,224.25,1,1.759,1,1109.681,2379.9,17.4,0.282,0.309,0,normal
100,nash_CC_270.out,2000-12-31,2000,217.071,217.071,0,8,8,1516.504,126.000,196,254,3.924,732.656,300.444,1.99,1.935,1.74,2132.411,692.9,8,0.319,0.239,0,normal
100,nash_CC_270.out,2001-12-31,2001,48.528,0,48.528,0,0,1543.141,126.000,188,270,3.845,614.052,217.202,1,1.946,1,1632.253,2979.9,19.4,0.282,0.302,0,normal
100,nash_CC_270.out,2002-12-31,2002,241.352,241.352,0,8,8,1434.5,128.000,192,247,4.793,774.621,327.006,1.942,1.975,1.71,2192.989,402.2,4.7,0.293,0.285,0,normal
100,nash_CC_270.out,2003-12-31,2003,58.427,0,58.427,0,0,1383.081,128.000,190,0,5.148,644.022,288.537,0.956,1.92,1,1659.259,2869.2,18.2,0.268,0.306,0,normal
100,nash_CC_270.out,2004-12-31,2004,212.903,212.903,0,8,8,1255.023,129.000,200,263,3.307,695.075,256.296,1.994,1.857,1.794,1507.759,738.9,8.6,0.297,0.289,0,normal
100,nash_CC_270.out,2005-12-31,2005,228.383,228.383,0,8.7,8.7,1305.904,128.000,198,254,3.844,684.577,306.619,1.994,1.844,1.803,1380.832,2371.2,20.2,0.303,0.311,0,normal
100,nash_CC_270.out,2006-12-31,2006,187.354,187.354,0,8.7,8.7,1522.275,127.000,199,256,4.708,655.192,304.458,1.987,1.923,1.831,1867.932,2191.1,18,0.313,0.305,11.877,normal
100,nash_CC_270.out,2007-12-31,2007,230.93,230.93,0,8.7,8.7,1465.394,130.000,198,254,4.849,647.352,318.857,1.993,1.859,1.855,1389.067,3402.7,30,0.307,0.311,2.562,normal
100,nash_CC_270.out,2008-12-31,2008,221.66,221.66,0,8.7,8.7,1300.005,137.000,207,270,3.977,626.056,280.19,1.994,1.861,1.872,1490.259,2953.6,24.8,0.315,0.336,0,normal
100,nash_CC_270.out,2009-12-31,2009,226.787,226.787,0,8.7,0,1354.368,116.000,194,258,4.19,637.033,303.012,1.995,1.857,1.732,1556.245,2759.1,23.4,0.32,0.287,0,normal
100,nash_CC_270.out,2010-12-31,2010,195.035,195.035,0,8.9,8.9,1148.242,117.000,192,243,3.42,597.305,277.465,1.994,1.796,1.752,1179.419,4208,29.1,0.311,0.309,2.127,normal
