set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
10,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,reduced
10,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1269.147,126.000,193,247,3.23,699.725,270.723,1.994,1.861,1.709,1631.382,412.2,5.9,0.297,0.295,reduced
10,nash_CC_270.out,1999-12-31,1999,51.098,0,51.098,0,0,1297.552,126.000,185,266,3.845,695.746,224.25,1,1.759,1,1109.681,2379.9,17.4,0.282,0.309,reduced
10,nash_CC_270.out,2000-12-31,2000,217.067,217.067,0,8,7.651,1516.787,126.000,196,254,3.817,733.706,298.213,1.991,1.936,1.745,2133.375,692.9,8,0.319,0.239,reduced
10,nash_CC_270.out,2001-12-31,2001,48.773,0,48.773,0,0,1544.209,126.000,188,270,3.874,618.195,218.428,1,1.948,1,1642.312,2909.1,19.2,0.281,0.302,reduced
10,nash_CC_270.out,2002-12-31,2002,242.087,242.087,0,8,7.848,1434.5,128.000,192,247,4.758,775.168,326.86,1.942,1.975,1.712,2194.414,402.7,4.7,0.292,0.285,reduced
10,nash_CC_270.out,2003-12-31,2003,58.464,0,58.464,0,0,1387.037,128.000,190,0,5.154,645.091,288.73,0.955,1.921,1,1660.826,2850.9,18.2,0.267,0.306,reduced
10,nash_CC_270.out,2004-12-31,2004,212.912,212.912,0,8,8,1255.206,129.000,200,263,3.308,695.131,256.308,1.994,1.857,1.794,1507.856,737.9,8.6,0.297,0.289,reduced
10,nash_CC_270.out,2005-12-31,2005,243.183,243.183,0,8.7,8.7,1293.776,128.000,198,254,3.94,690.84,325.231,1.994,1.852,1.797,1431.895,2372.7,20.3,0.304,0.311,reduced
10,nash_CC_270.out,2006-12-31,2006,185.065,185.065,0,8.7,8.7,1382.695,127.000,199,256,4.161,533.554,297.796,1.994,1.876,1.823,1608.086,5548.6,40.3,0.314,0.314,reduced
10,nash_CC_270.out,2007-12-31,2007,224.499,224.499,0,8.7,8.7,1400.786,130.000,198,254,4.603,522.473,311.993,1.993,1.821,1.808,1234.165,7357.7,63.3,0.307,0.32,reduced
10,nash_CC_270.out,2008-12-31,2008,209.246,209.246,0,8.7,8.7,1216.9,137.000,207,270,3.656,496.001,267.555,1.994,1.828,1.805,1367.198,6523.1,43.4,0.315,0.34,reduced
10,nash_CC_270.out,2009-12-31,2009,220.174,220.174,0,8.7,0,1247.411,116.000,194,258,3.88,520.833,284.396,1.995,1.828,1.69,1390.64,5818.5,40,0.32,0.297,reduced
10,nash_CC_270.out,2010-12-31,2010,179.361,179.361,0,8.9,8.9,1044.833,117.000,192,243,3.194,471.967,262.065,1.994,1.768,1.728,1087.631,8081.2,54.3,0.312,0.313,reduced
10,nash_CC_270.out,2011-12-31,2011,224.103,224.103,0,8.7,8.7,1355.499,131.000,201,255,4.115,545.964,297.951,1.994,1.869,1.8,1562.312,5532.8,36.8,0.305,0.322,reduced
10,nash_CC_270.out,2012-12-31,2012,234.767,234.767,0,8.7,8.7,1506.539,125.000,192,244,4.84,673.591,395.213,1.765,1.939,1.851,1921.018,4646,39.4,0.297,0.317,reduced
10,nash_CC_270.out,2013-12-31,2013,203.571,203.571,0,8.7,8.7,1431.361,139.000,207,270,4.779,617.684,385.262,1.835,1.9,1.814,1794.476,5494.9,51.8,0.237,0.328,reduced
10,nash_CC_270.out,2014-12-31,2014,177.839,177.839,0,8.7,8.7,1273.373,136.000,206,272,3.094,386.534,236.691,1.994,1.803,1.83,1268.528,10382.6,81.7,0.315,0.333,reduced
10,nash_CC_270.out,2015-12-31,2015,215.179,215.179,0,8.7,8.7,1235.825,125.000,199,257,3.55,573.133,294.823,1.994,1.826,1.813,1373.83,5167.5,42.4,0.315,0.313,reduced
10,nash_CC_270.out,2016-12-31,2016,150.915,150.915,0,8.7,8.7,943.539,116.000,192,245,3.005,509.246,227.397,1.994,1.728,1.731,923.48,5323.4,44.9,0.312,0.303,reduced
10,nash_CC_270.out,2017-12-31,2017,1.179,1.179,0,8.7,8.7,1036.652,130.000,199,261,1.88,401.66,106.783,1.994,1.784,1.498,1102.181,4985.4,40.2,0.301,0.309,reduced
10,nash_CC_270.out,2018-12-31,2018,28.807,28.807,0,8.7,8.7,910.693,128.000,192,248,1.316,435.682,89.717,1.994,1.735,1.497,850.301,4756.1,41.4,0.313,0.305,reduced
10,nash_CC_270.out,2019-12-31,2019,217.14,217.14,0,8.7,8.7,1441.691,136.000,202,263,3.917,601.433,278.76,1.994,1.872,1.789,1595.03,2519.4,21.9,0.307,0.314,reduced
10,nash_CS_270.out,1997-12-31,1997,232.597,232.597,0,8,8,1371.341,128,199,260,3.88,685.566,277.038,1.994,1.865,1.794,1562.937,1628.7,14.5,0.294,0.273,reduced
10,nash_CS_270.out,1998-12-31,1998,56.742,0,56.742,0,0,1308.844,128,183,254,4.978,442.391,256.97,1,1.85,1,1204.481,8384,68.3,0.297,0.312,reduced
10,nash_CS_270.out,1999-12-31,1999,181.655,181.655,0,8,8,1378.554,126,194,246,3.943,637.393,258.69,1.993,1.793,1.573,1084.668,2798.9,26,0.302,0.313,reduced
10,nash_CS_270.out,2000-12-31,2000,43.857,0,43.857,0,0,1307.86,126,189,272,3.375,480.51,197.46,1,1.823,1,1305.15,6902.3,40.6,0.319,0.305,reduced
10,nash_CS_270.out,2001-12-31,2001,233.609,233.609,0,8,8,1471.655,127,195,247,4.789,694.706,333.247,1.902,1.942,1.705,1967.497,1104.8,11.9,0.29,0.288,reduced
