state,site_name,site,lat,lon,iacsr_maj,iacsr_wgt,bhz_maj,bhz_wt,om_maj,om_wgt,cropprodindex_maj,cropprodindex_wgt,pctC_12in,pctC_30in
IA,Ames,ames,42.0206687,-93.775165,88,88.98490909268732,29,28.099999999999998,3,3.05,NA,NA,NA,NA
IA,Kanawha,kana,42.9094,-93.7916,84,86.1548903163253,32,35.405,6,6.2250000000000005,93,95.58586837959035,NA,NA
IA,Crawfordsville,craw,41.1939,-91.4827,83,82.37857349119261,38.333333333333336,37.24166666666667,3.1666666666666665,3.1833333333333336,NA,NA,NA,NA
IA,Lewis,lewi,41.3137,-95.1729,95,91.77388855361093,37,37,3,3,NA,NA,NA,NA
IA,McNay,mcna,40.9729,-93.4244,72,74.38966953291188,31,29.950000000000003,3.3,3.3449999999999998,NA,NA,NA,NA
IA,Nashua,nash,42.9321,-92.5723,91,90.55300837776085,30.5,30.724999999999998,4.25,4.295833333333333,100,98.65902513328257,NA,NA
IA,Sutherland,suth,42.9264,-95.5397,100,96.80066811379574,31.5,31.625,5.1,5.1025,NA,NA,NA,NA
IL,DeKalb,deka,41.83949,-88.85999,NA,NA,53,52.02,5.5,5.494,NA,NA,2.225,0.74
IL,Monmouth,monm,40.933945,-90.72655499999999,NA,NA,44,NA,4.5,NA,NA,NA,2.8,1.705
IL,Urbana,urba,40.080955,-88.22486,NA,NA,36,35.76,5.5,5.506,NA,NA,2.7875,0.97
IL,Orr Center/Perry,orrc,39.80261,-90.821695,NA,NA,15,NA,2,NA,NA,NA,0.9225,0.51
IL,Brownstown,brow,38.951841,-88.9572875,NA,NA,20,NA,1.75,NA,NA,NA,1.545,0.76
IL,Dixon Springs Upland,dixu,37.45807,-88.71947,NA,NA,8,8,1,1,NA,NA,0.7,0.1325
IL,Dixon Springs Bottomland,dixb,37.425305,-88.66396,NA,NA,5,5,0.75,0.75,NA,NA,0.6975,0.52
