set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
2009,ames_CC_270.out,1996-12-31,1996,245.794,245.794,0,7.9,7.9,1342.945,129,198,255,4.916,748.547,321.507,1.994,1.912,1.752,1367.196,1176.3,10.5,0.352,0.306,normal
2009,ames_CC_270.out,1997-12-31,1997,51.283,0,51.283,0,0,1511,129,186,258,3.876,597.847,219.794,1,1.928,1,1404.295,4036,33.6,0.345,0.344,normal
2009,ames_CC_270.out,1998-12-31,1998,242.22,242.22,0,7.9,7.9,1176.263,126,192,244,3.771,751.403,307.753,1.994,1.905,1.679,1406.029,484.5,5.5,0.341,0.342,normal
2009,ames_CC_270.out,1999-12-31,1999,210.712,210.712,0,7.9,7.772,1365.377,146,207,269,4.173,728.224,287.601,1.994,1.889,1.813,1205.13,1220,9.1,0.341,0.366,normal
2009,ames_CC_270.out,2000-12-31,2000,145.788,145.788,0,7.4,7.4,1505.785,132,200,255,3.809,640.525,253.022,1.993,1.946,1.883,1576.443,2392,20.6,0.352,0.315,normal
2009,ames_CC_270.out,2001-12-31,2001,193.377,193.377,0,6.5,6.5,1514.684,134,199,248,4.364,647.909,272.259,1.994,1.935,1.738,1494.424,1940,18.1,0.343,0.354,normal
2009,ames_CC_270.out,2002-12-31,2002,220.303,220.303,0,7.9,7.9,1494.003,130,195,248,4.745,720.349,320.966,1.991,1.945,1.787,1493.084,1584.7,13.5,0.339,0.347,normal
2009,ames_CC_270.out,2003-12-31,2003,189.005,189.005,0,7.8,6.728,1217.634,126,198,253,3.325,641.97,305.244,1.992,1.888,1.744,1270.347,3493.2,30,0.349,0.342,normal
2009,ames_CC_270.out,2004-12-31,2004,239.067,239.067,0,8,8,1389.077,127,201,266,4.061,649.047,268.946,1.994,1.913,1.858,1315.804,1804.5,15.7,0.346,0.352,normal
2009,ames_CC_270.out,2005-12-31,2005,237.456,237.456,0,8,7.981,1525.091,131,199,253,4.964,733.92,353.008,1.994,1.936,1.764,1463.917,2013.2,17.4,0.347,0.338,normal
2009,ames_CC_270.out,2006-12-31,2006,210.568,210.568,0,8,8,1515.791,138,201,256,4.706,663.636,309.855,1.978,1.97,1.78,1673.693,2180.8,19.2,0.355,0.349,normal
2009,ames_CC_270.out,2007-12-31,2007,206.446,206.446,0,8,7.975,1523.91,139,203,256,5.096,711.523,314.414,1.985,1.948,1.8,1498.715,1553.2,14.7,0.349,0.365,normal
2009,ames_CC_270.out,2008-12-31,2008,200.446,200.446,0,7.4,6.882,1146.514,142,211,279,3.762,654.783,269.462,1.994,1.835,1.803,1091.328,2327.5,20.4,0.355,0.369,normal
2009,ames_CC_270.out,2009-12-31,2009,208.544,208.544,0,8,8,1503.1,133,203,266,4.205,594.811,244.664,1.994,1.924,1.86,1342.121,2713.1,23.1,0.357,0.353,normal
2009,ames_CC_270.out,2010-12-31,2010,160.385,160.385,0,8,8,877.855,127,195,243,2.827,654.954,223.101,1.994,1.787,1.743,861.978,1357.9,11.7,0.349,0.339,normal
2009,ames_CC_270.out,2011-12-31,2011,200.24,200.24,0,7.9,7.9,1499.972,139,204,260,4.201,608.005,234.1,1.994,1.922,1.772,1461.348,2082.8,16.8,0.349,0.338,normal
2009,ames_CC_270.out,2012-12-31,2012,198.834,198.834,0,7.9,7.9,1514.009,137,195,244,4.624,857.96,419.534,1.737,1.994,1.773,1812.159,634.9,5.6,0.344,0.353,normal
2009,ames_CC_270.out,2013-12-31,2013,139.665,139.665,0,7.9,7.776,1518.524,150,211,265,4.541,663.424,306.082,1.982,1.965,1.861,1580.41,2638.9,26.1,0.337,0.354,normal
2009,ames_CC_270.out,2014-12-31,2014,153.133,153.133,0,7.9,7.9,975.359,134,203,262,2.661,582.831,193.589,1.994,1.815,1.8,896.423,2029.9,21.3,0.352,0.359,normal
2009,ames_CC_270.out,2015-12-31,2015,213.157,213.157,0,8.9,8.9,1284.634,141,206,263,4.493,718.806,279.45,1.993,1.871,1.865,1180.12,1033.1,8.6,0.375,0.332,normal
2009,ames_CC_270.out,2016-12-31,2016,198.668,198.668,0,8.6,8.6,1292.407,127,192,243,5.067,685.691,287.535,1.978,1.923,1.742,1368.503,1523.3,12.7,0.351,0.332,normal
2009,ames_CS_270.out,1996-12-31,1996,64.78,0,64.78,0,0,1501.621,?,187,269,6.229,758.574,257.763,1,1,1,1312.189,1159.2,10.3,0.352,0.307,normal
2009,ames_CS_270.out,1997-12-31,1997,238.92,238.92,0,7.9,7.9,1560.579,127.000,196,250,5.297,786.581,357.938,1.979,1.972,1.727,1783.345,966.4,11.5,0.347,0.32,normal
2009,ames_CS_270.out,1998-12-31,1998,43.801,0,43.801,0,0,1183.398,127.000,182,247,3.79,587.406,199.713,1,1.902,1,1124.59,4177.9,28.6,0.336,0.356,normal
2009,ames_CS_270.out,1999-12-31,1999,221.857,221.857,0,7.9,7.9,1518.746,146.000,207,269,4.437,831.408,305.915,1.994,1.914,1.825,1321.297,199.6,2,0.341,0.352,normal
2009,ames_CS_270.out,2000-12-31,2000,48.722,0,48.722,0,0,1545.898,146.000,186,254,4.466,696.453,231.908,1,1.956,1,1632.851,2577.8,22.3,0.349,0.313,normal
2009,ames_CS_270.out,2001-12-31,2001,211.291,211.291,0,7.5,7.5,1548.526,134.000,199,248,4.844,726.932,307.872,1.991,1.949,1.743,1631.399,487.9,5.2,0.347,0.337,normal
2009,ames_CS_270.out,2002-12-31,2002,43.188,0,43.188,0,0,1346.624,134.000,183,251,3.346,563.174,212.242,1,1.834,1,1113.279,5819,65.3,0.335,0.361,normal
2009,ames_CS_270.out,2003-12-31,2003,233.514,233.514,0,7.8,7.8,1500.458,126.000,198,253,4.275,808.793,382.624,1.981,1.938,1.752,1547.982,829.8,8.4,0.349,0.315,normal
2009,ames_CS_270.out,2004-12-31,2004,43.388,0,43.388,0,0,1527.445,126.000,196,0,3.567,643.992,163.555,1,1.957,1,1210.147,2731.5,23.6,0.341,0.342,normal
2009,ames_CS_270.out,2005-12-31,2005,256.146,256.146,0,8,8,1566.75,131.000,199,253,5.364,873.104,395.95,1.978,1.964,1.771,1702.608,332.7,5.6,0.347,0.311,normal
2009,ames_CS_270.out,2006-12-31,2006,61.663,0,61.663,0,0,1590.56,131.000,193,275,6.483,675.2,288.185,1,1.917,1,1648.425,2819.3,25.8,0.351,0.345,normal
2009,ames_CS_270.out,2007-12-31,2007,221.547,221.547,0,8,7.99,1576.763,139.000,203,256,5.252,825.028,336.93,1.984,1.962,1.805,1637.848,324.1,4.4,0.349,0.347,normal
2009,ames_CS_270.out,2008-12-31,2008,52.659,0,52.659,0,0,1251.75,139.000,195,0,4.147,623.263,216.091,1,1.833,1,949.28,2905.2,25.6,0.354,0.363,normal
2009,ames_CS_270.out,2009-12-31,2009,239.221,239.221,0,8,8,1517.423,133.000,203,266,4.724,752.233,282.255,1.994,1.958,1.869,1583.755,343.3,4.2,0.357,0.329,normal
2009,ames_CS_270.out,2010-12-31,2010,44.783,0,44.783,0,0,1093.322,133.000,182,244,4.808,717.19,228.46,1,1.873,1,849.079,1583.4,13.6,0.347,0.348,normal
2009,ames_CS_270.out,2011-12-31,2011,215.317,215.317,0,7.9,7.9,1508.962,139.000,204,260,4.553,679.854,259.735,1.994,1.941,1.776,1576.688,850.9,9.4,0.349,0.323,normal
2009,ames_CS_270.out,2012-12-31,2012,61.32,0,61.32,0,0,1605.594,139.000,185,252,6.092,861.953,369.987,0.935,1.966,1,1824.744,1327.5,11.6,0.341,0.349,normal
2009,ames_CS_270.out,2013-12-31,2013,152.74,152.74,0,7.9,7.9,1563.62,150.000,211,265,4.904,826.41,352.742,1.9,1.98,1.865,1721.369,412.4,4.5,0.334,0.315,normal
