set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1009,ames_CC_270.out,1996-12-31,1996,253.27,253.27,0,7.9,7.9,1501.719,129,198,255,4.992,759.643,334.108,1.994,1.914,1.75,1384.644,1176.3,10.5,0.352,0.306,normal
1009,ames_CC_270.out,1997-12-31,1997,50.367,0,50.367,0,0,1512.796,129,186,258,3.773,581.857,215.483,1,1.93,1,1374.772,4287.2,33,0.345,0.345,normal
1009,ames_CC_270.out,1998-12-31,1998,241.145,241.145,0,7.9,7.9,1177.56,126,192,244,3.772,750.871,306.81,1.994,1.905,1.672,1405.443,478.1,5.4,0.341,0.342,normal
1009,ames_CC_270.out,1999-12-31,1999,219.202,219.202,0,7.9,7.771,1441.944,146,207,269,4.243,738.008,299.572,1.994,1.892,1.813,1222.685,1225.2,9,0.341,0.366,normal
1009,ames_CC_270.out,2000-12-31,2000,158.052,158.052,0,7.4,7.4,1532.807,132,200,255,4.001,656.84,285.16,1.993,1.947,1.882,1601.589,2570.4,22.1,0.352,0.317,normal
1009,ames_CC_270.out,2001-12-31,2001,210.541,210.541,0,6.5,6.5,1534.192,134,199,248,4.471,635.705,293.82,1.994,1.93,1.734,1486.993,2989.7,27.5,0.347,0.357,normal
1009,ames_CC_270.out,2002-12-31,2002,235.726,235.726,0,7.9,7.9,1516.278,130,195,248,4.882,730.435,342.172,1.992,1.944,1.786,1503.905,1743,14.9,0.339,0.348,normal
1009,ames_CC_270.out,2003-12-31,2003,204.637,204.637,0,7.8,6.635,1280.358,126,198,253,3.336,662.6,340.501,1.988,1.892,1.743,1308.735,3769.5,32.4,0.349,0.343,normal
1009,ames_CC_270.out,2004-12-31,2004,258.211,258.211,0,8,8,1501.534,127,201,266,4.143,651.764,289.264,1.994,1.913,1.856,1330.569,2227,19.3,0.346,0.353,normal
1009,ames_CC_270.out,2005-12-31,2005,253.579,253.579,0,8,7.98,1530.485,131,199,253,5.133,751.945,386.097,1.992,1.939,1.763,1509.86,2276.5,19.6,0.347,0.336,normal
1009,ames_CC_270.out,2006-12-31,2006,236.921,236.921,0,8,8,1584.445,138,201,256,5,671.687,343.841,1.974,1.971,1.779,1688.006,2814.6,24.4,0.354,0.351,normal
1009,ames_CC_270.out,2007-12-31,2007,220.902,220.902,0,8,7.97,1561.887,139,203,256,5.2,709.125,333.694,1.99,1.948,1.798,1502.872,1998.3,17.7,0.349,0.367,normal
