set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
1105,ames_CC_270.out,1996-12-31,1996,249.894,249.894,0,7.9,7.9,1519.53,129,198,255,4.959,754.731,328.501,1.994,1.913,1.752,1376.62,1176.3,10.5,0.352,0.306,0,normal
1105,ames_CC_270.out,1997-12-31,1997,50.705,0,50.705,0,0,1511.743,129,186,258,3.811,589.063,217.075,1,1.929,1,1387.609,4174.8,33.5,0.345,0.345,0.248,normal
1105,ames_CC_270.out,1998-12-31,1998,241.972,241.972,0,7.9,7.9,1177.313,126,192,244,3.772,751.454,307.51,1.994,1.905,1.676,1406.002,479.6,5.5,0.341,0.342,0.248,normal
1105,ames_CC_270.out,1999-12-31,1999,216.114,216.114,0,7.9,7.9,1426.941,146,207,269,4.242,733.645,295.283,1.994,1.89,1.813,1215.076,1223,9,0.341,0.366,0.248,normal
1105,ames_CC_270.out,2000-12-31,2000,152.232,152.232,0,7.4,7.4,1529.999,132,200,255,3.908,648.021,269.864,1.993,1.946,1.882,1588.424,2508.5,21.6,0.352,0.316,0,normal
1105,ames_CC_270.out,2001-12-31,2001,200.586,200.586,0,6.5,6.5,1533.736,134,199,248,4.402,639.032,280.25,1.994,1.932,1.736,1487.527,2496.2,22.9,0.347,0.355,0,normal
1105,ames_CC_270.out,2002-12-31,2002,228.601,228.601,0,7.9,7.9,1516.667,130,195,248,4.82,727.885,332.308,1.993,1.944,1.786,1501.275,1631.7,13.9,0.339,0.348,0,normal
1105,ames_CC_270.out,2003-12-31,2003,210.772,210.772,0,7.8,7.8,1269.004,126,198,253,3.721,654.473,336.728,1.99,1.891,1.743,1292.021,3638.7,31.3,0.349,0.342,0,normal
1105,ames_CC_270.out,2004-12-31,2004,247.473,247.473,0,8,8,1514.867,127,201,266,4.072,647.391,277.746,1.994,1.91,1.856,1324.823,2072.3,17.9,0.346,0.353,0,normal
1105,ames_CC_270.out,2005-12-31,2005,246.135,246.135,0,8,8,1528.555,131,199,253,5.065,744.488,370.779,1.993,1.939,1.764,1493.978,2123,18.3,0.347,0.335,0.808,normal
