set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
1107,ames_CC_270.out,1996-12-31,1996,241.728,241.728,0,7.9,7.9,1514.718,129,198,255,4.872,742.791,314.854,1.994,1.909,1.752,1360.623,1176.3,10.5,0.352,0.306,0,normal
1107,ames_CC_270.out,1997-12-31,1997,52.212,0,52.212,0,0,1517.23,129,186,258,3.984,606.808,224.17,1,1.924,1,1419.264,3900.8,33.3,0.345,0.343,0.248,normal
1107,ames_CC_270.out,1998-12-31,1998,242.23,242.23,0,7.9,7.9,1173.998,126,192,244,3.769,750.917,307.729,1.994,1.905,1.68,1405.579,492.8,5.6,0.341,0.342,0.248,normal
1107,ames_CC_270.out,1999-12-31,1999,206.906,206.906,0,7.9,7.9,1403.715,146,207,269,4.157,723.404,282.766,1.994,1.885,1.813,1197.047,1219.8,9.1,0.341,0.366,0.248,normal
1107,ames_CC_270.out,2000-12-31,2000,151.634,151.634,0,7.4,7.4,1523.577,132,200,255,3.922,653.992,268.504,1.993,1.948,1.883,1599.565,2330.4,20,0.352,0.314,0,normal
1107,ames_CC_270.out,2001-12-31,2001,198.37,198.37,0,6.5,6.5,1533.536,134,199,248,4.388,638.808,277.714,1.994,1.933,1.736,1486.995,2433.2,22.4,0.343,0.355,0,normal
1107,ames_CC_270.out,2002-12-31,2002,221.198,221.198,0,7.9,7.9,1516.87,130,195,248,4.752,720.136,322.093,1.994,1.944,1.786,1495.744,1616.2,13.7,0.339,0.347,0,normal
1107,ames_CC_270.out,2003-12-31,2003,215.239,215.239,0,7.8,7.8,1266.227,126,198,253,3.772,667.035,346.18,1.988,1.894,1.744,1309.527,3506,30.1,0.349,0.342,0,normal
1107,ames_CC_270.out,2004-12-31,2004,242.739,242.739,0,8,8,1512.539,127,201,266,4.02,639.027,272.059,1.994,1.907,1.856,1303.917,2181.2,18.8,0.346,0.353,0,normal
1107,ames_CC_270.out,2005-12-31,2005,243.19,243.19,0,8,8,1528.022,131,199,253,5.037,742.508,364.835,1.994,1.939,1.764,1488.744,2047.6,17.7,0.347,0.335,0.808,normal
1107,ames_CC_270.out,2006-12-31,2006,222.367,222.367,0,8,8,1584.685,138,201,256,4.902,668.194,324.59,1.982,1.97,1.78,1682.267,2412.6,21,0.355,0.35,0,normal
1107,ames_CC_270.out,2007-12-31,2007,207.617,207.617,0,8,8,1558.353,139,203,256,5.117,703.487,315.423,1.992,1.946,1.799,1489.422,1756.2,15.7,0.349,0.366,0,normal
1107,ames_CC_270.out,2008-12-31,2008,215.749,215.749,0,7.4,7.4,1259.07,142,211,279,3.988,669.017,290.303,1.994,1.837,1.803,1112.782,2358.4,20.7,0.355,0.369,0,normal
1107,ames_CC_270.out,2009-12-31,2009,223.656,223.656,0,8,8,1507.633,133,203,266,4.326,596.904,260.711,1.994,1.924,1.859,1352.967,3016.6,25.7,0.357,0.355,0,normal
1107,ames_CC_270.out,2010-12-31,2010,156.424,156.424,0,8,8,941.654,127,195,243,2.77,645.225,217.998,1.994,1.782,1.742,850.99,1514.3,13,0.349,0.34,0,normal
