set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
1002,ames_CC_270.out,1996-12-31,1996,253.27,253.27,0,7.9,7.9,1501.719,129,198,255,4.992,759.643,334.108,1.994,1.914,1.75,1384.644,1176.3,10.5,0.352,0.306,reduced
1002,ames_CC_270.out,1997-12-31,1997,50.367,0,50.367,0,0,1512.796,129,186,258,3.773,581.857,215.483,1,1.93,1,1374.772,4287.2,33,0.345,0.345,reduced
1002,ames_CC_270.out,1998-12-31,1998,241.145,241.145,0,7.9,7.9,1177.56,126,192,244,3.772,750.871,306.81,1.994,1.905,1.672,1405.443,478.1,5.4,0.341,0.342,reduced
1002,ames_CC_270.out,1999-12-31,1999,219.546,219.546,0,7.9,7.823,1441.543,146,207,269,4.258,725.413,300.09,1.994,1.892,1.813,1222.797,1225.2,9,0.343,0.366,reduced
1002,ames_CC_270.out,2000-12-31,2000,153.183,153.183,0,7.4,7.4,1436.187,132,200,255,3.526,521.818,272.005,1.993,1.903,1.872,1351.842,5891.5,50.7,0.353,0.339,reduced
1002,ames_CC_270.out,2001-12-31,2001,209.114,209.114,0,6.5,6.464,1508.028,134,199,248,4.364,564.342,289.019,1.994,1.914,1.728,1399.767,5243,46.6,0.345,0.362,reduced
1002,ames_CC_270.out,2002-12-31,2002,234.083,234.083,0,7.9,7.838,1507.819,130,195,248,4.68,629.595,334.468,1.993,1.919,1.778,1344.366,4167.8,35.4,0.34,0.356,reduced
1002,ames_CC_270.out,2003-12-31,2003,198.085,198.085,0,7.8,6.765,1137.014,126,198,254,3.201,581.47,318.647,1.989,1.869,1.744,1215.819,5513.1,47.2,0.349,0.346,reduced
1002,ames_CC_270.out,2004-12-31,2004,255.209,255.209,0,8,7.814,1408.546,127,200,266,3.68,510.151,273.822,1.994,1.874,1.848,1165.937,6612.8,56.7,0.347,0.36,reduced
1002,ames_CC_270.out,2005-12-31,2005,247.367,247.367,0,8,7.649,1505.551,131,199,253,4.84,637.446,374.062,1.994,1.909,1.756,1344.575,5118.3,43.9,0.348,0.348,reduced
1002,ames_CC_270.out,2006-12-31,2006,236.824,236.824,0,8,8,1537.723,138,201,256,4.831,534.8,337.829,1.992,1.945,1.774,1516.472,7185.7,62.5,0.357,0.358,reduced
1002,ames_CC_270.out,2007-12-31,2007,217.191,217.191,0,8,7.488,1522.796,139,202,256,4.872,561.602,319.825,1.993,1.907,1.789,1324.672,5824.9,49.2,0.35,0.378,reduced
1002,ames_CC_270.out,2008-12-31,2008,211.534,211.534,0,7.4,6.822,1173.248,142,211,278,3.664,548.323,287.168,1.994,1.819,1.792,1032.279,6113.2,51.9,0.355,0.384,reduced
1002,ames_CC_270.out,2009-12-31,2009,236.49,236.49,0,8,7.981,1516.391,133,203,266,4.149,476.007,269.513,1.994,1.895,1.851,1220.263,7007.2,60.2,0.358,0.366,reduced
1002,ames_CC_270.out,2010-12-31,2010,138.234,138.234,0,8,7.594,911.168,127,195,243,2.211,499.216,188.759,1.994,1.74,1.732,699.567,5659.6,48.6,0.35,0.355,reduced
1002,ames_CC_270.out,2011-12-31,2011,211.345,211.345,0,7.9,7.9,1479.211,139,204,260,4.251,550.682,253.323,1.994,1.913,1.769,1393.404,3802.2,30.8,0.351,0.346,reduced
1002,ames_CC_270.out,2012-12-31,2012,198.317,198.317,0,7.9,7.9,1530.436,137,195,244,4.468,675.105,413.557,1.887,1.966,1.767,1673.704,4856.9,42.6,0.347,0.371,reduced
1002,ames_CC_270.out,2013-12-31,2013,144.597,144.597,0,7.9,6.99,1511.709,150,211,265,4.445,524.876,331.768,1.984,1.931,1.843,1438.742,6765,61.6,0.339,0.372,reduced
1002,ames_CC_270.out,2014-12-31,2014,141.721,141.721,0,7.9,7.543,1070.859,134,205,265,2.056,416.86,171.247,1.994,1.758,1.799,753.474,8319.2,78.7,0.353,0.385,reduced
1002,ames_CC_270.out,2015-12-31,2015,219.116,219.116,0,8.9,8.9,1294.446,141,206,263,4.428,645.093,284.559,1.993,1.86,1.861,1093.004,2160.4,18,0.376,0.344,reduced
1002,ames_CC_270.out,2016-12-31,2016,212.326,212.326,0,8.6,8.6,1510.283,127,192,243,5.17,581.443,301.366,1.994,1.9,1.737,1238.185,4578.5,38.2,0.352,0.346,reduced
1002,ames_CS_270.out,1996-12-31,1996,64.78,0,64.78,0,0,1511.504,?,187,269,6.229,746.83,257.763,1,1,1,1291.823,1532.8,13.6,0.352,0.313,reduced
1002,ames_CS_270.out,1997-12-31,1997,237.967,237.967,0,7.9,7.9,1542.202,127.000,196,250,5.191,711.047,353.509,1.988,1.959,1.721,1693.981,2746.6,32.7,0.348,0.332,reduced
1002,ames_CS_270.out,1998-12-31,1998,40.708,0,40.708,0,0,958.187,127.000,182,247,3.435,320.675,183.77,1,1.89,1,912.524,11724.6,80.6,0.342,0.365,reduced
1002,ames_CS_270.out,1999-12-31,1999,212.49,212.49,0,7.9,7.438,1376.231,146.000,207,269,3.934,645.02,287.948,1.994,1.871,1.81,1139.322,3348,28.7,0.343,0.375,reduced
