set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
1102,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,0,normal
1102,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1268.745,126.000,193,247,3.23,699.933,270.823,1.994,1.861,1.714,1631.323,412.2,5.9,0.297,0.295,0,normal
1102,nash_CC_270.out,1999-12-31,1999,57.247,0,57.247,0,0,1338.995,126.000,185,266,4.593,724.448,254.349,1,1.76,1,1133.011,2152.4,17.7,0.283,0.308,0,normal
1102,nash_CC_270.out,2000-12-31,2000,226.188,226.188,0,8,8,1513.862,126.000,196,254,3.904,739.172,309.709,1.99,1.936,1.761,2123.118,761.2,8.9,0.319,0.244,0,normal
1102,nash_CC_270.out,2001-12-31,2001,51.31,0,51.31,0,0,1545.944,126.000,188,270,4.178,628.248,231.355,1,1.956,1,1670.01,2894.8,22.6,0.281,0.302,0,normal
1102,nash_CC_270.out,2002-12-31,2002,250.23,250.23,0,8,8,1434.5,128.000,192,247,4.794,782.813,336.807,1.942,1.978,1.733,2212.517,418.3,5,0.291,0.285,0,normal
1102,nash_CC_270.out,2003-12-31,2003,60.459,0,60.459,0,0,1406.934,128.000,190,0,5.46,655.544,299.077,0.949,1.932,1,1673.437,2842.8,21.8,0.267,0.306,0,normal
1102,nash_CC_270.out,2004-12-31,2004,213.086,213.086,0,8,8,1226.359,129.000,200,263,3.311,695.935,256.515,1.994,1.858,1.795,1509.43,719.5,8.5,0.297,0.288,0,normal
1102,nash_CC_270.out,2005-12-31,2005,241.404,241.404,0,8.7,8.7,1294.691,128.000,198,254,3.934,701.38,323.096,1.994,1.852,1.805,1427.502,2271.5,19.4,0.303,0.311,0,normal
1102,nash_CC_270.out,2006-12-31,2006,191.4,191.4,0,8.7,8.7,1523.996,127.000,199,256,4.736,655.552,310.009,1.983,1.923,1.832,1871.155,2301.2,19,0.313,0.306,11.877,normal
1102,nash_CC_270.out,2007-12-31,2007,234.473,234.473,0,8.7,8.7,1467.423,130.000,198,254,4.882,650.243,323.732,1.993,1.861,1.858,1402.551,3441.5,30.5,0.307,0.311,2.562,normal
1102,nash_CC_270.out,2008-12-31,2008,228.493,228.493,0,8.7,8.7,1306.755,137.000,207,270,4.026,634.13,288.112,1.994,1.864,1.872,1508.188,2911.4,24.5,0.314,0.335,0,normal
1102,nash_CC_270.out,2009-12-31,2009,228.217,228.217,0,8.7,0,1353.492,116.000,194,258,4.203,641.689,311.102,1.995,1.859,1.756,1568.798,2814,24,0.32,0.287,0,normal
1102,nash_CC_270.out,2010-12-31,2010,204.146,204.146,0,8.9,8.9,1156.523,117.000,192,243,3.424,601.788,286.682,1.994,1.799,1.763,1191.305,4388.6,32,0.311,0.309,2.127,normal
1102,nash_CC_270.out,2011-12-31,2011,224.039,224.039,0,8.7,8.7,1411.067,131.000,201,255,4.278,650.281,300.369,1.994,1.89,1.806,1633.768,2700.4,18.9,0.299,0.317,1.254,normal
1102,nash_CC_270.out,2012-12-31,2012,235.482,235.482,0,8.7,8.7,1512.727,125.000,192,244,5.071,809.318,403.733,1.685,1.97,1.859,1995.047,1593.8,13.7,0.289,0.304,0,normal
1102,nash_CC_270.out,2013-12-31,2013,203.231,203.231,0,8.7,8.7,1429.748,139.000,207,270,4.875,716.839,386.561,1.823,1.909,1.818,1835.834,2074,20.8,0.229,0.323,0.846,normal
1102,nash_CC_270.out,2014-12-31,2014,186.446,186.446,0,8.7,8.7,1309.471,136.000,206,272,3.287,502.79,247.15,1.994,1.838,1.867,1400.856,4835.8,44.4,0.313,0.33,0,normal
1102,nash_CC_270.out,2015-12-31,2015,220.432,220.432,0,8.7,8.7,1237.969,125.000,199,257,3.724,680.825,302.378,1.994,1.845,1.823,1448.5,2306,19.7,0.315,0.306,1.506,normal
1102,nash_CC_270.out,2016-12-31,2016,157.607,157.607,0,8.7,8.7,1027.023,116.000,192,245,3.243,614.959,240.059,1.994,1.747,1.742,1002.484,2340.8,19.9,0.312,0.297,0.329,normal
1102,nash_CC_270.out,2017-12-31,2017,42.036,42.036,0,8.7,8.7,1209.193,130.000,199,261,2.496,530.318,145.844,1.994,1.815,1.533,1211.807,2252.9,18.1,0.3,0.303,2.374,normal
1102,nash_CC_270.out,2018-12-31,2018,41.015,41.015,0,8.7,8.7,960.984,128.000,192,248,1.628,501.468,100.226,1.994,1.746,1.482,886.837,2529.7,20.7,0.312,0.3,1.378,normal
1102,nash_CC_270.out,2019-12-31,2019,216.696,216.696,0,8.7,8.7,1487.256,136.000,202,263,4.011,656.326,280.757,1.994,1.884,1.792,1650.785,1180.3,10.2,0.306,0.307,0,normal
1102,nash_CS_270.out,1997-12-31,1997,238.792,238.792,0,8,8,1442.73,128,199,260,3.987,704.539,282.261,1.994,1.88,1.799,1641.121,1225.8,10.9,0.291,0.27,0,normal
1102,nash_CS_270.out,1998-12-31,1998,59.901,0,59.901,0,0,1378.04,128,183,254,5.439,663.42,272.44,1,1.854,1,1455.032,2681.7,22.1,0.292,0.303,1.659,normal
