set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
3,ames_CC_270.out,1996-12-31,1996,253.183,253.183,0,7.9,7.9,1501.885,129,198,255,4.992,753.266,327.262,1.994,1.913,1.718,1376.768,1176.3,10.5,0.352,0.306,normal
3,ames_CC_270.out,1997-12-31,1997,46.649,0,46.649,0,0,1500.013,129,186,258,3.387,571.618,198.262,1,1.925,1,1347.795,4158.7,28.5,0.345,0.344,normal
3,ames_CC_270.out,1998-12-31,1998,214.907,214.907,0,7.9,7.9,1173.869,126,192,244,3.779,731.334,285.384,1.994,1.902,1.64,1379.079,457.8,5.1,0.341,0.341,normal
3,ames_CC_270.out,1999-12-31,1999,212.388,212.388,0,7.9,7.002,1425.736,146,207,269,3.978,733.091,290.022,1.994,1.888,1.811,1212.286,1303.8,8.6,0.341,0.366,normal
3,ames_CC_270.out,2000-12-31,2000,158.014,158.014,0,7.4,7.4,1521.334,132,200,255,3.992,655.317,284.974,1.993,1.946,1.88,1597.704,2661.7,22.9,0.352,0.318,normal
3,ames_CC_270.out,2001-12-31,2001,210.471,210.471,0,6.5,6.5,1532.994,134,199,248,4.463,630.409,293.398,1.994,1.929,1.733,1477.924,3223.2,29.3,0.347,0.357,normal
3,ames_CC_270.out,2002-12-31,2002,235.723,235.723,0,7.9,7.9,1516.255,130,195,248,4.882,730.443,342.144,1.992,1.944,1.784,1503.721,1743,14.7,0.339,0.348,normal
3,ames_CC_270.out,2003-12-31,2003,107.971,107.971,0,7.8,2.795,1212.909,126,198,253,1.399,620.859,188.46,1.994,1.878,1.744,1229.07,3774.2,32.2,0.347,0.343,normal
3,ames_CC_270.out,2004-12-31,2004,257.781,257.781,0,8,7.814,1515.838,127,201,266,4.177,703.525,290.525,1.994,1.926,1.863,1407.714,1061.6,9.4,0.346,0.347,normal
3,ames_CC_270.out,2005-12-31,2005,252.5,252.5,0,8,7.882,1530.682,131,199,253,5.103,751.398,384.995,1.992,1.939,1.763,1509.763,2257.7,19.6,0.347,0.337,normal
3,ames_CC_270.out,2006-12-31,2006,236.884,236.884,0,8,8,1584.417,138,201,256,4.999,672.041,343.789,1.974,1.971,1.777,1688.479,2805.7,24.4,0.354,0.351,normal
3,ames_CC_270.out,2007-12-31,2007,220.314,220.314,0,8,7.817,1561.549,139,203,256,5.163,708.2,332.489,1.99,1.948,1.798,1501.253,2019.5,17.9,0.349,0.367,normal
3,ames_CC_270.out,2008-12-31,2008,176.137,176.137,0,7.4,4.674,1267.046,142,211,279,2.903,655.621,253.875,1.994,1.834,1.804,1112.12,2628,23,0.355,0.371,normal
3,ames_CC_270.out,2009-12-31,2009,238.592,238.592,0,8,8,1508.5,133,203,266,4.489,622.304,277.579,1.994,1.929,1.859,1397.295,2714,23.3,0.357,0.353,normal
3,ames_CC_270.out,2010-12-31,2010,167.247,167.247,0,8,8,961.71,127,195,243,2.813,648.959,231.557,1.994,1.785,1.74,852.636,1679.2,14.4,0.349,0.341,normal
3,ames_CC_270.out,2011-12-31,2011,212.704,212.704,0,7.9,7.9,1512.145,139,204,260,4.359,620.831,255.983,1.994,1.923,1.771,1486.007,2159.4,17.4,0.349,0.339,normal
3,ames_CC_270.out,2012-12-31,2012,200.251,200.251,0,7.9,7.9,1561.45,137,195,244,4.669,836.676,423.567,1.768,1.99,1.771,1794.974,1114.2,9.8,0.344,0.356,normal
3,ames_CC_270.out,2013-12-31,2013,146.997,146.997,0,7.9,7.093,1548.755,150,211,265,4.711,689.709,343.22,1.947,1.964,1.859,1598.438,2702.1,26.5,0.335,0.355,normal
3,ames_CC_270.out,2014-12-31,2014,168.521,168.521,0,7.9,7.9,1098.094,134,203,262,2.702,577.599,211.198,1.994,1.815,1.796,902.822,2602.3,25.8,0.352,0.362,normal
3,ames_CC_270.out,2015-12-31,2015,220.471,220.471,0,8.9,8.9,1349.339,141,206,263,4.577,716.984,288.06,1.993,1.871,1.862,1204.003,1158.5,9.6,0.375,0.333,normal
3,ames_CC_270.out,2016-12-31,2016,213.355,213.355,0,8.6,8.6,1562.255,127,192,243,5.278,697.318,307.072,1.994,1.92,1.74,1395.972,1593.5,13.3,0.351,0.332,normal
3,ames_CS_270.out,1996-12-31,1996,64.78,0,64.78,0,0,1501.621,?,187,269,6.229,758.574,257.763,1,1,1,1312.189,1159.2,10.3,0.352,0.307,normal
3,ames_CS_270.out,1997-12-31,1997,238.907,238.907,0,7.9,7.9,1560.57,127.000,196,250,5.295,777.054,346.922,1.981,1.971,1.714,1774.061,966.4,11.5,0.347,0.32,normal
3,ames_CS_270.out,1998-12-31,1998,42.407,0,42.407,0,0,1178.797,127.000,182,247,3.624,591.233,193.445,1,1.896,1,1126.762,3887.2,25.4,0.336,0.355,normal
3,ames_CS_270.out,1999-12-31,1999,221.859,221.859,0,7.9,7.9,1519.712,146.000,207,269,4.437,831.897,305.916,1.994,1.914,1.824,1321.569,197.6,1.9,0.341,0.351,normal
3,ames_CS_270.out,2000-12-31,2000,48.722,0,48.722,0,0,1544.666,146.000,186,254,4.466,694.6,231.908,1,1.956,1,1629.299,2579.2,22.2,0.349,0.313,normal
3,ames_CS_270.out,2001-12-31,2001,211.272,211.272,0,7.5,7.5,1548.18,134.000,199,248,4.843,725.449,307.75,1.991,1.948,1.741,1629.481,514.7,5.1,0.347,0.338,normal
3,ames_CS_270.out,2002-12-31,2002,39.113,0,39.113,0,0,1329.245,134.000,183,251,2.902,549.62,191.704,1,1.834,1,1090.226,5909.1,66.2,0.335,0.361,normal
3,ames_CS_270.out,2003-12-31,2003,233.628,233.628,0,7.8,7.8,1506.178,126.000,198,253,4.283,811.71,382.768,1.981,1.939,1.751,1552.558,781.6,7.8,0.349,0.314,normal
3,ames_CS_270.out,2004-12-31,2004,37.601,0,37.601,0,0,1520.537,126.000,197,0,2.906,641.218,141.604,1,1.957,1,1201.738,2789.4,24,0.341,0.342,normal
3,ames_CS_270.out,2005-12-31,2005,256.227,256.227,0,8,8,1568.072,131.000,199,253,5.37,876.23,395.993,1.977,1.965,1.769,1708.083,291.4,5,0.347,0.309,normal
3,ames_CS_270.out,2006-12-31,2006,61.666,0,61.666,0,0,1586.822,131.000,193,275,6.483,669.828,288.193,1,1.917,1,1638.134,2936.8,25.6,0.351,0.345,normal
3,ames_CS_270.out,2007-12-31,2007,221.365,221.365,0,8,7.94,1576.706,139.000,203,256,5.24,824.934,336.525,1.984,1.962,1.804,1637.672,324.1,4.4,0.349,0.347,normal
3,ames_CS_270.out,2008-12-31,2008,47.172,0,47.172,0,0,1273.283,139.000,195,0,3.499,627.152,194.425,1,1.833,1,957.942,2904.3,25.6,0.354,0.363,normal
3,ames_CS_270.out,2009-12-31,2009,239.251,239.251,0,8,8,1518.039,133.000,203,266,4.73,755.512,282.311,1.994,1.959,1.867,1589.818,302.2,3.7,0.357,0.328,normal
3,ames_CS_270.out,2010-12-31,2010,44.081,0,44.081,0,0,1083.821,133.000,182,244,4.693,716.401,224.856,1,1.873,1,848.289,1576.7,13.5,0.347,0.348,normal
3,ames_CS_270.out,2011-12-31,2011,215.337,215.337,0,7.9,7.9,1513.718,139.000,204,260,4.555,680.403,259.697,1.994,1.941,1.775,1577.446,841.3,9.3,0.349,0.322,normal
3,ames_CS_270.out,2012-12-31,2012,61.342,0,61.342,0,0,1605.527,139.000,185,252,6.092,860.546,370.087,0.936,1.966,1,1822.864,1382,12.1,0.341,0.349,normal
3,ames_CS_270.out,2013-12-31,2013,152.739,152.739,0,7.9,7.9,1563.601,150.000,211,265,4.904,826.289,352.657,1.9,1.98,1.864,1721.247,413.8,4.4,0.334,0.315,normal
