set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
100,ames_CC_270.out,1996-12-31,1996,252.44,252.44,0,7.9,7.9,1501.399,129,198,255,4.985,752.52,326.384,1.994,1.913,1.719,1375.699,1176.3,10.5,0.352,0.306,0,normal
100,ames_CC_270.out,1997-12-31,1997,46.688,0,46.688,0,0,1501.571,129,186,258,3.391,572.368,198.444,1,1.925,1,1348.9,4147.5,28.5,0.345,0.344,0.248,normal
100,ames_CC_270.out,1998-12-31,1998,215.152,215.152,0,7.9,7.9,1173.839,126,192,244,3.779,731.521,285.565,1.994,1.902,1.64,1379.266,457.6,5.1,0.341,0.341,0.248,normal
100,ames_CC_270.out,1999-12-31,1999,212.958,212.958,0,7.9,7.9,1436.387,146,207,269,4.201,726.97,290.912,1.994,1.887,1.812,1202.035,1303.6,8.6,0.341,0.366,0.248,normal
100,ames_CC_270.out,2000-12-31,2000,157.753,157.753,0,7.4,7.4,1508.728,132,200,255,3.98,653.01,284.212,1.993,1.945,1.88,1592.846,2713,23.3,0.352,0.318,0,normal
100,ames_CC_270.out,2001-12-31,2001,205.164,205.164,0,6.5,6.5,1531.588,134,199,248,4.412,624.306,284.844,1.994,1.928,1.733,1467.498,3216.7,29.1,0.347,0.357,0,normal
100,ames_CC_270.out,2002-12-31,2002,230.765,230.765,0,7.9,7.9,1516.536,130,195,248,4.839,729.097,335.119,1.993,1.944,1.785,1503.408,1655,14,0.339,0.348,0,normal
100,ames_CC_270.out,2003-12-31,2003,220.213,220.213,0,7.8,7.8,1263.854,126,198,253,3.799,670.008,357.116,1.985,1.894,1.742,1317.969,3678.6,31.4,0.349,0.342,0,normal
100,ames_CC_270.out,2004-12-31,2004,251.234,251.234,0,8,8,1505.431,127,201,266,4.07,640.596,281.358,1.994,1.909,1.854,1313.642,2376.5,20.4,0.346,0.354,0,normal
100,ames_CC_270.out,2005-12-31,2005,251.707,251.707,0,8,8,1528.287,131,199,253,5.115,748.145,381.972,1.992,1.938,1.762,1502.258,2326.7,20,0.347,0.336,0.808,normal
100,ames_CC_270.out,2006-12-31,2006,231.658,231.658,0,8,8,1581.019,138,201,256,4.98,663.754,336.547,1.979,1.97,1.776,1674.711,2910.5,25.2,0.354,0.351,0,normal
100,ames_CC_270.out,2007-12-31,2007,214.74,214.74,0,8,8,1558.429,139,203,256,5.161,701.643,325.015,1.991,1.946,1.798,1489.749,2020.3,17.7,0.349,0.367,0,normal
