set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
104,ames_CC_270.out,1996-12-31,1996,252.78,252.78,0,7.9,7.9,1501.402,129,198,255,4.987,758.931,333.295,1.994,1.914,1.75,1383.252,1176.3,10.5,0.352,0.306,normal
104,ames_CC_270.out,1997-12-31,1997,50.409,0,50.409,0,0,1505.3,129,186,258,3.778,582.825,215.675,1,1.93,1,1376.299,4271.3,33,0.345,0.345,normal
104,ames_CC_270.out,1998-12-31,1998,241.337,241.337,0,7.9,7.9,1177.558,126,192,244,3.772,751.015,306.968,1.994,1.905,1.673,1405.624,478.2,5.4,0.341,0.342,normal
104,ames_CC_270.out,1999-12-31,1999,219.364,219.364,0,7.9,7.9,1438.563,146,207,269,4.274,737.424,299.921,1.994,1.892,1.813,1221.65,1224.7,9,0.341,0.366,normal
104,ames_CC_270.out,2000-12-31,2000,155.275,155.275,0,7.4,7.4,1524.243,132,200,255,3.952,651.063,277.81,1.993,1.946,1.882,1592.675,2581,22.2,0.352,0.317,normal
104,ames_CC_270.out,2001-12-31,2001,206.266,206.266,0,6.5,6.5,1533.822,134,199,248,4.434,636.793,286.642,1.994,1.931,1.735,1486.335,2762.4,25.4,0.347,0.356,normal
104,ames_CC_270.out,2002-12-31,2002,233.45,233.45,0,7.9,7.9,1516.519,130,195,248,4.863,731.325,338.766,1.993,1.944,1.786,1507.254,1669.2,14.2,0.339,0.348,normal
104,ames_CC_270.out,2003-12-31,2003,217.339,217.339,0,7.8,7.8,1249.56,126,198,253,3.766,663.471,350.958,1.986,1.893,1.743,1307.61,3719,32,0.349,0.342,normal
104,ames_CC_270.out,2004-12-31,2004,253.063,253.063,0,8,8,1514.576,127,201,266,4.103,646.294,283.673,1.994,1.911,1.856,1322.623,2247.7,19.4,0.346,0.353,normal
104,ames_CC_270.out,2005-12-31,2005,250.348,250.348,0,8,8,1530.011,131,199,253,5.106,748.632,379.403,1.993,1.939,1.764,1504.563,2211,19.1,0.347,0.336,normal
104,ames_CC_270.out,2006-12-31,2006,230.95,230.95,0,8,8,1583.584,138,201,256,4.968,668.607,335.823,1.978,1.971,1.779,1682.075,2700,23.5,0.354,0.351,normal
104,ames_CC_270.out,2007-12-31,2007,217.734,217.734,0,8,8,1561.418,139,203,256,5.188,709.296,329.53,1.99,1.948,1.799,1502.321,1905.2,16.9,0.349,0.367,normal
104,ames_CC_270.out,2008-12-31,2008,222.861,222.861,0,7.4,7.4,1268.273,142,211,279,4.061,673.183,302.433,1.994,1.841,1.802,1126.372,2548,22.4,0.355,0.37,normal
104,ames_CC_270.out,2009-12-31,2009,229.93,229.93,0,8,8,1505.971,133,203,266,4.366,594.691,267.139,1.994,1.923,1.859,1353.005,3237,27.6,0.357,0.356,normal
104,ames_CC_270.out,2010-12-31,2010,165.861,165.861,0,8,8,960.46,127,195,243,2.812,652.054,229.87,1.994,1.784,1.742,859.89,1578.5,13.6,0.349,0.34,normal
104,ames_CC_270.out,2011-12-31,2011,210.405,210.405,0,7.9,7.9,1506.703,139,204,260,4.331,618.514,251.958,1.994,1.923,1.772,1481.778,2143.9,17.3,0.349,0.338,normal
104,ames_CC_270.out,2012-12-31,2012,200.332,200.332,0,7.9,7.9,1562.161,137,195,244,4.677,843.763,424.018,1.762,1.991,1.773,1800.706,950.5,8.3,0.344,0.355,normal
104,ames_CC_270.out,2013-12-31,2013,149.912,149.912,0,7.9,7.9,1547.916,150,211,265,4.821,685.839,340.209,1.958,1.965,1.861,1598.723,2694.9,26.5,0.336,0.355,normal
104,ames_CC_270.out,2014-12-31,2014,164.682,164.682,0,7.9,7.9,1098.614,134,203,262,2.695,578.366,206.849,1.994,1.815,1.798,900.138,2472,25.7,0.352,0.361,normal
