set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
3,ames_CC_270.out,1996-12-31,1996,253.183,253.183,0,7.9,7.9,1501.885,129,198,255,4.992,753.266,327.262,1.994,1.913,1.718,1376.768,1176.3,10.5,0.352,0.306,reduced
3,ames_CC_270.out,1997-12-31,1997,46.649,0,46.649,0,0,1500.013,129,186,258,3.387,571.618,198.262,1,1.925,1,1347.795,4158.7,28.5,0.345,0.344,reduced
3,ames_CC_270.out,1998-12-31,1998,214.907,214.907,0,7.9,7.9,1173.869,126,192,244,3.779,731.334,285.384,1.994,1.902,1.64,1379.079,457.8,5.1,0.341,0.341,reduced
3,ames_CC_270.out,1999-12-31,1999,212.388,212.388,0,7.9,7.002,1425.736,146,207,269,3.978,720.318,290.022,1.994,1.888,1.811,1212.286,1303.8,8.6,0.343,0.366,reduced
3,ames_CC_270.out,2000-12-31,2000,153.107,153.107,0,7.4,7.4,1425.314,132,200,255,3.521,521.784,271.86,1.993,1.903,1.87,1350.412,5939.5,51.1,0.353,0.339,reduced
3,ames_CC_270.out,2001-12-31,2001,203.187,203.187,0,6.5,6.059,1505.903,134,199,248,4.214,557.225,283.822,1.994,1.912,1.727,1387.934,5463.3,48.4,0.345,0.362,reduced
3,ames_CC_270.out,2002-12-31,2002,232.225,232.225,0,7.9,7.283,1506.614,130,195,248,4.543,628.041,329.59,1.994,1.918,1.777,1342.031,4185.1,35.3,0.34,0.356,reduced
3,ames_CC_270.out,2003-12-31,2003,67.767,67.767,0,7.8,1.805,1095.69,126,198,254,0.83,550.778,115.36,1.994,1.859,1.747,1131.808,5358.8,45.8,0.348,0.346,reduced
3,ames_CC_270.out,2004-12-31,2004,257.633,257.633,0,8,7.814,1518.033,127,201,266,4.144,656.857,288.879,1.994,1.918,1.861,1355.817,1769.7,15.5,0.347,0.352,reduced
3,ames_CC_270.out,2005-12-31,2005,180.306,180.306,0,8,4.355,1515.214,131,199,253,3.03,584.517,295.47,1.994,1.885,1.755,1251.003,5755.7,50.1,0.348,0.349,reduced
3,ames_CC_270.out,2006-12-31,2006,237.796,237.796,0,8,8,1544.962,138,201,256,4.956,567.278,341.32,1.989,1.956,1.773,1564.706,5775.1,50.9,0.357,0.356,reduced
3,ames_CC_270.out,2007-12-31,2007,182.822,182.822,0,8,3.92,1514.89,139,202,256,3.266,538.565,261.214,1.993,1.898,1.792,1271.128,5909.6,51.7,0.349,0.378,reduced
3,ames_CC_270.out,2008-12-31,2008,151.708,151.708,0,7.4,3.886,1235.464,142,211,279,2.336,575.72,218.196,1.994,1.82,1.802,1047.278,4422.6,37.8,0.355,0.38,reduced
3,ames_CC_270.out,2009-12-31,2009,237.848,237.848,0,8,8,1500.195,133,203,266,4.294,521.268,273.32,1.994,1.909,1.854,1282.679,5275.8,45.3,0.358,0.363,reduced
