set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,TTsum,till
100,ames_CC_270.out,1996-12-31,1996,252.44,252.44,0,7.9,7.9,1501.399,129,198,255,4.985,752.52,326.384,1.994,1.913,1.719,1375.699,1176.3,10.5,0.352,0.306,0,reduced
100,ames_CC_270.out,1997-12-31,1997,46.688,0,46.688,0,0,1501.571,129,186,258,3.391,572.368,198.444,1,1.925,1,1348.9,4147.5,28.5,0.345,0.344,0.248,reduced
100,ames_CC_270.out,1998-12-31,1998,215.152,215.152,0,7.9,7.9,1173.839,126,192,244,3.779,731.521,285.565,1.994,1.902,1.64,1379.266,457.6,5.1,0.341,0.341,0.248,reduced
100,ames_CC_270.out,1999-12-31,1999,212.958,212.958,0,7.9,7.9,1436.387,146,207,269,4.201,714.201,290.912,1.994,1.887,1.812,1202.035,1303.6,8.6,0.343,0.366,0.248,reduced
100,ames_CC_270.out,2000-12-31,2000,148.922,148.922,0,7.4,7.4,1426.415,132,200,255,3.449,512.667,261.428,1.993,1.901,1.87,1334.351,5992.2,51.4,0.353,0.339,0,reduced
100,ames_CC_270.out,2001-12-31,2001,200.542,200.542,0,6.5,6.5,1510.753,134,199,248,4.316,561.965,277.631,1.994,1.914,1.728,1391.53,5018.2,44.4,0.345,0.362,0,reduced
100,ames_CC_270.out,2002-12-31,2002,226.062,226.062,0,7.9,7.9,1509.439,130,195,248,4.624,627.461,323.911,1.994,1.92,1.778,1342.125,3957.7,33.4,0.34,0.356,0,reduced
100,ames_CC_270.out,2003-12-31,2003,215.295,215.295,0,7.8,7.8,1153.014,126,198,254,3.624,594.931,339.714,1.985,1.875,1.744,1234.765,5321.7,45.5,0.35,0.346,0,reduced
100,ames_CC_270.out,2004-12-31,2004,239.306,239.306,0,8,8,1371.03,127,200,266,3.581,484.081,257.31,1.994,1.867,1.838,1134.916,7136.2,60.8,0.347,0.361,0,reduced
100,ames_CC_270.out,2005-12-31,2005,244.715,244.715,0,8,8,1518.16,131,199,253,4.88,630.462,365.743,1.994,1.907,1.755,1327.133,4972.7,37.2,0.348,0.348,0.808,reduced
