set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
102,ames_CC_270.out,1996-12-31,1996,252.672,252.672,0,7.9,7.9,1501.332,129,198,255,4.986,758.774,333.116,1.994,1.914,1.75,1382.956,1176.3,10.5,0.352,0.306,reduced
102,ames_CC_270.out,1997-12-31,1997,50.422,0,50.422,0,0,1506.695,129,186,258,3.78,583.05,215.736,1,1.93,1,1376.658,4267.8,33,0.345,0.345,reduced
102,ames_CC_270.out,1998-12-31,1998,241.361,241.361,0,7.9,7.9,1177.549,126,192,244,3.772,751.03,306.987,1.994,1.905,1.673,1405.644,478.3,5.5,0.341,0.342,reduced
102,ames_CC_270.out,1999-12-31,1999,213.24,213.24,0,7.9,7.9,1447.668,146,207,269,4.214,717.537,291.382,1.994,1.889,1.813,1209.165,1224.7,9,0.343,0.366,reduced
102,ames_CC_270.out,2000-12-31,2000,151.956,151.956,0,7.4,7.4,1442.737,132,200,255,3.526,525.994,268.958,1.993,1.905,1.872,1359.441,5654,48.6,0.353,0.338,reduced
102,ames_CC_270.out,2001-12-31,2001,204.024,204.024,0,6.5,6.5,1510.032,134,199,248,4.336,562.492,281.588,1.994,1.914,1.728,1394.741,5086.9,45.4,0.345,0.362,reduced
102,ames_CC_270.out,2002-12-31,2002,228.308,228.308,0,7.9,7.9,1510.198,130,195,248,4.645,628.412,326.852,1.994,1.92,1.778,1343.173,4005.1,34.1,0.34,0.356,reduced
102,ames_CC_270.out,2003-12-31,2003,213.661,213.661,0,7.8,7.8,1152.922,126,198,253,3.64,597.445,344.724,1.983,1.876,1.738,1240.486,5372.8,46,0.35,0.346,reduced
102,ames_CC_270.out,2004-12-31,2004,247.521,247.521,0,8,8,1369.608,127,200,266,3.619,486.691,265.964,1.994,1.868,1.846,1139.305,7381.7,63.4,0.347,0.361,reduced
102,ames_CC_270.out,2005-12-31,2005,248.044,248.044,0,8,8,1527.006,131,199,253,4.93,637.57,372.018,1.994,1.91,1.756,1343.626,4972.7,42.1,0.348,0.348,reduced
102,ames_CC_270.out,2006-12-31,2006,230.587,230.587,0,8,8,1536.914,138,201,256,4.784,530.231,329.778,1.993,1.945,1.774,1507.384,7044.9,61.2,0.357,0.357,reduced
102,ames_CC_270.out,2007-12-31,2007,211.282,211.282,0,8,8,1525.131,139,202,256,4.941,559.455,313.41,1.993,1.907,1.789,1318.222,5615.6,47.9,0.35,0.378,reduced
102,ames_CC_270.out,2008-12-31,2008,213.642,213.642,0,7.4,7.4,1165.343,142,211,278,3.794,544.914,283.651,1.994,1.818,1.791,1024.109,5998.4,51,0.355,0.384,reduced
102,ames_CC_270.out,2009-12-31,2009,228.998,228.998,0,8,8,1507.377,133,203,266,4.11,476.023,261.833,1.994,1.895,1.852,1219.036,6701.2,57.4,0.358,0.366,reduced
102,ames_CC_270.out,2010-12-31,2010,137.352,137.352,0,8,8,914.995,127,195,243,2.305,499.473,189.179,1.994,1.74,1.733,696.708,5449.3,46.8,0.35,0.354,reduced
102,ames_CC_270.out,2011-12-31,2011,208.592,208.592,0,7.9,7.9,1465.413,139,204,260,4.218,545.682,248.552,1.994,1.912,1.769,1385.064,3847.9,31.2,0.351,0.347,reduced
102,ames_CC_270.out,2012-12-31,2012,193.648,193.648,0,7.9,7.9,1530.921,137,195,244,4.395,670.382,399.904,1.907,1.965,1.768,1676.927,4639.6,40.7,0.347,0.371,reduced
102,ames_CC_270.out,2013-12-31,2013,148.275,148.275,0,7.9,7.9,1518.951,150,211,265,4.584,531.793,329.7,1.986,1.933,1.841,1446.836,6386.7,58.9,0.339,0.372,reduced
102,ames_CC_270.out,2014-12-31,2014,139.628,139.628,0,7.9,7.9,1061.955,134,205,265,2.12,418.321,169.782,1.994,1.76,1.8,746.33,8016.1,77.3,0.353,0.383,reduced
102,ames_CC_270.out,2015-12-31,2015,214.178,214.178,0,8.9,8.9,1278.269,141,206,263,4.38,640.686,279.065,1.993,1.858,1.861,1082.262,2154,17.9,0.376,0.344,reduced
102,ames_CC_270.out,2016-12-31,2016,207.903,207.903,0,8.6,8.6,1510.949,127,192,243,5.128,579.479,295.497,1.994,1.9,1.737,1231.836,4487.1,37.4,0.352,0.346,reduced
