set_id,outfile,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing,till
10,nash_CC_270.out,1997-12-31,1997,44.921,0,44.921,0,0,1508.206,?,191,276,3.646,739.508,177.865,1,1,1,1574.738,1202.7,10.7,0.286,0.276,normal
10,nash_CC_270.out,1998-12-31,1998,208.214,208.214,0,8,8,1269.147,126.000,193,247,3.23,699.725,270.723,1.994,1.861,1.709,1631.382,412.2,5.9,0.297,0.295,normal
10,nash_CC_270.out,1999-12-31,1999,51.098,0,51.098,0,0,1297.552,126.000,185,266,3.845,695.746,224.25,1,1.759,1,1109.681,2379.9,17.4,0.282,0.309,normal
10,nash_CC_270.out,2000-12-31,2000,217.067,217.067,0,8,7.651,1516.787,126.000,196,254,3.817,733.706,298.213,1.991,1.936,1.745,2133.375,692.9,8,0.319,0.239,normal
10,nash_CC_270.out,2001-12-31,2001,48.773,0,48.773,0,0,1544.209,126.000,188,270,3.874,618.195,218.428,1,1.948,1,1642.312,2909.1,19.2,0.281,0.302,normal
10,nash_CC_270.out,2002-12-31,2002,242.087,242.087,0,8,7.848,1434.5,128.000,192,247,4.758,775.168,326.86,1.942,1.975,1.712,2194.414,402.7,4.7,0.292,0.285,normal
10,nash_CC_270.out,2003-12-31,2003,58.464,0,58.464,0,0,1387.037,128.000,190,0,5.154,645.091,288.73,0.955,1.921,1,1660.826,2850.9,18.2,0.267,0.306,normal
10,nash_CC_270.out,2004-12-31,2004,212.912,212.912,0,8,8,1255.206,129.000,200,263,3.308,695.131,256.308,1.994,1.857,1.794,1507.856,737.9,8.6,0.297,0.289,normal
10,nash_CC_270.out,2005-12-31,2005,243.183,243.183,0,8.7,8.7,1293.776,128.000,198,254,3.94,700.569,325.231,1.994,1.852,1.797,1431.895,2372.7,20.3,0.303,0.311,normal
10,nash_CC_270.out,2006-12-31,2006,193.076,193.076,0,8.7,8.7,1517.49,127.000,199,256,4.728,652.438,312.012,1.983,1.92,1.83,1861.722,2423.4,17.6,0.313,0.306,normal
10,nash_CC_270.out,2007-12-31,2007,238.217,238.217,0,8.7,8.7,1467.154,130.000,198,254,4.912,651.169,328.449,1.993,1.862,1.846,1436.86,3514.3,31,0.307,0.312,normal
10,nash_CC_270.out,2008-12-31,2008,228.829,228.829,0,8.7,8.7,1295.614,137.000,207,270,4.016,624.576,288.631,1.994,1.861,1.858,1500.077,3161.2,23.7,0.314,0.336,normal
10,nash_CC_270.out,2009-12-31,2009,229.573,229.573,0,8.7,0,1357.043,116.000,194,258,4.199,627.22,301.044,1.995,1.856,1.708,1545.833,2915.8,21,0.32,0.288,normal
10,nash_CC_270.out,2010-12-31,2010,196.274,196.274,0,8.9,8.9,1159.282,117.000,192,243,3.45,602.555,282.765,1.994,1.799,1.747,1195.195,4111.7,27.4,0.311,0.309,normal
10,nash_CC_270.out,2011-12-31,2011,226.649,226.649,0,8.7,8.7,1407.147,131.000,201,255,4.295,648.124,303.416,1.994,1.889,1.804,1633.56,2802.8,18.3,0.299,0.317,normal
10,nash_CC_270.out,2012-12-31,2012,236.202,236.202,0,8.7,8.7,1512.7,125.000,192,244,5.079,806.076,405.483,1.685,1.969,1.857,1990.407,1720.8,14.6,0.289,0.305,normal
10,nash_CC_270.out,2013-12-31,2013,203.989,203.989,0,8.7,8.7,1429.312,139.000,207,270,4.892,717.501,389.041,1.818,1.909,1.818,1837.597,2123.3,21.1,0.227,0.323,normal
10,nash_CC_270.out,2014-12-31,2014,190.989,190.989,0,8.7,8.7,1299.914,136.000,206,272,3.31,503.631,252.455,1.994,1.839,1.864,1410.957,4977.9,43.5,0.313,0.33,normal
10,nash_CC_270.out,2015-12-31,2015,222.605,222.605,0,8.7,8.7,1258.972,125.000,199,257,3.734,681.218,305.094,1.994,1.846,1.822,1453.488,2361.9,20.1,0.315,0.306,normal
10,nash_CC_270.out,2016-12-31,2016,158.994,158.994,0,8.7,8.7,1027.779,116.000,192,245,3.244,615.704,241.987,1.994,1.747,1.74,1001.855,2368.9,20.1,0.312,0.297,normal
10,nash_CC_270.out,2017-12-31,2017,35.694,35.694,0,8.7,8.7,1209.62,130.000,199,261,2.409,525.657,137.407,1.994,1.814,1.52,1202.859,2266.7,18.2,0.299,0.303,normal
10,nash_CC_270.out,2018-12-31,2018,40.316,40.316,0,8.7,8.7,974.828,128.000,192,248,1.673,502.986,101.466,1.994,1.747,1.475,889.287,2440.4,19.6,0.312,0.3,normal
10,nash_CC_270.out,2019-12-31,2019,217.486,217.486,0,8.7,8.7,1485.76,136.000,202,263,4.016,655.408,281.641,1.994,1.883,1.792,1651.4,1216.2,10.4,0.306,0.307,normal
10,nash_CS_270.out,1997-12-31,1997,239.839,239.839,0,8,8,1444.141,128,199,260,3.993,705.504,283.261,1.994,1.88,1.797,1644.308,1225.8,10.9,0.291,0.27,normal
10,nash_CS_270.out,1998-12-31,1998,54.95,0,54.95,0,0,1368.891,128,183,254,4.733,638.76,248.389,1,1.855,1,1399.364,2831.3,23.2,0.292,0.303,normal
10,nash_CS_270.out,1999-12-31,1999,200.098,200.098,0,8,8,1398.58,126,194,247,4.018,743.119,273.049,1.993,1.812,1.598,1168.812,491,4.6,0.297,0.303,normal
10,nash_CS_270.out,2000-12-31,2000,44.302,0,44.302,0,0,1386.176,126,189,272,3.426,702.27,199.598,1,1.847,1,1654.881,2392.8,14.1,0.317,0.284,normal
10,nash_CS_270.out,2001-12-31,2001,230.136,230.136,0,8,8,1474.799,127,195,247,4.829,730.967,332.672,1.879,1.951,1.702,2025.685,323.5,3.9,0.287,0.28,normal
10,nash_CS_270.out,2002-12-31,2002,7.549,0,7.549,0,0,1496.85,127,185,257,0.358,703.247,32.103,1,1.944,1,1449.762,2745.8,17,0.282,0.31,normal
10,nash_CS_270.out,2003-12-31,2003,231.48,231.48,0,8,0,1514.974,128,199,253,4.201,790.754,346.2,1.854,1.948,1.744,2088.956,139.9,1.2,0.269,0.246,normal
10,nash_CS_270.out,2004-12-31,2004,41.855,0,41.855,0,0,1285.299,128,190,0,3.278,562.403,163.086,1,1.998,1,1208.317,3318.3,20.1,0.292,0.308,normal
10,nash_CS_270.out,2005-12-31,2005,248.038,248.038,0,8.7,8.7,1331.656,128,198,254,4.233,805.975,337.204,1.994,1.886,1.812,1707.585,388,4.8,0.303,0.293,normal
10,nash_CS_270.out,2006-12-31,2006,55.37,0,55.37,0,0,1524.93,128,188,0,5.141,644.386,246.566,1,1.846,1,1707.337,2738.2,22.6,0.309,0.307,normal
10,nash_CS_270.out,2007-12-31,2007,240.797,240.797,0,8.7,8.689,1522.333,130,198,254,5.094,779.419,336.313,1.987,1.9,1.862,1671.295,440.4,6.2,0.307,0.289,normal
