set_id,outfile,site,Date,year,CropYield,corn_buac,soy_buac,PlantDensityS,PlantDensityH,RootDepth,emergDOY,FlowerDate,MaturityDate,LAI_maximum,ETAnnual,CropTranspiration,AvgDroughtStress,AvgExcessiveWStress,AvgNStress,AvgWTInseason,ResidueWTatSowing,ResidueNatSowing,SWAverage,SWSowing
1,ames_CC_270.out,ames,1999-12-31,1999,231.668,231.668,0,7.9,7.9,1449.079,146,207,269,5.145,725.603,323.199,1.994,1.997,1.824,1221.886,1475.1,11.6,0.341,0.368
1,ames_CC_270.out,ames,2000-12-31,2000,161.371,161.371,0,7.4,7.4,1525.478,132,200,255,4.399,644.346,298.383,1.993,1.999,1.889,1582.188,2903.8,25.1,0.352,0.321
1,ames_CC_270.out,ames,2001-12-31,2001,211.44,211.44,0,6.5,6.5,1532.851,134,199,248,4.591,622.36,302.287,1.994,1.999,1.741,1473.148,3373.6,31.8,0.344,0.358
1,ames_CC_270.out,ames,2002-12-31,2002,236.824,236.824,0,7.9,7.9,1515.565,130,195,248,4.985,724.228,348.376,1.992,1.996,1.789,1500.321,1885.6,16.5,0.339,0.349
1,ames_CC_270.out,ames,2003-12-31,2003,241.319,241.319,0,7.8,7.8,1292.653,126,198,253,5.073,688.236,399.41,1.972,1.983,1.753,1353.584,3923.3,34.4,0.349,0.343
1,ames_CC_270.out,ames,2004-12-31,2004,268.722,268.722,0,8,8,1512.826,127,201,266,5.074,635.345,310.075,1.994,1.996,1.865,1311.855,2825.3,24.7,0.346,0.355
1,ames_CC_270.out,ames,2005-12-31,2005,259.425,259.425,0,8,8,1519.095,131,199,253,5.471,737.774,398.309,1.991,1.999,1.767,1490.924,2710,23.3,0.347,0.34
1,ames_CC_270.out,ames,2006-12-31,2006,237.201,237.201,0,8,8,1582.722,138,201,256,5.006,666.953,345.546,1.975,2,1.78,1682.815,2910.8,25.9,0.354,0.352
1,ames_CC_270.out,ames,2007-12-31,2007,221.859,221.859,0,8,8,1562.828,139,203,256,5.274,710.496,338.473,1.989,1.999,1.803,1506.405,1933,17.8,0.349,0.367
1,ames_CC_270.out,ames,2008-12-31,2008,250.538,250.538,0,7.4,7.4,1277.548,142,211,279,4.985,693.482,340.115,1.994,1.963,1.814,1166.134,2606.4,23.9,0.355,0.371
1,ames_CC_270.out,ames,2009-12-31,2009,239.61,239.61,0,8,8,1502.022,133,203,266,4.832,587.192,285.356,1.994,2,1.866,1355.602,3692.7,32.4,0.357,0.357
1,ames_CC_270.out,ames,2010-12-31,2010,213.04,213.04,0,8,8,985.316,127,195,243,4.338,671.378,289.687,1.994,1.954,1.757,890.84,1786.6,15.5,0.349,0.342
1,ames_CC_270.out,ames,2011-12-31,2011,220.21,220.21,0,7.9,7.9,1518.942,139,204,260,4.947,602.353,267.314,1.994,1.999,1.781,1458.417,2651,22.3,0.349,0.342
1,ames_CC_270.out,ames,2012-12-31,2012,202.076,202.076,0,7.9,7.9,1561.455,137,195,244,4.855,830.005,429.694,1.762,2,1.773,1789.787,1216.8,10.7,0.344,0.357
