ApsimVersion = 7.9 r4044
Title = Ames_weather
           Date           year      CropYield HeatDaysInSeason ColdDaysInSeason     RainAnnual    RadInSeason AvgMaxTInSeason AvgMinTInSeason    GDDInSeason   RainInSeason     RainAprJun RainAbove1inAprJun     AvgTAprJun     ColdAprJun       HeatJuly        RadJuly       RainJuly       AvgTJuly RainAbove1inJul        HeatAug         RadAug        RainAug        AvgTAug RainAbove1inAug        ColdAug         RadSep        RainSep        AvgTSep RainAbove1inSep        ColdSep         sowDOY
   (dd/mm/yyyy)         (year)             ()               ()               ()           (mm)       (MJ/m^2)            (oC)            (oC)          (oCd)           (mm)           (mm)                 ()             ()             ()             ()       (MJ/m^2)           (mm)             ()              ()             ()       (MJ/m^2)           (mm)             ()              ()             ()       (MJ/m^2)           (mm)             ()              ()             ()             ()
     31/12/1991           1991          0.000                ?                ?        853.379              ?               ?               ?              ?              ?        410.133              6.000         18.605         13.000          3.000        680.881         13.716         24.050           0.000          0.000        579.787         52.070         22.800           0.000          0.000        445.352         23.110         17.492           0.000         10.000              0
     31/12/1992           1992          0.000                ?                ?        889.712              ?               ?               ?              ?              ?        131.826              0.000         14.622         24.000          0.000        573.181        295.301         20.070           4.000          0.000        611.089         51.841         18.884           0.000          0.000        418.787         97.714         16.354           1.000          3.000              0
     31/12/1993           1993          0.000                ?                ?       1319.420              ?               ?               ?              ?              ?        406.833              3.000         14.397         20.000          3.000        533.660        338.074         23.018           4.000          3.000        545.653        250.190         23.748           4.000          0.000        454.752         82.296         16.395           1.000          5.000              0
     31/12/1994           1994          0.000                ?                ?        699.451              ?               ?               ?              ?              ?        240.693              1.000         15.757         25.000          0.000        682.811         42.215         21.531           0.000          0.000        582.425         76.936         20.825           1.000          0.000        421.420        103.656         18.533           2.000          1.000              0
     31/12/1995           1995          0.000                ?                ?        713.295              ?               ?               ?              ?              ?        314.277              2.000         13.528         27.000          0.000        681.054         82.220         22.343           1.000          0.000        525.312         69.647         24.712           2.000          0.000        453.387         60.859         16.209           0.000          6.000              0
     31/12/1996           1996          0.000                ?                ?        924.363              ?               ?               ?              ?              ?        342.340              3.000         14.761         29.000          0.000        677.980         97.078         21.792           1.000          0.000        560.033        119.204         21.510           3.000          0.000        452.899         79.451         15.996           1.000          1.000              0
     31/12/1997           1997          0.000                ?                ?        647.976              ?               ?               ?              ?              ?        225.325              3.000         14.165         30.000          2.000        629.582         94.208         23.373           1.000          0.000        588.574         31.318         21.144           0.000          0.000        462.747         56.845         18.582           0.000          1.000              0
     31/12/1998           1998          0.000                ?                ?        839.958              ?               ?               ?              ?              ?        412.496              3.000         16.032         14.000          1.000        680.157         63.500         23.625           1.000          0.000        532.469         78.486         23.180           1.000          0.000        514.338         25.400         20.600           0.000          0.000              0
     31/12/1999           1999        112.774            4.000           16.000        947.150       2984.594          25.099          13.432       1903.412        558.806        495.300              8.000         15.440         13.000          3.000        693.064        115.824         25.191           2.000          0.000        549.456        143.510         21.411           2.000          0.000        486.912         53.340         16.036           1.000          5.000            139
     31/12/2000           2000          0.000            5.000            5.000        571.120       2765.613          26.413          14.335       1869.933        327.330        231.318              3.000         15.750         24.000          0.000        587.706         66.548         22.340           1.000          0.000        533.786         30.988         22.516           0.000          0.000        473.483         23.368         18.411           0.000          4.000            126
     31/12/2001           2001          0.000            4.000            9.000        725.878       2992.162          25.199          13.964       1986.218        433.570        286.258              2.000         16.162         14.000          0.000        603.123         42.672         23.895           0.000          2.000        594.993         63.500         22.779           1.000          0.000        420.622        133.858         16.486           3.000          2.000            129
     31/12/2002           2002          4.753            2.000           14.000        680.952       3182.288          26.165          13.912       2033.337        503.172        269.494              3.000         15.170         26.000          2.000        653.700        133.604         24.264           2.000          0.000        568.867        118.110         21.329           2.000          0.000        455.407         32.004         18.477           1.000          2.000            123
     31/12/2003           2003          0.000            3.000           14.000        809.484       3343.364          24.615          12.333       2025.299        576.737        327.891              5.000         14.858         15.000          1.000        661.064        157.733         22.457           3.000          2.000        608.843         21.844         23.276           0.000          0.000        470.834         87.376         16.182           2.000          6.000            119
     31/12/2004           2004          0.000            0.000           14.000        792.193       3191.786          24.121          12.358       1889.996        461.514        318.973              2.000         15.270         22.000          0.000        603.796         42.926         21.149           0.000          0.000        540.115        115.316         18.573           1.000          0.000        522.765         29.718         19.012           0.000          1.000            118
