ApsimVersion = 7.9 r4044
Title = ames-2001
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     01/01/2001           2001            0.0            0.0        688.052           26.5            0.0          0.000            0.0          1.270
     02/01/2001           2001            0.0            0.0        704.762           26.6            0.0          0.000            0.0          0.000
     03/01/2001           2001            0.0            0.0        717.721           26.7            0.0          0.000           -0.0          0.000
     04/01/2001           2001            0.0            0.0        736.040           26.6            0.0          0.000           -0.0          0.000
     05/01/2001           2001            0.0            0.0        758.087           26.6            0.0          0.000           -0.0          0.000
     06/01/2001           2001            0.0            0.0        787.268           26.6            0.0          0.000           -0.0          0.000
     07/01/2001           2001            0.0            0.0        815.636           26.6            0.0          0.000           -0.0          0.000
     08/01/2001           2001            0.0            0.0        841.291           26.5            0.0          0.000           -0.0          0.000
     09/01/2001           2001            0.0            0.0        864.049           26.5            0.0          0.000           -0.0          0.000
     10/01/2001           2001            0.0            0.0        899.649           26.5            0.0          0.000           -0.0          0.000
     11/01/2001           2001            0.0            0.0        908.294           26.4            0.0          0.000           -0.0          2.790
     12/01/2001           2001            0.0            0.0        910.813           26.4            0.0          0.000           -0.0          0.250
     13/01/2001           2001            0.0            0.0        916.418           26.4            0.0          0.000           -0.0          0.000
     14/01/2001           2001            0.0            0.0        919.320           26.4            0.0          0.000           -0.0          1.270
     15/01/2001           2001            0.0            0.0        925.131           26.3            0.0          0.000           -0.0          0.000
     16/01/2001           2001            0.0            0.0        932.301           26.3            0.0          0.000           -0.0          0.000
     17/01/2001           2001            0.0            0.0        940.855           26.3            0.0          0.000           -0.0          0.000
     18/01/2001           2001            0.0            0.0        951.076           26.2            0.0          0.000           -0.0          0.000
     19/01/2001           2001            0.0            0.0        960.964           26.2            0.0          0.000           -0.0          0.000
     20/01/2001           2001            0.0            0.0        966.562           26.1            0.0          0.000           -0.0          0.000
     21/01/2001           2001            0.0            0.0        987.798           26.1            0.0          0.000           -0.0          0.000
     22/01/2001           2001            0.0            0.0        996.483           26.0            0.0          0.000           -0.0          0.000
     23/01/2001           2001            0.0            0.0       1002.697           26.0            0.0          0.000           -0.0          0.000
     24/01/2001           2001            0.0            0.0       1008.375           25.9            0.0          0.000           -0.0          0.000
     25/01/2001           2001            0.0            0.0       1013.680           25.9            0.0          0.000           -0.0          0.000
     26/01/2001           2001            0.0            0.0       1010.664           25.9            0.0          0.000           -0.0          3.300
     27/01/2001           2001            0.0            0.0       1009.666           25.8            0.0          0.000           -0.0          0.000
     28/01/2001           2001            0.0            0.0       1011.517           25.8            0.0          0.000           -0.0          0.250
     29/01/2001           2001            0.0            0.0        982.656           25.8            0.0          0.000           -0.0         15.750
     30/01/2001           2001            0.0            0.0        913.121           25.8            0.0          0.000           -0.0          3.300
     31/01/2001           2001            0.0            0.0        895.002           25.7            0.0          0.000           -0.0          0.000
     01/02/2001           2001            0.0            0.0        897.685           25.7            0.0          0.000           -0.0          0.000
     02/02/2001           2001            0.0            0.0        902.976           25.6            0.0          0.000           -0.0          0.000
     03/02/2001           2001            0.0            0.0        910.313           25.5            0.0          0.000           -0.0          0.000
     04/02/2001           2001            0.0            0.0        918.908           25.5            0.0          0.000           -0.0          0.000
     05/02/2001           2001            0.0            0.0        929.007           25.4            0.0          0.000           -0.0          0.000
     06/02/2001           2001            0.0            0.0        940.866           25.4            0.0          0.000           -0.0          0.000
     07/02/2001           2001            0.0            0.0        950.536           25.3            0.0          0.000           -0.0          0.250
     08/02/2001           2001            0.0            0.0        938.861           25.3            0.0          0.000           -0.0          4.320
     09/02/2001           2001            0.0            0.0        883.577           25.3            0.0          0.000           -0.0         14.480
     10/02/2001           2001            0.0            0.0        756.158           25.3            0.0          0.000           -0.0          0.000
     11/02/2001           2001            0.0            0.0        761.469           25.2            0.0          0.000           -0.0          0.000
     12/02/2001           2001            0.0            0.0        781.116           25.1            0.0          0.000           -0.0          0.000
     13/02/2001           2001            0.0            0.0        804.005           25.1            0.0          0.000           -0.0          0.000
     14/02/2001           2001            0.0            0.0        815.347           25.0            0.0          0.000           -0.0          1.520
     15/02/2001           2001            0.0            0.0        830.522           25.0            0.0          0.000           -0.0          0.000
     16/02/2001           2001            0.0            0.0        850.681           24.9            0.0          0.000           -0.0          0.000
     17/02/2001           2001            0.0            0.0        865.983           24.8            0.0          0.000           -0.0          0.000
     18/02/2001           2001            0.0            0.0        902.617           24.8            0.0          0.000           -0.0          0.000
     19/02/2001           2001            0.0            0.0        917.739           24.7            0.0          0.000           -0.0          0.000
     20/02/2001           2001            0.0            0.0        928.681           24.7            0.0          0.000           -0.0          0.000
     21/02/2001           2001            0.0            0.0        938.589           24.6            0.0          0.000           -0.0          0.000
     22/02/2001           2001            0.0            0.0        950.315           24.6            0.0          0.000           -0.0          0.000
     23/02/2001           2001            0.0            0.0        961.459           24.5            0.0          0.000           -0.0          0.000
     24/02/2001           2001            0.0            0.0        913.301           24.5            0.0          0.000           -0.0         11.940
     25/02/2001           2001            0.0            0.0        903.603           24.5            0.0          0.000           -0.0          0.000
     26/02/2001           2001            0.0            0.0        905.871           24.4            0.0          0.000           -0.0          0.000
     27/02/2001           2001            0.0            0.0        911.836           24.4            0.0          0.000           -0.0          0.000
     28/02/2001           2001            0.0            0.0        919.333           24.3            0.0          0.000           -0.0          0.000
     01/03/2001           2001            0.0            0.0        927.332           24.3            0.0          0.000           -0.0          0.000
     02/03/2001           2001            0.0            0.0        939.095           24.2            0.0          0.000           -0.0          0.000
     03/03/2001           2001            0.0            0.0        955.095           24.2            0.0          0.000           -0.0          0.000
     04/03/2001           2001            0.0            0.0        966.095           24.1            0.0          0.000           -0.0          0.000
