ApsimVersion = 7.9 r4044
Title = craw-2009
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2009           2009            0.0            0.0        714.524           40.7            0.0          0.000          0.000            0.1
     02/01/2009           2009            0.0            0.0        727.555           40.8            0.0          0.000          0.000            0.0
     03/01/2009           2009            0.0            0.0        734.668           40.9            0.0          0.000          0.000           -0.0
     04/01/2009           2009            0.0            0.0        742.284           40.8            0.0          0.000          0.000           -0.0
     05/01/2009           2009            0.0            0.0        753.912           40.8            0.0          0.000          0.000           -0.0
     06/01/2009           2009            0.0            0.0        763.886           40.7            0.0          0.000          0.000           -0.0
     07/01/2009           2009            0.0            0.0        769.905           40.6            0.0          0.000          0.000           -0.0
     08/01/2009           2009            0.0            0.0        775.071           40.5            0.0          0.000          0.000           -0.0
     09/01/2009           2009            0.0            0.0        781.162           40.4            0.0          0.000          0.000           -0.0
     10/01/2009           2009            0.0            0.0        784.735           40.3            0.0          0.000          1.020           -0.0
     11/01/2009           2009            0.0            0.0        785.154           40.2            0.0          0.000          1.270           -0.0
     12/01/2009           2009            0.0            0.0        785.897           40.1            0.0          0.000          0.000           -0.0
     13/01/2009           2009            0.0            0.0        784.888           40.1            0.0          0.000          2.030           -0.0
     14/01/2009           2009            0.0            0.0        771.089           40.0            0.0          0.000          5.590           -0.0
     15/01/2009           2009            0.0            0.0        741.912           39.9            0.0          0.000          0.000           -0.0
     16/01/2009           2009            0.0            0.0        734.456           39.9            0.0          0.000          0.000           -0.0
     17/01/2009           2009            0.0            0.0        739.848           39.8            0.0          0.000          0.000           -0.0
     18/01/2009           2009            0.0            0.0        745.402           39.7            0.0          0.000          0.000           -0.0
     19/01/2009           2009            0.0            0.0        755.186           39.6            0.0          0.000          0.250           -0.0
     20/01/2009           2009            0.0            0.0        762.558           39.5            0.0          0.000          0.000           -0.0
     21/01/2009           2009            0.0            0.0        768.398           39.5            0.0          0.000          0.000           -0.0
     22/01/2009           2009            0.0            0.0        774.345           39.4            0.0          0.000          0.000           -0.0
     23/01/2009           2009            0.0            0.0        781.512           39.3            0.0          0.000          0.000           -0.0
     24/01/2009           2009            0.0            0.0        788.034           39.2            0.0          0.000          0.000           -0.0
     25/01/2009           2009            0.0            0.0        790.933           39.2            0.0          0.000          2.030           -0.0
     26/01/2009           2009            0.0            0.0        791.472           39.1            0.0          0.000          0.000           -0.0
     27/01/2009           2009            0.0            0.0        792.743           39.0            0.0          0.000          0.000           -0.0
     28/01/2009           2009            0.0            0.0        795.444           39.0            0.0          0.000          0.000           -0.0
     29/01/2009           2009            0.0            0.0        799.389           38.9            0.0          0.000          0.000           -0.0
     30/01/2009           2009            0.0            0.0        804.244           38.8            0.0          0.000          0.000           -0.0
     31/01/2009           2009            0.0            0.0        812.719           38.8            0.0          0.000          0.000           -0.0
     01/02/2009           2009            0.0            0.0        823.333           38.7            0.0          0.000          0.000           -0.0
     02/02/2009           2009            0.0            0.0        834.264           38.6            0.0          0.000          0.000           -0.0
     03/02/2009           2009            0.0            0.0        844.375           38.6            0.0          0.000          0.000           -0.0
     04/02/2009           2009            0.0            0.0        853.471           38.5            0.0          0.000          0.000           -0.0
     05/02/2009           2009            0.0            0.0        864.973           38.4            0.0          0.000          0.000           -0.0
     06/02/2009           2009            0.0            0.0        881.288           38.4            0.0          0.000          0.000           -0.0
     07/02/2009           2009            0.0            0.0        903.151           38.3            0.0          0.000          0.000            0.0
     08/02/2009           2009            0.0            0.0        926.582           38.2            0.0          0.000          0.000           -0.0
     09/02/2009           2009            0.0            0.0        950.316           38.2            0.0          0.000          0.000            0.0
     10/02/2009           2009            0.0            0.0        975.773           38.2            0.0          0.000          0.760            0.0
     11/02/2009           2009            0.0            0.0       1001.099           38.2            0.0          0.000          0.250            0.0
     12/02/2009           2009            0.0            0.0       1016.266           38.2            0.0          0.000          4.570            0.0
     13/02/2009           2009            0.0            0.0       1024.262           38.2            0.0          0.000          0.000           -0.0
     14/02/2009           2009            0.0            0.0       1024.723           38.1            0.0          0.000          2.790           -0.0
     15/02/2009           2009            0.0            0.0       1019.128           38.1            0.0          0.000          0.000           -0.0
     16/02/2009           2009            0.0            0.0       1016.878           38.0            0.0          0.000          0.000           -0.0
