ApsimVersion = 7.9 r4044
Title = kana-2008
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2008           2008            0.0            0.0       1592.788            8.2         2000.0          0.000          0.250            0.0
     02/01/2008           2008            0.0            0.0       1565.717            8.3         2000.0          0.000          0.000           -0.0
     03/01/2008           2008            0.0            0.0       1560.592            8.4         2000.0          0.000          0.000           -0.0
     04/01/2008           2008            0.0            0.0       1554.553            8.4         2000.0          0.000          0.000           -0.0
     05/01/2008           2008            0.0            0.0       1548.347            8.5         2000.0          0.000          0.000           -0.0
     06/01/2008           2008            0.0            0.0       1542.305            8.5         1998.1          0.000          0.000           -0.0
     07/01/2008           2008            0.0            0.0       1536.595            8.5         1997.7          0.000          0.000           -0.0
     08/01/2008           2008            0.0            0.0       1531.195            8.6         1997.7          0.000          1.020           -0.0
     09/01/2008           2008            0.0            0.0       1526.019            8.6         1997.7          0.000          0.000           -0.0
     10/01/2008           2008            0.0            0.0       1520.986            8.6         1997.7          0.000          0.250           -0.0
     11/01/2008           2008            0.0            0.0       1516.031            8.7         1997.7          0.000          0.250           -0.0
     12/01/2008           2008            0.0            0.0       1511.127            8.7         1997.7          0.000          0.000           -0.0
     13/01/2008           2008            0.0            0.0       1506.260            8.7         1997.7          0.000          0.250           -0.0
     14/01/2008           2008            0.0            0.0       1501.411            8.7         1997.7          0.000          0.250           -0.0
     15/01/2008           2008            0.0            0.0       1496.589            8.7         1997.7          0.000          0.000           -0.0
     16/01/2008           2008            0.0            0.0       1491.832            8.7         1997.7          0.000          0.000           -0.0
     17/01/2008           2008            0.0            0.0       1487.000            8.7         1997.7          0.000          3.300           -0.0
     18/01/2008           2008            0.0            0.0       1481.370            8.7         1997.7          0.000          0.760           -0.0
     19/01/2008           2008            0.0            0.0       1474.964            8.7         1997.7          0.000          0.000           -0.0
     20/01/2008           2008            0.0            0.0       1468.112            8.7         1997.7          0.000          0.000           -0.0
     21/01/2008           2008            0.0            0.0       1461.107            8.7         1997.7          0.000          2.030           -0.0
     22/01/2008           2008            0.0            0.0       1453.244            8.7         1997.7          0.000          3.300           -0.0
     23/01/2008           2008            0.0            0.0       1444.741            8.7         1997.7          0.000          0.000           -0.0
     24/01/2008           2008            0.0            0.0       1435.877            8.7         1997.7          0.000          0.250           -0.0
     25/01/2008           2008            0.0            0.0       1427.090            8.7         1997.7          0.000          0.250           -0.0
     26/01/2008           2008            0.0            0.0       1418.630            8.7         1997.7          0.000          1.020           -0.0
     27/01/2008           2008            0.0            0.0       1410.762            8.7         1997.7          0.000          0.000           -0.0
