ApsimVersion = 7.9 r4044
Title = lewi-2001
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2001           2001            0.0            0.0       2042.635           31.1         2000.0          0.000          0.000            0.1
     02/01/2001           2001            0.0            0.0       1901.107           31.5         2000.0          0.000          0.000            0.0
     03/01/2001           2001            0.0            0.0       1874.655           31.8         2000.0          0.000          0.000           -0.0
     04/01/2001           2001            0.0            0.0       1854.820           32.0         2000.0          0.000          0.000           -0.0
     05/01/2001           2001            0.0            0.0       1841.778           32.1         2000.0          0.000          0.000           -0.0
     06/01/2001           2001            0.0            0.0       1833.311           32.3         1999.3          0.000          0.000           -0.0
     07/01/2001           2001            0.0            0.0       1827.460           32.5         1999.3          0.000          0.000           -0.0
     08/01/2001           2001            0.0            0.0       1817.497           32.6         1999.3          0.000          0.000           -0.0
     09/01/2001           2001            0.0            0.0       1830.182           32.7         1999.3          0.000          0.000           -0.0
     10/01/2001           2001            0.0            0.0       1820.401           32.8         1998.6          0.000          0.000           -0.0
     11/01/2001           2001            0.0            0.0       1812.024           32.9         1998.2          0.000          0.000           -0.0
     12/01/2001           2001            0.0            0.0       1804.712           33.0         1998.2          0.000          0.000           -0.0
     13/01/2001           2001            0.0            0.0       1798.402           33.1         1998.2          0.000          6.147           -0.0
     14/01/2001           2001            0.0            0.0       1792.501           33.2         1998.2          0.000          0.000           -0.0
     15/01/2001           2001            0.0            0.0       1786.675           33.2         1998.2          0.000          0.000           -0.0
     16/01/2001           2001            0.0            0.0       1780.726           33.3         1998.2          0.000          0.000           -0.0
     17/01/2001           2001            0.0            0.0       1774.686           33.3         1998.2          0.000          0.000           -0.0
     18/01/2001           2001            0.0            0.0       1768.548           33.3         1998.2          0.000          0.000           -0.0
     19/01/2001           2001            0.0            0.0       1761.846           33.3         1998.2          0.000          0.000           -0.0
     20/01/2001           2001            0.0            0.0       1738.059           33.3         1998.2          0.000          0.000           -0.0
     21/01/2001           2001            0.0            0.0       1471.409           33.3         1998.2          0.000          0.000           -0.0
     22/01/2001           2001            0.0            0.0       1467.285           33.3         1998.2          0.000          0.000           -0.0
     23/01/2001           2001            0.0            0.0       1463.161           33.2         1998.2          0.000          0.000           -0.0
     24/01/2001           2001            0.0            0.0       1459.287           33.2         1998.2          0.000          0.000           -0.0
