ApsimVersion = 7.9 r4044
Title = mcna-2009
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2009           2009            0.0            0.0       1022.917           40.4         2000.0          0.000          0.000            0.0
     02/01/2009           2009            0.0            0.0       1026.258           41.3         2000.0          0.000          0.000           -0.0
     03/01/2009           2009            0.0            0.0       1027.847           41.9         2000.0          0.000          0.000           -0.0
     04/01/2009           2009            0.0            0.0       1029.372           42.4         2000.0          0.000          0.000           -0.0
     05/01/2009           2009            0.0            0.0       1031.687           42.7         2000.0          0.000          0.000           -0.0
     06/01/2009           2009            0.0            0.0       1034.177           42.9         2000.0          0.000          0.000           -0.0
     07/01/2009           2009            0.0            0.0       1035.870           43.0         2000.0          0.000          0.000           -0.0
     08/01/2009           2009            0.0            0.0       1037.374           43.1         2000.0          0.000          0.000           -0.0
     09/01/2009           2009            0.0            0.0       1038.935           43.2         2000.0          0.000          0.000           -0.0
     10/01/2009           2009            0.0            0.0       1032.452           43.2         2000.0          0.000          1.780           -0.0
     11/01/2009           2009            0.0            0.0       1029.894           43.2         2000.0          0.000          0.000           -0.0
     12/01/2009           2009            0.0            0.0       1030.473           43.2         2000.0          0.000          0.000           -0.0
     13/01/2009           2009            0.0            0.0       1014.351           43.2         2000.0          0.000          3.810           -0.0
     14/01/2009           2009            0.0            0.0       1009.162           43.1         2000.0          0.000          0.000           -0.0
     15/01/2009           2009            0.0            0.0       1008.423           43.1         2000.0          0.000          0.000           -0.0
     16/01/2009           2009            0.0            0.0       1009.627           43.0         2000.0          0.000          0.000           -0.0
     17/01/2009           2009            0.0            0.0       1010.998           43.0         2000.0          0.000          0.000           -0.0
     18/01/2009           2009            0.0            0.0       1012.956           42.9         2000.0          0.000          0.000           -0.0
     19/01/2009           2009            0.0            0.0       1014.313           42.8         2000.0          0.000          0.000           -0.0
     20/01/2009           2009            0.0            0.0       1014.569           42.7         2000.0          0.000          0.250           -0.0
     21/01/2009           2009            0.0            0.0       1016.378           42.6         2000.0          0.000          0.000           -0.0
     22/01/2009           2009            0.0            0.0       1022.726           42.5         2000.0          0.000          0.000           -0.0
     23/01/2009           2009            0.0            0.0       1025.936           42.5         2000.0          0.000          0.000           -0.0
     24/01/2009           2009            0.0            0.0       1027.479           42.4         2000.0          0.000          0.000           -0.0
     25/01/2009           2009            0.0            0.0       1000.211           42.4         2000.0          0.000          6.350           -0.0
     26/01/2009           2009            0.0            0.0        993.310           42.3         2000.0          0.000          0.000           -0.0
     27/01/2009           2009            0.0            0.0        992.144           42.2         2000.0          0.000          0.000           -0.0
     28/01/2009           2009            0.0            0.0        992.637           42.1         2000.0          0.000          0.000           -0.0
     29/01/2009           2009            0.0            0.0        993.819           42.0         2000.0          0.000          0.000           -0.0
     30/01/2009           2009            0.0            0.0        995.116           41.9         2000.0          0.000          0.000           -0.0
     31/01/2009           2009            0.0            0.0       1001.297           41.9         1999.9          0.000          0.000           -0.0
