ApsimVersion = 7.9 r4044
Title = nash-2011
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2011           2011            0.0            0.0        725.696           47.3         2000.0          0.000          0.250            0.0
     02/01/2011           2011            0.0            0.0        764.539           47.6         2000.0          0.000          0.000            0.0
     03/01/2011           2011            0.0            0.0        798.928           47.6         2000.0          0.000          0.000            0.0
     04/01/2011           2011            0.0            0.0        830.481           47.6         2000.0          0.000          0.000           -0.0
     05/01/2011           2011            0.0            0.0        858.942           47.5         2000.0          0.000          0.000           -0.0
     06/01/2011           2011            0.0            0.0        883.940           47.4         2000.0          0.000          0.250           -0.0
     07/01/2011           2011            0.0            0.0        907.577           47.3         2000.0          0.000          0.250           -0.0
     08/01/2011           2011            0.0            0.0        927.007           47.1         2000.0          0.000          0.510           -0.0
     09/01/2011           2011            0.0            0.0        945.048           47.0         2000.0          0.000          0.000           -0.0
     10/01/2011           2011            0.0            0.0        960.055           46.9         2000.0          0.000          0.250           -0.0
     11/01/2011           2011            0.0            0.0        934.064           46.8         2000.0          0.000          7.000           -0.0
     12/01/2011           2011            0.0            0.0        920.746           46.7         2000.0          0.000          1.000           -0.0
     13/01/2011           2011            0.0            0.0        924.774           46.5         2000.0          0.000          0.000           -0.0
     14/01/2011           2011            0.0            0.0        937.871           46.4         2000.0          0.000          0.000           -0.0
     15/01/2011           2011            0.0            0.0        953.384           46.3         2000.0          0.000          0.000           -0.0
     16/01/2011           2011            0.0            0.0        967.948           46.2         2000.0          0.000          0.000           -0.0
     17/01/2011           2011            0.0            0.0        946.472           46.1         2000.0          0.000          6.500           -0.0
     18/01/2011           2011            0.0            0.0        930.980           45.9         2000.0          0.000          1.100           -0.0
     19/01/2011           2011            0.0            0.0        928.085           45.8         2000.0          0.000          1.000           -0.0
     20/01/2011           2011            0.0            0.0        936.699           45.7         2000.0          0.000          0.000           -0.0
     21/01/2011           2011            0.0            0.0        950.181           45.6         2000.0          0.000          0.000           -0.0
     22/01/2011           2011            0.0            0.0        962.873           45.4         2000.0          0.000          0.250           -0.0
     23/01/2011           2011            0.0            0.0        974.801           45.3         2000.0          0.000          0.000           -0.0
     24/01/2011           2011            0.0            0.0        986.179           45.3         2000.0          0.000          0.000           -0.0
     25/01/2011           2011            0.0            0.0        993.435           45.2         2000.0          0.000          0.000           -0.0
     26/01/2011           2011            0.0            0.0       1033.744           45.1         2000.0          0.000          0.000           -0.0
     27/01/2011           2011            0.0            0.0       1040.440           45.0         2000.0          0.000          0.000           -0.0
     28/01/2011           2011            0.0            0.0       1042.892           45.0         2000.0          0.000          0.000           -0.0
     29/01/2011           2011            0.0            0.0       1044.680           44.9         2000.0          0.000          0.000           -0.0
     30/01/2011           2011            0.0            0.0       1044.202           44.8         2000.0          0.000          2.000           -0.0
     31/01/2011           2011            0.0            0.0       1040.543           44.8         2000.0          0.000          1.500           -0.0
     01/02/2011           2011            0.0            0.0       1026.816           44.7         2000.0          0.000          6.500           -0.0
     02/02/2011           2011            0.0            0.0       1009.733           44.7         2000.0          0.000          3.000           -0.0
     03/02/2011           2011            0.0            0.0       1002.279           44.6         2000.0          0.000          0.000           -0.0
     04/02/2011           2011            0.0            0.0        999.417           44.5         2000.0          0.000          0.000           -0.0
     05/02/2011           2011            0.0            0.0        999.459           44.4         2000.0          0.000          0.000           -0.0
     06/02/2011           2011            0.0            0.0        999.617           44.3         2000.0          0.000          1.270           -0.0
     07/02/2011           2011            0.0            0.0       1000.134           44.2         2000.0          0.000          0.000           -0.0
     08/02/2011           2011            0.0            0.0       1001.374           44.1         2000.0          0.000          0.000           -0.0
     09/02/2011           2011            0.0            0.0       1002.996           44.1         2000.0          0.000          0.000           -0.0
     10/02/2011           2011            0.0            0.0       1004.741           44.0         2000.0          0.000          0.000           -0.0
     11/02/2011           2011            0.0            0.0       1006.906           43.9         2000.0          0.000          0.000           -0.0
     12/02/2011           2011            0.0            0.0       1009.779           43.8         2000.0          0.000          0.000           -0.0
     13/02/2011           2011            0.0            0.0       1014.100           43.7         1999.1          0.000          0.000           -0.0
     14/02/2011           2011            0.0            0.0       1019.709           43.7         1995.5          0.000          0.000            0.0
     15/02/2011           2011            0.0            0.0       1027.639           43.6         1993.2          0.000          0.000            0.0
     16/02/2011           2011            0.0            0.0       1034.899           43.6         1987.8          0.000          0.000            0.0
     17/02/2011           2011            0.0            0.0       1040.548           43.6         1977.4          0.000          0.000            0.0
     18/02/2011           2011            0.0            0.0       1046.375           43.6         1977.0          0.000          0.000            0.0
     19/02/2011           2011            0.0            0.0       1051.865           43.5         1977.0          0.000          0.000           -0.0
     20/02/2011           2011            0.0            0.0       1053.806           43.4         1976.9          0.000          2.500           -0.0
     21/02/2011           2011            0.0            0.0       1031.580           43.5         1976.9          0.000         18.000           -0.0
     22/02/2011           2011            0.0            0.0        957.413           43.4         1976.9          0.000          5.500           -0.0
     23/02/2011           2011            0.0            0.0        808.568           43.1         1976.9          0.000          0.000           -0.0
     24/02/2011           2011            0.0            0.0        828.611           42.9         1976.9          0.000          0.000           -0.0
     25/02/2011           2011            0.0            0.0        853.941           42.7         1976.9          0.000          0.000           -0.0
     26/02/2011           2011            0.0            0.0        879.007           42.5         1976.9          0.000          0.000           -0.0
     27/02/2011           2011            0.0            0.0        899.805           42.3         1976.9          0.000          1.100           -0.0
     28/02/2011           2011            0.0            0.0        923.183           42.2         1976.9          0.000          0.000           -0.0
     01/03/2011           2011            0.0            0.0        952.599           42.0         1976.9          0.000          0.000           -0.0
     02/03/2011           2011            0.0            0.0        975.765           41.9         1976.9          0.000          0.000           -0.0
     03/03/2011           2011            0.0            0.0        993.457           41.8         1976.9          0.000          0.000           -0.0
     04/03/2011           2011            0.0            0.0       1035.089           41.8         1976.9          0.000          3.900           -0.0
     05/03/2011           2011            0.0            0.0       1034.500           41.7         1976.9          0.000          0.000           -0.0
     06/03/2011           2011            0.0            0.0       1034.723           41.6         1976.9          0.000          0.000           -0.0
     07/03/2011           2011            0.0            0.0       1035.764           41.6         1976.9          0.000          0.000           -0.0
     08/03/2011           2011            0.0            0.0       1035.900           41.5         1976.3          0.000          1.500           -0.0
     09/03/2011           2011            0.0            0.0       1019.063           41.5         1976.3          0.000          8.800           -0.0
     10/03/2011           2011            0.0            0.0       1007.182           41.4         1976.3          0.000          1.100           -0.0
     11/03/2011           2011            0.0            0.0       1004.517           41.3         1975.7          0.000          0.000           -0.0
     12/03/2011           2011            0.0            0.0       1005.440           41.2         1975.7          0.000          0.000           -0.0
     13/03/2011           2011            0.0            0.0       1007.610           41.1         1975.7          0.000          0.000           -0.0
     14/03/2011           2011            0.0            0.0       1013.046           41.0         1975.7          0.000          0.000           -0.0
     15/03/2011           2011            0.0            0.0       1021.587           41.0         1974.4          0.000          0.000            0.0
     16/03/2011           2011            0.0            0.0       1032.044           41.0         1967.4          0.000          0.000            0.0
     17/03/2011           2011            0.0            0.0       1038.963           41.1         1953.5          0.000          0.000            0.1
     18/03/2011           2011            0.0            0.0       1046.026           41.1         1952.8          0.000          0.000            0.0
     19/03/2011           2011            0.0            0.0       1054.291           41.2         1951.1          0.000          0.000            0.0
     20/03/2011           2011            0.0            0.0       1047.354           41.4         1932.0          0.000         11.000            0.0
     21/03/2011           2011            0.0            0.0       1015.860           41.6         1919.6          0.000         14.000            0.0
     22/03/2011           2011            0.0            0.0        814.616           41.7         1913.7          0.000          4.000            0.0
     23/03/2011           2011            0.0            0.0        734.596           41.6         1913.7          0.000         19.000            0.0
     24/03/2011           2011            0.0            0.0        720.350           41.3         1913.7          0.000          0.700            0.0
     25/03/2011           2011            0.0            0.0        747.061           41.0         1913.7          0.000          0.000            0.0
     26/03/2011           2011            0.0            0.0        781.519           40.7         1913.7          0.000          0.000            0.0
     27/03/2011           2011            0.0            0.0        819.454           40.4         1913.7          0.000          0.000           -0.0
     28/03/2011           2011            0.0            0.0        857.862           40.2         1913.7          0.000          0.000           -0.0
     29/03/2011           2011            0.0            0.0        901.200           40.0         1912.8          0.000          0.000            0.0
     30/03/2011           2011            0.0            0.0        950.070           39.9         1912.0          0.000          0.000            0.0
     31/03/2011           2011            0.0            0.0        990.978           39.9         1910.7          0.000          0.000            0.0
     01/04/2011           2011            0.0            0.0       1013.042           39.9         1905.7          0.000          0.000            0.0
     02/04/2011           2011            0.0            0.0       1050.371           40.1         1902.8          0.000          0.000            0.1
     03/04/2011           2011            0.0            0.0       1063.634           40.7         1895.3          0.000          0.000            0.2
     04/04/2011           2011            0.0            0.0       1074.714           41.1         1895.2          0.000          0.000            0.1
     05/04/2011           2011            0.0            0.0       1086.062           41.4         1895.2          0.000          0.000            0.1
     06/04/2011           2011            0.0            0.0       1099.377           41.8         1895.2          0.000          0.000            0.1
     07/04/2011           2011            0.0            0.0       1113.295           42.2         1895.2          0.000          0.000            0.1
     08/04/2011           2011            0.0            0.0       1127.126           42.9         1895.2          0.000          0.000            0.2
