ApsimVersion = 7.9 r4044
Title = suth-2000
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min() final_soil_temp(1) final_soil_temp(2) final_soil_temp(3) final_soil_temp(4) final_soil_temp(5) final_soil_temp(6) final_soil_temp(7) final_soil_temp(8) final_soil_temp(9) final_soil_temp(10) final_soil_temp(11) final_soil_temp(12) final_soil_temp(13) final_soil_temp(14) final_soil_temp(15) final_soil_temp(16) final_soil_temp(17) final_soil_temp(18) final_soil_temp(19) final_soil_temp(20)
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)               (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)                (oC)
     01/01/2000           2000            0.0            0.0        704.583           79.3         2000.0          0.000          0.000            0.1             -0.635              0.638              2.307              4.844              7.053              8.667              9.569              9.881              9.972               9.994               9.999              10.000              10.000              10.000              10.000              10.000              10.000              10.000              10.000               9.999
     02/01/2000           2000            0.0            0.0        716.997           79.3         2000.0          0.000          0.250            0.0             -1.076             -0.222              0.952              2.936              5.002              6.939              8.481              9.315              9.720               9.896               9.966               9.994               9.999              10.000              10.000              10.000              10.000              10.000               9.999               9.997
     03/01/2000           2000            0.0            0.0        723.304           79.2         2000.0          0.000          1.020            0.0             -5.593             -4.078             -2.163              0.588              3.063              5.362              7.342              8.561              9.266               9.649               9.843               9.956               9.992               9.999              10.000              10.000              10.000              10.000               9.998               9.996
     04/01/2000           2000            0.0            0.0        733.198           79.1         2000.0          0.000          0.000            0.0            -12.044            -10.185             -7.734             -3.893             -0.190              3.184              5.957              7.652              8.676               9.281               9.624               9.866               9.969               9.994               9.999              10.000              10.000               9.999               9.998               9.994
     05/01/2000           2000            0.0            0.0        722.250           79.0         2000.0          0.000          4.570           -0.0             -8.955             -7.265             -5.272             -2.802             -0.702              1.748              4.489              6.527              7.906               8.778               9.303               9.713               9.919               9.979               9.995               9.999               9.999               9.999               9.997               9.993
     06/01/2000           2000            0.0            0.0        724.374           78.8         2000.0          0.000          0.510           -0.0             -8.244             -6.750             -4.984             -2.779             -0.924              1.208              3.662              5.647              7.143               8.195               8.887               9.491               9.835               9.951               9.987               9.996               9.999               9.998               9.996               9.992
     07/01/2000           2000            0.0            0.0        735.390           78.6         2000.0          0.000          0.000           -0.0            -10.468             -8.042             -5.356             -2.627             -1.052              0.725              3.014              4.961              6.493               7.634               8.438               9.213               9.713               9.904               9.971               9.991               9.997               9.997               9.995               9.990
     08/01/2000           2000            0.0            0.0        751.003           78.4         2000.0          0.000          0.000           -0.0             -2.648             -1.787             -0.910             -0.238              0.110              1.046              2.762              4.472              5.949               7.122               7.994               8.905               9.557               9.837               9.944               9.982               9.994               9.996               9.994               9.989
     09/01/2000           2000            0.0            0.0        765.946           78.2         2000.0          0.000          0.000           -0.0             -5.520             -4.089             -2.490             -0.819              0.190              1.315              2.827              4.276              5.589               6.705               7.589               8.589               9.376               9.748               9.906               9.967               9.988               9.993               9.992               9.988
     10/01/2000           2000            0.0            0.0        782.028           78.0         2000.0          0.000          0.000           -0.0             -2.919             -1.966             -0.939              0.028              0.583              1.438              2.785              4.118              5.332               6.385               7.249               8.289               9.182               9.643               9.856               9.945               9.979               9.990               9.990               9.986
     11/01/2000           2000            0.0            0.0        796.644           77.8         2000.0          0.000          0.000           -0.0             -8.276             -6.943             -5.282             -2.960             -0.958              0.885              2.613              3.971              5.125               6.125               6.963               8.017               8.984               9.524               9.794               9.916               9.966               9.984               9.988               9.985
     12/01/2000           2000            0.0            0.0        811.687           77.6         2000.0          0.000          0.000           -0.0             -8.449             -6.945             -5.204             -3.158             -1.614              0.078              2.013              3.583              4.838               5.866               6.707               7.770               8.791               9.397               9.722               9.879               9.949               9.977               9.984               9.983
     13/01/2000           2000            0.0            0.0        827.463           77.5         2000.0          0.000          0.000           -0.0            -10.633             -8.771             -6.628             -4.164             -2.419             -0.598              1.464              3.139              4.477               5.561               6.437               7.534               8.603               9.266               9.642               9.836               9.927               9.966               9.980               9.982
     14/01/2000           2000            0.0            0.0        846.230           77.3         2000.0          0.000          0.000           -0.0             -4.621             -3.460             -2.288             -1.448             -1.208             -0.434              1.148              2.731              4.097               5.230               6.148               7.293               8.416               9.133               9.556               9.786               9.901               9.953               9.974               9.980
     15/01/2000           2000            0.0            0.0        864.485           77.1         2000.0          0.000          0.000           -0.0             -3.978             -2.671             -1.338             -0.365             -0.216              0.226              1.349              2.622              3.843               4.935               5.860               7.047               8.227               8.996               9.465               9.731               9.870               9.937               9.967               9.979
     16/01/2000           2000            0.0            0.0        912.286           76.9         2000.0          0.000          0.000           -0.0            -10.700             -9.075             -7.085             -4.417             -2.266             -0.398              1.275              2.584              3.723               4.733               5.619               6.810               8.037               8.856               9.369               9.670               9.835               9.918               9.958               9.977
     17/01/2000           2000            0.0            0.0        923.604           76.8         2000.0          0.000          0.000           -0.0             -4.353             -3.855             -3.286             -2.604             -1.900             -0.763              0.820              2.268              3.501               4.533               5.413               6.597               7.851               8.714               9.270               9.605               9.796               9.897               9.948               9.975
     18/01/2000           2000            0.0            0.0        931.022           76.6         2000.0          0.000          0.000           -0.0             -4.439             -3.383             -2.276             -1.352             -0.997             -0.365              0.823              2.095              3.279               4.309               5.198               6.393               7.672               8.572               9.167               9.537               9.753               9.872               9.936               9.973
     19/01/2000           2000            0.0            0.0        905.157           76.5         2000.0          0.000         10.160           -0.0            -11.628             -9.200             -6.482             -3.672             -2.164             -0.827              0.692              1.993              3.127               4.122               4.996               6.196               7.498               8.431               9.062               9.465               9.707               9.845               9.923               9.970
     20/01/2000           2000            0.0            0.0        900.959           76.3         2000.0          0.000          0.000           -0.0            -16.615            -14.301            -11.508             -7.889             -5.020             -2.418             -0.055              1.621              2.895               3.929               4.808               6.008               7.329               8.292               8.956               9.390               9.658               9.816               9.908               9.967
     21/01/2000           2000            0.0            0.0        902.886           76.1         2000.0          0.000          0.000           -0.0            -16.179            -14.156            -11.767             -8.798             -6.406             -3.870             -1.168              0.900              2.450               3.633               4.583               5.820               7.163               8.154               8.849               9.312               9.606               9.784               9.892               9.964
