ApsimVersion = 7.9 r4044
Title = suth-2016
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai           Rain    dlt_n_min()
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)           (mm)        (kg/ha)
     01/01/2016           2016            0.0            0.0        704.479           79.2         2000.0          0.000          0.000            0.1
     02/01/2016           2016            0.0            0.0        718.034           79.2         2000.0          0.000          0.000            0.0
     03/01/2016           2016            0.0            0.0        729.588           79.1         2000.0          0.000          0.000            0.0
     04/01/2016           2016            0.0            0.0        741.537           78.9         2000.0          0.000          0.000           -0.0
     05/01/2016           2016            0.0            0.0        754.527           78.8         2000.0          0.000          0.000           -0.0
     06/01/2016           2016            0.0            0.0        761.917           78.6         2000.0          0.000          1.053           -0.0
     07/01/2016           2016            0.0            0.0        770.739           78.4         2000.0          0.000          0.527           -0.0
     08/01/2016           2016            0.0            0.0        782.799           78.2         2000.0          0.000          0.000           -0.0
     09/01/2016           2016            0.0            0.0        795.832           78.1         2000.0          0.000          0.000           -0.0
     10/01/2016           2016            0.0            0.0        809.550           77.9         2000.0          0.000          0.000           -0.0
     11/01/2016           2016            0.0            0.0        824.180           77.7         2000.0          0.000          0.000           -0.0
     12/01/2016           2016            0.0            0.0        838.855           77.5         2000.0          0.000          0.000           -0.0
     13/01/2016           2016            0.0            0.0        854.892           77.3         2000.0          0.000          0.000           -0.0
     14/01/2016           2016            0.0            0.0        865.779           77.2         2000.0          0.000          0.263           -0.0
     15/01/2016           2016            0.0            0.0        914.148           77.0         2000.0          0.000          0.000           -0.0
     16/01/2016           2016            0.0            0.0        923.414           76.8         2000.0          0.000          0.000           -0.0
     17/01/2016           2016            0.0            0.0        929.245           76.6         2000.0          0.000          0.000           -0.0
     18/01/2016           2016            0.0            0.0        934.807           76.5         2000.0          0.000          0.000           -0.0
     19/01/2016           2016            0.0            0.0        940.233           76.3         2000.0          0.000          0.000           -0.0
     20/01/2016           2016            0.0            0.0        946.022           76.1         2000.0          0.000          0.000           -0.0
     21/01/2016           2016            0.0            0.0        952.550           76.0         2000.0          0.000          0.000           -0.0
     22/01/2016           2016            0.0            0.0        959.456           75.8         2000.0          0.000          0.000           -0.0
     23/01/2016           2016            0.0            0.0        964.504           75.7         2000.0          0.000          0.000           -0.0
     24/01/2016           2016            0.0            0.0        981.646           75.5         2000.0          0.000          0.000           -0.0
     25/01/2016           2016            0.0            0.0        989.862           75.4         2000.0          0.000          0.000           -0.0
     26/01/2016           2016            0.0            0.0        993.054           75.2         2000.0          0.000          0.000           -0.0
     27/01/2016           2016            0.0            0.0        997.003           75.0         2000.0          0.000          0.000           -0.0
     28/01/2016           2016            0.0            0.0       1001.324           74.9         2000.0          0.000          0.000           -0.0
     29/01/2016           2016            0.0            0.0       1006.312           74.7         2000.0          0.000          0.000           -0.0
     30/01/2016           2016            0.0            0.0       1009.860           74.6         2000.0          0.000          0.790           -0.0
     31/01/2016           2016            0.0            0.0       1009.484           74.5         1999.9          0.000          2.370           -0.0
     01/02/2016           2016            0.0            0.0       1012.743           74.3         1999.9          0.000          0.000           -0.0
     02/02/2016           2016            0.0            0.0       1016.310           74.2         1999.9          0.000          0.000           -0.0
     03/02/2016           2016            0.0            0.0       1020.080           74.0         1999.9          0.000          0.000           -0.0
     04/02/2016           2016            0.0            0.0       1024.048           73.9         1999.9          0.000          0.000           -0.0
     05/02/2016           2016            0.0            0.0       1028.136           73.7         1999.9          0.000          0.000           -0.0
     06/02/2016           2016            0.0            0.0       1028.457           73.6         1999.9          0.000          2.370           -0.0
     07/02/2016           2016            0.0            0.0       1030.791           73.5         1999.9          0.000          0.000           -0.0
     08/02/2016           2016            0.0            0.0       1034.099           73.3         1999.9          0.000          0.000           -0.0
     09/02/2016           2016            0.0            0.0       1037.759           73.2         1999.9          0.000          0.000           -0.0
     10/02/2016           2016            0.0            0.0       1041.513           73.1         1999.9          0.000          0.000           -0.0
     11/02/2016           2016            0.0            0.0       1045.253           72.9         1999.9          0.000          0.000           -0.0
     12/02/2016           2016            0.0            0.0       1048.986           72.8         1999.9          0.000          0.000           -0.0
     13/02/2016           2016            0.0            0.0       1052.652           72.7         1999.9          0.000          0.000           -0.0
     14/02/2016           2016            0.0            0.0       1056.438           72.5         1999.9          0.000          0.000           -0.0
     15/02/2016           2016            0.0            0.0       1059.375           72.4         1999.9          0.000          1.053           -0.0
     16/02/2016           2016            0.0            0.0       1052.134           72.3         1999.9          0.000          4.477           -0.0
     17/02/2016           2016            0.0            0.0       1049.802           72.2         1999.9          0.000          0.263           -0.0
     18/02/2016           2016            0.0            0.0       1053.037           72.0         1999.1          0.000          0.000           -0.0
     19/02/2016           2016            0.0            0.0       1060.004           71.9         1988.1          0.000          0.000            0.0
     20/02/2016           2016            0.0            0.0       1068.728           71.8         1986.0          0.000          0.000            0.0
     21/02/2016           2016            0.0            0.0       1073.788           71.7         1985.5          0.000          2.633            0.0
     22/02/2016           2016            0.0            0.0       1076.988           71.6         1985.5          0.000          0.000           -0.0
     23/02/2016           2016            0.0            0.0       1081.890           71.5         1984.9          0.000          0.000            0.0
