loo_cat,feature,imp
site,years_in_corn,10.664936189471781
site,prep2wk_precip_mm_tot,10.624264042513584
site,prev_ccyield,10.034630976562553
site,wintcolddays_n,9.902874898140375
site,heatstress_n,9.819653295330992
site,ndays_gdd140,9.756390802327953
site,iacsr,9.607464833305846
year,years_in_corn,9.420828623383047
year,prep2wk_precip_mm_tot,9.35009557191773
year,prev_ccyield,8.882750012161711
year,wintcolddays_n,8.659706988313236
year,heatstress_n,8.650939569027576
year,iacsr,8.637036113338002
year,ndays_gdd140,8.57500957335007
year,soc_30cm_pct,7.900365775168657
year,bhzdepth_cm,6.715994130817068
site,clay_60cm_pct,5.592403041418056
year,clay_60cm_pct,5.5837155409835715
site,bhzdepth_cm,5.578775331071826
site,soc_30cm_pct,4.499644565191515
site,wtdepth_cm,1.1152567596319107
