unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,51393588,96445256
CL,Yes,51393589,96445257
CL,Yes,51393590,96445258
CL,Yes,51393591,96445259
CL,Yes,51393592,96445260
CL,Yes,51393593,96445261
CL,Yes,51393594,96445262
CL,Yes,51393595,96445263
ML,No ,51393596,96445264
CL,Yes,51393596,96445265
CL,Yes,51393597,96445266
CL,Yes,51393598,96445267
CL,Yes,51394110,96446095
MH,Yes,51394111,96446096
ML,No ,51394111,96446097
MH,Yes,51394112,96446098
ML,No ,51394112,96446099
CL,Yes,51394113,96446100
CH,No ,51394113,96446101
CL,Yes,51394114,96446102
CH,No ,51394115,96446103
CL,Yes,51394115,96446104
CH,No ,51394116,96446105
CL,Yes,51394116,96446106
ML,No ,51394117,96446107
MH,Yes,51394117,96446108
MH,Yes,51394118,96446109
CL,No ,51394118,96446110
CL,Yes,51394119,96446111
CL,Yes,51394120,96446112
CL,Yes,51394121,96446113
CL,Yes,51394122,96446114
CL,Yes,51394123,96446115
CL,Yes,51394715,96446852
MH,No ,51394715,96446853
CL,Yes,51394716,96446854
CL,Yes,51394717,96446855
CL,Yes,51394718,96446856
CL,Yes,51394719,96446857
CL,Yes,51394720,96446858
ML,No ,51394720,96446859
CL,Yes,51394721,96446860
CL,Yes,51394722,96446861
