texcl,lieutex,chtgkey,chtkey
Sandy loam,,102766698,104529988
Loam,,102766699,104529989
Sandy clay loam,,102766700,104529674
Loam,,102766713,104529643
Sandy clay loam,,102766714,104529513
Sandy loam,,102766715,104529939
Loam,,102766718,104529940
Sandy clay loam,,102766719,104529941
Sandy loam,,102766720,104529942
Clay loam,,102766796,104529392
Loam,,102766797,104529393
Sandy loam,,102766800,104530260
Loam,,102766801,104530261
Sandy clay loam,,102766812,104529520
Sandy loam,,102766813,104529650
Loam,,102766814,104529946
Clay loam,,102766817,104529420
Silty clay loam,,102766818,104529421
Silty clay loam,,102766835,104528424
Sandy loam,,102766836,104528425
Clay loam,,102766837,104528863
Loam,,102766838,104528714
Silt loam,,102766839,104528423
Clay loam,,102766842,104529397
Silty clay loam,,102766843,104529398
Sandy loam,,102766852,104528934
Loam,,102766853,104528935
Silty clay,,102766856,104528952
Silty clay loam,,102766857,104528953
Silty clay loam,,102766862,104529087
Clay loam,,102766863,104529226
Silty clay,,102766864,104529356
Clay loam,,102766702,104529070
Loam,,102766703,104529209
Loam,,102766704,104529348
Clay loam,,102766705,104529208
Sandy loam,,102766706,104529346
Loam,,102766707,104529347
Loam,,102766708,104529071
Clay loam,,102766709,104528933
Loam,,102766821,104529295
Clay loam,,102766822,104529159
Clay loam,,102766823,104530154
Loam,,102766824,104530155
Silt loam,,102766825,104528862
Silty clay loam,,102766826,104528713
Clay loam,,102766827,104528712
Loam,,102766828,104530151
Silt loam,,102766829,104530152
Silty clay loam,,102766830,104530153
Sandy loam,,102766831,104528426
Loam,,102766832,104528715
Silty clay loam,,102766865,104529086
Silty clay,,102766866,104529225
Loam,,102766802,104529394
Clay loam,,102766803,104529395
Loam,,102766804,104529651
Sandy clay loam,,102766805,104529950
Sandy loam,,102766806,104529521
Sandy clay loam,,102766807,104529947
Sandy loam,,102766808,104529948
Loam,,102766809,104529949
Sandy loam,,102766810,104529519
Loam,,102766811,104529649
Clay loam,,102766844,104529399
Silty clay loam,,102766845,104529122
Loam,,102766846,104529121
Clay loam,,102766847,104529396
Clay loam,,102766848,104529210
Loam,,102766849,104529072
Loam,,102766850,104528936
Clay loam,,102766851,104528937
Loam,,102766696,104529986
Sandy loam,,102766697,104529987
Loam,,102766701,104529673
Loam,,102766710,104529514
Sandy clay loam,,102766711,104529644
Sandy loam,,102766712,104529515
Loam,,102766716,104529645
Sandy loam,,102766717,104530256
Loam,,102766798,104529523
Clay loam,,102766799,104529256
Sandy loam,,102766815,104530183
Loam,,102766816,104529157
Clay loam,,102766819,104529294
Silty clay loam,,102766820,104529158
Clay loam,,102766833,104528711
Silty clay loam,,102766834,104528861
Sandy loam,,102766840,104529257
Loam,,102766841,104529118
Loam,,102766854,104529211
Clay loam,,102766855,104529073
Silty clay loam,,102766858,104529357
Clay loam,,102766859,104529358
Silt loam,,102766860,104529359
Loam,,102766861,104529227
