structgrpname,rvindicator,chkey,chstructgrpkey
weak fine subangular blocky structure parting to moderate medium granular structure,Yes,51304163,27372077
weak fine prismatic structure parts to moderate fine subangular blocky structure,Yes,51304231,27372693
moderate fine subangular blocky structure parts to moderate fine granular structure,Yes,51304232,27372404
"weak coarse prismatic structure, and weak medium prismatic structure",Yes,51304233,27372694
weak extremely coarse prismatic structure,Yes,51304234,27372405
moderate fine subangular blocky structure,Yes,51304235,27372916
weak medium prismatic structure parts to moderate fine subangular blocky structure,Yes,51304236,27372917
moderate medium prismatic structure parts to moderate medium subangular blocky structure,Yes,51304237,27372918
moderate fine subangular blocky structure parts to moderate fine angular blocky structure,Yes,51304238,27372919
"moderate fine subangular blocky structure, and moderate medium subangular blocky structure",Yes,51304239,27372400
moderate medium subangular blocky structure,Yes,51304240,27372690
"moderate very fine subangular blocky structure, and moderate fine subangular blocky structure",Yes,51304241,27372401
moderate very fine subangular blocky structure,Yes,51304242,27372439
"moderate very fine subangular blocky structure, and moderate fine subangular blocky structure",Yes,51304243,27372440
massive,Yes,51304244,27372441
moderate fine granular structure,Yes,51304245,27372399
weak very fine subangular blocky structure parts to moderate fine granular structure,Yes,51304246,27372689
moderate medium granular structure,Yes,51304247,27372402
weak fine platy structure,Yes,51304248,27372692
moderate medium subangular blocky structure,Yes,51304249,27372403
moderate medium subangular blocky structure,Yes,51304250,27372442
moderate medium prismatic structure,Yes,51304251,27372443
moderate medium granular structure,Yes,51304252,27372691
