texcl,lieutex,chtgkey,chtkey
Silty clay,,102498660,104257608
Silty clay loam,,102498661,104257443
Silty clay loam,,102498657,104257442
Silt loam,,102498658,104257768
Silty clay loam,,102498659,104257769
Silty clay loam,,102498775,104259479
Silty clay,,102498776,104259340
Silty clay loam,,102498779,104258410
Silty clay loam,,102498790,104258833
Silt loam,,102498791,104258405
Silty clay loam,,102498794,104259336
Silt loam,,102498795,104259475
Silty clay loam,,102498802,104258407
Silty clay,,102498803,104258408
Silty clay loam,,102498806,104259339
Silt loam,,102498807,104259478
Silty clay loam,,102498774,104258837
Silty clay loam,,102498777,104259480
Silt loam,,102498778,104259341
Silty clay,,102498788,104258831
Silty clay loam,,102498789,104258832
Silty clay,,102498792,104258834
Silty clay loam,,102498793,104259474
Silty clay,,102498804,104258409
Silty clay loam,,102498805,104259477
Silt loam,,102498808,104259338
Silty clay loam,,102498780,104258411
Silty clay loam,,102498781,104258412
Silty clay,,102498782,104258413
Silty clay loam,,102498783,104259342
Silty clay,,102498784,104259334
Silty clay loam,,102498785,104259472
Silty clay loam,,102498786,104259335
Silty clay,,102498787,104259473
Silty clay loam,,102498772,104258835
Silty clay,,102498773,104258836
Silty clay loam,,102498796,104258402
Silt loam,,102498797,104259337
Silty clay loam,,102498798,104258403
Silt loam,,102498799,104258404
Silt loam,,102498800,104259476
Silt loam,,102498801,104258406
