soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,46,46,91,Moist,184311730,114393628
46,46,91,203,203,203,Wet,184311730,114393629
0,0,0,61,61,107,Moist,184311731,114393630
61,61,107,203,203,203,Wet,184311731,114393631
0,0,0,61,61,107,Moist,184311732,114393632
61,61,107,203,203,203,Wet,184311732,114393633
0,0,0,46,46,91,Moist,184311733,114393634
46,46,91,203,203,203,Wet,184311733,114393635
0,0,0,15,15,61,Moist,184311734,114393636
15,15,61,203,203,203,Wet,184311734,114393637
0,0,0,0,0,30,Moist,184311735,114393638
0,0,30,203,203,203,Wet,184311735,114393639
0,0,0,15,15,46,Moist,184311736,114393640
15,15,46,203,203,203,Wet,184311736,114393641
0,0,0,30,30,61,Moist,184311737,114393642
30,30,61,203,203,203,Wet,184311737,114393643
0,0,0,61,61,91,Moist,184311738,114393644
61,61,91,203,203,203,Wet,184311738,114393645
0,0,0,76,76,107,Moist,184311739,114393646
76,76,107,203,203,203,Wet,184311739,114393647
0,0,0,91,91,122,Moist,184311740,114393648
91,91,122,203,203,203,Wet,184311740,114393649
0,0,0,76,76,107,Moist,184311741,114393650
76,76,107,203,203,203,Wet,184311741,114393651
0,0,0,91,91,168,Moist,184311958,114393907
91,91,168,200,200,200,Wet,184311958,114393908
0,0,0,76,76,152,Moist,184311959,114393909
76,76,152,200,200,200,Wet,184311959,114393910
0,0,0,46,46,122,Moist,184311960,114393911
46,46,122,200,200,200,Wet,184311960,114393912
0,0,0,30,30,107,Moist,184311961,114393913
30,30,107,200,200,200,Wet,184311961,114393914
0,0,0,46,46,122,Moist,184311962,114393915
46,46,122,200,200,200,Wet,184311962,114393916
0,0,0,61,61,137,Moist,184311963,114393917
61,61,137,200,200,200,Wet,184311963,114393918
0,0,0,91,91,168,Moist,184311964,114393919
91,91,168,200,200,200,Wet,184311964,114393920
0,0,0,107,107,183,Moist,184311965,114393921
107,107,183,200,200,200,Wet,184311965,114393922
0,0,0,122,122,198,Moist,184311966,114393923
122,122,198,200,200,200,Wet,184311966,114393924
0,0,0,107,107,183,Moist,184311967,114393925
107,107,183,200,200,200,Wet,184311967,114393926
0,0,0,76,76,152,Moist,184311968,114393927
76,76,152,200,200,200,Wet,184311968,114393928
0,0,0,91,91,168,Moist,184311969,114393929
91,91,168,200,200,200,Wet,184311969,114393930
91,91,122,203,203,203,Wet,184311970,114393931
0,0,0,91,91,122,Moist,184311970,114393932
61,61,107,203,203,203,Wet,184311971,114393933
0,0,0,61,61,107,Moist,184311971,114393934
0,0,0,61,61,107,Moist,184311972,114393935
61,61,107,203,203,203,Wet,184311972,114393936
0,0,0,61,61,91,Moist,184311973,114393937
61,61,91,203,203,203,Wet,184311973,114393938
0,0,0,76,76,107,Moist,184311974,114393939
76,76,107,203,203,203,Wet,184311974,114393940
0,0,0,0,0,30,Moist,184311975,114393941
0,0,30,203,203,203,Wet,184311975,114393942
46,46,91,203,203,203,Wet,184311976,114393943
0,0,0,46,46,91,Moist,184311976,114393944
0,0,0,46,46,91,Moist,184311977,114393945
46,46,91,203,203,203,Wet,184311977,114393946
15,15,46,203,203,203,Wet,184311978,114393947
0,0,0,15,15,46,Moist,184311978,114393948
76,76,107,203,203,203,Wet,184311979,114393949
0,0,0,76,76,107,Moist,184311979,114393950
0,0,0,15,15,61,Moist,184311980,114393951
15,15,61,203,203,203,Wet,184311980,114393952
0,0,0,30,30,61,Moist,184311981,114393953
30,30,61,203,203,203,Wet,184311981,114393954
0,0,0,15,15,61,Moist,184311982,114393955
15,15,61,203,203,203,Wet,184311982,114393956
0,0,0,0,0,30,Moist,184311983,114393957
0,0,30,203,203,203,Wet,184311983,114393958
15,15,46,203,203,203,Wet,184311984,114393959
0,0,0,15,15,46,Moist,184311984,114393960
0,0,0,30,30,61,Moist,184311985,114393961
30,30,61,203,203,203,Wet,184311985,114393962
0,0,0,61,61,91,Moist,184311986,114393963
61,61,91,203,203,203,Wet,184311986,114393964
76,76,107,203,203,203,Wet,184311987,114393965
0,0,0,76,76,107,Moist,184311987,114393966
91,91,122,203,203,203,Wet,184311988,114393967
0,0,0,91,91,122,Moist,184311988,114393968
0,0,0,76,76,107,Moist,184311989,114393969
76,76,107,203,203,203,Wet,184311989,114393970
0,0,0,46,46,91,Moist,184311990,114393971
46,46,91,203,203,203,Wet,184311990,114393972
0,0,0,61,61,107,Moist,184311991,114393973
61,61,107,203,203,203,Wet,184311991,114393974
46,46,91,203,203,203,Wet,184311992,114393975
0,0,0,46,46,91,Moist,184311992,114393976
61,61,107,203,203,203,Wet,184311993,114393977
0,0,0,61,61,107,Moist,184311993,114393978
