hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Cg,NA,C,,NA,90,160,190,200,200,200,NA,40,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,85,98,43,58,72,25,44,55,0,2,4,2,5,6,4,10,15,9,17,21,5,10,16,29,35,50,13,15,19,17,20,30,16,21,33,1,3,6,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.6,1.7,1.81,2.63,1.41,9.17,42.34,0.11,0.18,0.19,NA,NA,NA,21.1,27.6,33.5,8.3,13.2,21.5,27,36,40,1,1.9,4,24,30,43,7,12,23,0,4,15,0.32,0.32,12,20,25,0,0,0,0,0,0,0,0,2,10.9,14.3,21.2,NA,NA,NA,49.6,53,60.2,7.9,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,51411209
Ak,NA,A,,NA,13,20,30,17,41,60,NA,21,NA,0,0,3,0,0,1,87,98,100,72,92,98,65,89,98,49,68,78,24,32,39,0,0,2,2,2,5,4,8,12,9,12,17,6,10,14,29,36,42,10,13,16,18,23,26,27,32,38,1,5,10,2,5,6,NA,NA,NA,1.3,1.35,1.45,NA,NA,NA,1.46,1.51,1.57,2.55,0.42,2.82,14.11,0.15,0.18,0.19,NA,NA,NA,25.7,33.6,36.9,14.4,23,28.1,33,43,46,2.4,3.6,4.9,38,50,59,14,21,26,4,13,22,0.24,0.24,20,25,30,0,0,0,0,0,0,0,0,2,21.6,23.2,24.1,NA,NA,NA,60.3,61.9,63.1,7.4,8,8.4,7,7.5,8,NA,NA,NA,NA,NA,NA,0,2.3,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,51411210
Ap,NA,A,,NA,0,0,0,13,20,30,NA,20,NA,0,1,4,0,1,2,85,98,100,66,90,98,61,87,98,47,68,79,19,30,39,0,0,2,2,2,5,4,7,12,9,12,17,6,9,11,33,38,44,11,15,20,20,23,30,27,32,38,1,5,10,4,7,10,NA,NA,NA,0.95,1.05,1.3,NA,NA,NA,1.03,1.13,1.38,2.52,0.42,2.82,14.11,0.15,0.18,0.23,NA,NA,NA,24.3,31.5,35.6,12.6,19.4,25.4,36,51,57,1.8,2.3,2.9,42,54,66,14,20,25,3,13,23,0.24,0.24,20,25,30,0,0,0,0,0,0,0,0,2,22.2,23.5,24.6,NA,NA,NA,60.9,62.2,63.6,6.6,7.5,8.4,7,7.5,8,NA,NA,NA,NA,NA,NA,0.8,4.4,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,51411211
Bkg,NA,B,,NA,17,41,60,90,160,190,NA,119,NA,0,0,3,0,0,1,88,98,100,73,93,98,63,88,98,43,62,72,30,39,52,0,0,3,2,2,6,4,10,13,9,16,21,6,11,14,29,36,42,8,13,17,18,23,27,17,25,31,1,5,10,0.5,1.5,3,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.45,1.5,1.7,2.61,1.41,9.17,14.11,0.15,0.18,0.19,NA,NA,NA,21.2,29.2,33.2,8.3,15.3,20.8,30,42,45,0.9,2.3,3.4,25,36,46,6,14,21,0,7,14,0.32,0.32,20,25,30,0,0,0,0,0,0,0,0,2,13.2,16.9,18.1,NA,NA,NA,51.9,55.6,57.1,7.4,8,8.4,7,7.5,8,NA,NA,NA,NA,NA,NA,0,0.4,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,51411212
Cg,NA,C,,NA,75,127,200,200,200,200,NA,73,NA,0,0,3,0,0,1,89,98,100,75,93,98,65,86,97,49,66,75,25,35,44,0,2,4,2,4,5,4,6,9,7,13,18,5,10,12,30,37,45,13,16,19,18,21,30,22,28,34,0,2,5,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.66,1.76,1.83,2.62,1.41,2.82,14.11,0.14,0.15,0.19,NA,NA,NA,24,31,34.4,12,18.3,23.2,27,35,40,1.8,3.1,4.4,30,37,44,12,18,24,2,9,17,0.37,0.37,0,15,20,0,0,0,0,0,0,0,0,2,15.4,19.9,22.6,NA,NA,NA,15.2,58.6,61.6,6.6,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0.3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,51411213
Bg,NA,B,,NA,60,99,150,75,127,200,NA,28,NA,0,0,3,0,0,1,88,98,100,73,93,98,67,90,98,56,75,84,12,24,35,0,1,2,0,1,3,2,4,7,6,10,15,5,8,11,38,45,53,10,15,20,25,30,40,27,31,36,0,0,0,0.5,1.5,2.5,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.54,1.59,1.65,2.58,0.42,2.82,14.11,0.15,0.17,0.2,NA,NA,NA,25.1,31.7,34.8,13.5,19.3,23.9,29,42,45,3.2,4.2,5.5,38,44,51,19,22,25,7,16,22,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,21.2,25,29.2,NA,NA,NA,19.1,24.9,37.2,6.6,7.3,7.8,6.5,7,7.5,NA,NA,NA,NA,NA,NA,1.1,3.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,51411214
Ap,NA,A,,NA,0,0,0,13,23,30,NA,23,NA,0,0,5,0,0,2,98,100,100,85,97,100,79,95,100,66,80,88,14,22,32,0,0,2,0,1,2,2,4,7,5,9,15,5,8,10,38,45,53,10,15,20,25,30,35,28,33,38,0,0,0,5,9,12,NA,NA,NA,0.9,0.95,1.2,NA,NA,NA,0.99,1.04,1.29,2.47,0.42,2.82,14.11,0.17,0.18,0.23,NA,NA,NA,27.4,32.9,35.5,14,20.3,24.7,42,55,57,2,3,4.1,47,60,71,19,23,26,11,21,30,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,23.9,28.4,32.6,NA,NA,NA,19.7,28.2,40.6,6.1,7,7.8,6,7,8,NA,NA,NA,NA,NA,NA,3,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,51411215
A,NA,A,,NA,13,23,30,60,99,150,NA,76,NA,0,0,3,0,0,1,98,100,100,89,98,100,81,96,100,64,77,83,15,26,37,0,0,2,0,1,3,3,5,7,8,12,15,6,8,11,32,41,50,10,15,20,20,26,35,27,33,37,0,0,0,2,6,8,NA,NA,NA,1.25,1.3,1.35,NA,NA,NA,1.38,1.43,1.48,2.51,0.42,2.82,14.11,0.15,0.18,0.23,NA,NA,NA,28.7,35.1,37.5,15.7,24.5,29,41,45,48,2.2,3.3,4.4,40,54,62,18,22,25,10,19,25,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,22.3,27.9,31.3,NA,NA,NA,20.9,27.2,39.3,6.6,7,7.8,6.4,6.9,7.4,NA,NA,NA,NA,NA,NA,1.7,5.9,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,51411216
Ap,NA,A,,NA,0,0,0,13,20,30,NA,20,NA,0,0,0,0,0,0,100,100,100,97,100,100,91,99,100,83,92,97,5,11,16,0,0,1,0,0,1,1,2,3,2,4,6,3,5,8,45,53,60,15,19,25,28,34,40,30,36,41,0,0,0,5,9,12,NA,NA,NA,0.9,0.95,1.2,NA,NA,NA,1.05,1.1,1.35,2.47,0.42,0.92,14.11,0.12,0.22,0.23,NA,NA,NA,29.8,33.5,35.7,15.4,21,25.1,46,55,57,2.6,4.9,6.9,49,64,75,20,25,28,18,29,38,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,24.8,29.5,33.4,NA,NA,NA,21.2,28.4,33.4,6.1,6.8,7.3,6,6.8,7,NA,NA,NA,NA,NA,NA,4.4,7.7,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,51411521
Cg,NA,C,,NA,60,97,200,200,200,200,NA,103,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,90,98,57,81,91,5,16,35,0,1,3,0,2,5,1,3,8,2,6,16,3,4,13,39,53,66,10,15,22,26,38,48,20,31,37,0,1,5,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.69,1.79,1.91,2.61,0.42,2.82,14.11,0.14,0.19,0.22,NA,NA,NA,22.8,31.6,34.9,10.4,19.3,24.1,27,35,40,1.4,3.7,5.8,28,41,48,11,21,26,3,16,26,0.37,0.37,0,15,20,0,0,0,0,0,0,0,0,2,14.5,22.4,24.3,NA,NA,NA,14.3,61.1,63.3,6.6,7.4,8.4,7,7.2,7.5,NA,NA,NA,NA,NA,NA,0,2.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,51411522
