monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628367
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628368
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628369
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628370
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628371
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628372
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628373
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628374
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628375
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628376
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628377
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598782,184628378
2,February,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628379
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628380
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628381
1,January,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628382
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628383
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628384
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628385
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598783,184628386
3,March,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598783,184628387
4,April,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598783,184628388
5,May,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598783,184628389
6,June,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598783,184628390
2,February,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629303
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629304
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629305
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629306
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629307
12,December,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629308
1,January,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629309
11,November,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598860,184629310
3,March,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598860,184629311
4,April,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598860,184629312
5,May,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598860,184629313
6,June,None,,Occasional,Brief (2 to 7 days),0,15,30,NA,NA,NA,NA,NA,NA,17598860,184629314
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629315
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629316
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629317
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629318
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629319
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629320
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629321
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629322
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629323
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629324
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629325
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598861,184629326
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629327
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629328
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629329
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629330
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629331
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629332
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629333
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629334
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629335
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629336
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629337
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598862,184629338
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628943
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628944
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628945
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628946
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628947
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628948
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628949
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628950
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628951
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628952
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628953
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598830,184628954
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628955
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628956
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628957
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628958
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628959
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628960
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628961
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628962
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628963
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628964
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628965
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598831,184628966
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628967
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628968
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628969
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628970
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628971
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628972
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628973
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,17598832,184628974
