erokind,rvindicator,cokey,coeroacckey
Sheet erosion,No ,18663930,1377596
Rill erosion,Yes,18663930,1377597
Sheet erosion,No ,18663931,1377598
Rill erosion,Yes,18663931,1377599
Sheet erosion,No ,18663932,1377600
Rill erosion,Yes,18663932,1377601
Sheet erosion,Yes,18663933,1377602
Rill erosion,No ,18663933,1377603
Sheet erosion,No ,18663934,1377604
Rill erosion,Yes,18663934,1377605
Sheet erosion,No ,18664079,1377783
Rill erosion,Yes,18664079,1377784
Sheet erosion,No ,18664080,1377785
Rill erosion,Yes,18664080,1377786
Sheet erosion,No ,18664081,1377787
Rill erosion,Yes,18664081,1377788
Rill erosion,Yes,18664145,1377831
Sheet erosion,No ,18664145,1377832
