monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795795
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795796
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795797
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795798
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795799
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795800
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795801
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795802
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795803
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795804
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795805
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663930,195795806
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795807
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795808
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795809
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795810
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795811
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795812
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795813
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795814
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795815
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795816
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795817
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663931,195795818
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795819
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795820
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795821
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795822
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795823
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795824
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795825
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795826
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795827
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795828
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795829
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663932,195795830
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795831
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795832
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795833
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795834
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795835
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795836
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795837
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795838
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795839
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795840
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795841
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663933,195795842
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795843
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795844
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795845
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795846
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795847
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795848
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795849
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795850
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795851
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795852
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795853
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,18663934,195795854
