desgnsuffix,chkey,chdesgnsfxkey
p,54694489,21960181
t,54694491,21960302
g,54694491,21960303
g,54694492,21960192
g,54694493,21960304
p,54694494,21960301
t,54694495,21960180
t,54694497,21959753
g,54694497,21959754
p,54694796,21960299
t,54694797,21959750
t,54694798,21959891
g,54694798,21959892
p,54694799,21960175
g,54694800,21960176
t,54694800,21960177
g,54694801,21960178
t,54694801,21960179
g,54694802,21960297
t,54694802,21960298
g,54694803,21959749
g,54694804,21960300
t,54694805,21959751
g,54694805,21959752
p,54694806,21959893
t,54695484,21959651
g,54695485,21960098
t,54695485,21960099
p,54695487,21959650
t,54695489,21960082
g,54695489,21960083
g,54695490,21960084
p,54695491,21960085
g,54695492,21960102
t,54695493,21960100
g,54695493,21960101
p,54695494,21959652
g,54695495,21959952
t,54695495,21959953
g,54695496,21959657
t,54695496,21959658
t,54695497,21959804
g,54695497,21959805
p,54695498,21959801
g,54695499,21959802
t,54695499,21959803
