structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Fine,Subangular blocky,1,2,29899878,36544753
Moderate,Fine,Granular,2,NA,29899878,36544754
Moderate,Fine,Subangular blocky,NA,NA,29899879,36544755
Moderate,Fine,Granular,NA,NA,29899880,36544756
Moderate,Fine,Subangular blocky,NA,NA,29899883,36544759
Weak,Fine,Subangular blocky,NA,NA,29900011,36544946
Moderate,Fine,Subangular blocky,NA,NA,29900014,36544949
Moderate,Fine,Subangular blocky,NA,NA,29900083,36545041
Weak,Fine,Granular,NA,NA,29900084,36545042
,,Massive,NA,NA,29900085,36545043
Weak,Fine,Granular,NA,NA,29900086,36545044
Moderate,Medium,Subangular blocky,NA,NA,29900087,36545045
Structureless,,Massive,NA,NA,29900088,36545046
Weak,Medium,Prismatic,NA,NA,29900280,36545325
Moderate,Medium,Subangular blocky,2,NA,29900281,36545326
Weak,Medium,Prismatic,1,2,29900281,36545327
Weak,Medium,Prismatic,1,2,29900282,36545328
Weak,Fine,Subangular blocky,2,NA,29900282,36545329
,,Massive,NA,NA,29900283,36545330
Moderate,Fine,Granular,NA,NA,29900416,36545521
Moderate,Fine,Subangular blocky,NA,NA,29900417,36545522
Moderate,Coarse,Prismatic,NA,NA,29900418,36545523
Structureless,,Massive,NA,NA,29900678,36545914
Moderate,Fine,Subangular blocky,NA,NA,29900679,36545915
Weak,Medium,Subangular blocky,2,NA,29900680,36545916
Weak,Fine,Angular blocky,1,NA,29900680,36545917
Moderate,Fine,Subangular blocky,NA,NA,29900681,36545918
Moderate,Medium,Prismatic,NA,NA,29900682,36545919
Moderate,Fine,Granular,NA,NA,29900734,36546001
Moderate,Fine,Subangular blocky,NA,NA,29900735,36546002
Moderate,Fine,Subangular blocky,NA,NA,29900736,36546003
Weak,Fine,Prismatic,NA,NA,29900737,36546004
Moderate,Fine,Subangular blocky,NA,NA,29900738,36546005
Moderate,Fine,Granular,NA,NA,29900739,36546006
Weak,Fine,Subangular blocky,NA,NA,29900740,36546007
Weak,Fine,Subangular blocky,1,2,29900785,36546076
Moderate,Fine,Granular,2,NA,29900785,36546077
Weak,Medium,Prismatic,1,2,29900786,36546078
Weak,Fine,Subangular blocky,2,NA,29900786,36546079
,,Massive,NA,NA,29900787,36546080
Moderate,Fine,Granular,NA,NA,29900788,36546081
Moderate,Fine,Subangular blocky,NA,NA,29900819,36546120
Weak,Fine,Prismatic,NA,NA,29900820,36546121
Moderate,Medium,Granular,NA,NA,29900821,36546122
Weak,Fine,Subangular blocky,2,NA,29900822,36546123
Weak,Thick,Platy,1,2,29900822,36546124
