featkind,featdept.l,featdept.r,featdept.h,featdepb.l,featdepb.r,featdepb.h,featthick.l,featthick.r,featthick.h,cokey,codiagfeatkey
Mollic epipedon,0,0,0,18,20,27,18,20,27,18658362,9584304
Argillic horizon,27,36,41,41,122,148,14,86,107,18658362,9584305
Albic horizon,18,20,27,27,36,41,9,16,23,18658362,9584306
Mollic epipedon,0,0,0,15,18,30,15,18,30,18658363,9584302
Argillic horizon,15,18,30,30,97,180,15,79,150,18658363,9584303
Mollic epipedon,0,0,0,15,18,30,15,18,30,18658439,9584298
Argillic horizon,15,18,30,30,97,180,15,79,150,18658439,9584299
Mollic epipedon,0,0,0,25,31,35,25,31,35,18658440,9584296
Argillic horizon,25,31,35,110,152,180,95,121,155,18658440,9584297
Albic horizon,20,23,30,30,41,45,10,18,18,18658441,9584300
Argillic horizon,30,41,45,45,119,140,50,78,100,18658441,9584301
Mollic epipedon,0,0,0,24,28,33,24,28,33,18658603,9584101
Argillic horizon,24,28,33,65,170,185,41,142,152,18658603,9584102
Mollic epipedon,0,0,0,15,20,25,15,20,25,18658604,9584075
Argillic horizon,25,33,55,55,135,140,30,102,110,18658604,9584076
Mollic epipedon,0,0,0,15,20,25,15,20,25,18658605,9584103
Argillic horizon,15,20,25,25,125,130,30,105,110,18658605,9584104
Ochric epipedon,0,0,0,15,18,25,NA,18,NA,18658606,9584107
Argillic horizon,15,18,25,200,200,200,NA,182,NA,18658606,9584108
