hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
Ap,NA,A,NA,NA,0,0,0,13,23,25,NA,23,NA,0,0,1,0,0,1,94,100,100,85,98,100,81,97,100,68,81,90,15,23,40,0,0,1,0,0,3,2,5,6.5,4.3,7.2,12.6,6.9,10.8,13.1,39,54,60,16,22,24,23,32,36,20,23,30,0,0,0,4.5,5,5.5,NA,NA,NA,1.29,1.34,1.39,NA,NA,NA,1.42,1.47,1.59,2.54,1,9,10,0.13,0.14,0.16,NA,NA,NA,27.8,31.7,34.4,14.8,18.2,22.6,39,44,47,3,3.1,5.9,40,44,51,13,15,21,8,13,22,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.1,2,17.6,20,25.6,NA,NA,NA,13.8,17.9,25.4,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,6.9,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368279
A,NA,A,NA,NA,13,23,25,22,38,49,NA,15,NA,0,0,1,0,0,1,94,100,100,85,98,100,81,96,100,66,79,88,15,25,40,0,0,1,0,0,3,2,7,8.4,4.3,7.2,12.6,6.9,10.8,13.1,37,52,60,15,21,24,22,31,36,20,23,30,0,0,0,3,3.5,4,NA,NA,NA,1.22,1.32,1.42,NA,NA,NA,1.35,1.45,1.57,2.56,1,9,10,0.12,0.14,0.17,NA,NA,NA,26.5,30.4,33.2,12.9,16.2,20.5,38,46,50,3,3.1,5.9,36,41,48,13,15,21,7,12,20,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0.1,2,17.3,19.8,25.2,NA,NA,NA,13.1,18.4,25.2,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,6.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368280
BA,NA,BA,NA,NA,22,38,49,27,48,61,NA,10,NA,0,0,1,0,0,1,94,100,100,85,98,100,76,91,100,57,68,77,15,35,40,0,1.6,3,0,3,7.1,4,10,11.4,4.3,12.1,12.6,4.3,8.3,13.1,30,42,57,14,19,26,16,23,31,20,23,30,0,0,0,2.25,2.75,3.25,NA,NA,NA,1.28,1.33,1.38,NA,NA,NA,1.4,1.45,1.58,2.57,1,9,10,0.12,0.14,0.17,NA,NA,NA,26,29.8,32.8,12.2,15.4,19.8,40,45,48,3,3,5.9,35,39,47,13,16,21,5,9,16,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.1,2,17.1,19.6,25,NA,NA,NA,13.4,17.5,24.6,5.1,6.2,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,6.1,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368281
Bw,NA,B,NA,NA,27,48,61,30,61,75,NA,13,NA,0,0,1,0,0,1,93,95,100,86,92,100,76,86,98,58,67,78,15,32,40,0,1.6,3,0,3,6.1,4,8.4,9.8,4.3,11,12.6,5,8,13.1,30,43,58,14,19,26,16,24,32,20,25,30,0,0,0,1.5,2,2.5,NA,NA,NA,1.45,1.58,1.7,NA,NA,NA,1.62,1.75,1.89,2.58,1,9,10,0.11,0.13,0.17,NA,NA,NA,26.7,30.5,34.3,13.3,17.7,22.4,29,35,42,3,3.3,5.9,33,39,45,13,17,21,5,9,16,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.1,2,16.9,20.8,24.8,NA,NA,NA,12.9,18,24.7,5.1,5.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,7.1,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368282
2Bg1,2,B,NA,1,30,61,75,51,89,94,NA,28,NA,0,0,1,0,0,1,92,96,99,86,93,97,71,81,90,50,59,66,30,42,50,2.6,3.7,4.7,3.7,7.1,7.8,5.2,7.9,8.8,9.5,14.2,15.6,9,9.1,14.4,18,31,46,8,14,21,10,17,25,22,27,32,0,0,1,0.5,1,1.5,NA,NA,NA,1.75,1.83,1.9,NA,NA,NA,1.97,1.99,2.05,2.59,0.01,0.7,1,0.08,0.09,0.13,NA,NA,NA,20.9,24.7,28.5,13,16,19,28,28,38,3,3.7,5.9,33,39,45,14,19,22,4,9,13,0.32,0.32,0,0,15,0,0,0,0,0,0,0,0.1,2,17.6,21.7,25,NA,NA,NA,15.8,21.3,64,6.6,7.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,3,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368283
2Bg2,2,B,NA,2,51,89,94,84,117,122,NA,28,NA,0,0,1,0,0,1,92,96,99,86,93,97,71,81,90,50,59,66,30,42,50,2.6,3.7,4.7,3.7,7.1,7.8,5.2,7.9,8.8,9.5,14.2,15.6,9,9.1,14.4,18,31,46,8,14,21,10,17,25,22,27,32,0,0,1,0.25,0.5,0.75,NA,NA,NA,1.75,1.83,1.9,NA,NA,NA,1.97,1.99,2.05,2.6,0.01,0.7,1,0.08,0.11,0.13,NA,NA,NA,21.9,25.7,28.5,13,16,19,28,28,38,3,3.6,5.9,32,38,43,14,19,23,4,9,13,0.32,0.32,0,0,15,0,0,0,0,0,0,0,0.1,2,17.1,21.2,24.4,NA,NA,NA,15.5,21.1,63.4,6.6,7.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368284
2BCg,2,BC,NA,NA,84,117,122,115,152,184,NA,35,NA,0,0,1,0,1,1,92,96,99,86,93,97,71,80,89,49,57,64,35,44,50,3.1,3.8,4.7,4.4,7.7,8.3,6.1,8.3,8.8,11,14.9,15.6,8.3,9.3,14.4,28,34,46,12,15,21,16,19,25,18,22,27,0,1,5,0,0.25,0.5,NA,NA,NA,1.75,1.83,1.9,NA,NA,NA,1.88,1.96,2.03,2.62,0.01,0.7,1,0.08,0.1,0.14,NA,NA,NA,21.4,25.6,29.7,10,15.6,20.1,23,28,35,0,2.2,2.9,26,32,38,9,14,19,1,5,10,0.37,0.37,0,13,25,0,0,0,0,0,0,0,0.1,2,12.9,16.4,17.6,NA,NA,NA,12.2,55.1,56.6,6.6,7.5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368285
2BC,2,BC,NA,NA,115,152,184,200,200,200,NA,48,NA,0,0,1,0,1,1,92,96,99,86,93,97,71,80,89,49,57,64,35,44,50,3.1,3.8,4.7,4.4,7.7,8.3,6.1,8.3,8.8,11,14.9,15.6,8.3,9.3,14.4,28,34,46,12,15,21,16,19,25,18,22,27,0,1,5,0,0.25,0.5,NA,NA,NA,1.75,1.83,1.9,NA,NA,NA,1.88,1.96,2.03,2.62,0.01,0.7,1,0.08,0.1,0.14,NA,NA,NA,21.4,25.6,29.7,10,15.6,20.1,23,28,35,0,2.2,2.9,26,32,38,9,14,19,1,5,10,0.37,0.37,0,13,25,0,0,0,0,0,0,0,0.1,2,12.9,16.4,17.6,NA,NA,NA,12.2,55.1,56.6,6.6,7.5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587852,51368286
2BC,2,BC,NA,NA,81,97,155,200,200,200,NA,103,NA,0,0,1,0,1,1,92,96,99,86,93,97,69,80,89,47,57,67,35,44,52,1.6,3.8,5.8,4.2,7.7,9.2,6.9,8.3,10.1,9.5,14.9,18.8,7.2,9.3,13.7,28,34,47,NA,14,NA,NA,20,NA,18,22,27,0,1,5,0,0.25,0.5,NA,NA,NA,1.75,1.83,1.9,NA,NA,NA,1.88,1.96,2,2.62,0.01,0.7,1,0.12,0.12,0.18,NA,NA,NA,21.4,25.6,29.7,11.7,15.6,20.1,24,28,31,0,2.2,2.9,26,32,38,9,14,19,1,5,11,0.37,0.37,0,13,25,0,0,0,0,0,0,0,0.1,2,12.9,16.4,17.6,NA,NA,NA,12.2,55.1,56.6,6.6,7.9,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587853,51368287
Bg,NA,B,NA,NA,36,46,60,46,58,75,NA,12,NA,0,0,1,0,0,1,95,100,100,87,98,100,77,91,98,61,75,83,20,28,40,1.1,2.5,5.1,1.8,3.7,6.7,4.1,4.8,8.3,7.7,8.7,13.3,8.1,8.3,13.6,32,45,53,NA,16,NA,NA,29,NA,22,27,28,0,0,0,2,3,4,NA,NA,NA,1.45,1.58,1.7,NA,NA,NA,1.65,1.78,1.88,2.57,1,3,10,0.13,0.14,0.23,NA,NA,NA,27.5,33.7,35.2,15.8,21.9,24.2,29,36,41,3,4,5.9,37,43,48,15,17,19,7,13,18,0.37,0.37,0,0,15,0,0,0,0,0,0,0,0.1,2,18.6,22.7,23.7,NA,NA,NA,17,22.3,62.7,6.1,7.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,3.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,17587853,51368288
