structgrade,structsize,structtype,structid,structpartsto,chstructgrpkey,chstructkey
Weak,Medium,Subangular blocky,NA,NA,27422205,33534350
Weak,Fine,Subangular blocky,NA,NA,27422120,33534251
Weak,Fine,Granular,NA,NA,27422121,33534252
Moderate,Coarse,Prismatic,NA,NA,27422409,33534597
Moderate,Extremely coarse,Prismatic,NA,NA,27422409,33534598
Weak,Medium,Prismatic,1,2,27422411,33534601
Moderate,Fine,Subangular blocky,2,NA,27422411,33534602
Moderate,Fine,Granular,NA,NA,27422425,33534620
Weak,Fine,Subangular blocky,NA,NA,27422571,33534792
Moderate,Fine,Subangular blocky,NA,NA,27422622,33534849
Moderate,Medium,Subangular blocky,NA,NA,27422622,33534850
Weak,Fine,Subangular blocky,NA,NA,27422635,33534867
Weak,Extremely coarse,Prismatic,NA,NA,27422640,33534872
Weak,Medium,Subangular blocky,NA,NA,27422412,33534603
Weak,Fine,Granular,NA,NA,27422421,33534616
Moderate,Coarse,Prismatic,NA,NA,27422423,33534618
Moderate,Fine and medium,Subangular blocky,NA,NA,27422424,33534619
Weak,Medium,Prismatic,1,2,27422426,33534621
Moderate,Fine and medium,Subangular blocky,2,NA,27422426,33534622
,,Massive,NA,NA,27422638,33534870
Moderate,Coarse,Prismatic,NA,NA,27422204,33534349
Weak,Fine,Subangular blocky,NA,NA,27422238,33534388
Weak,Medium,Subangular blocky,NA,NA,27422238,33534389
Weak,Medium,Subangular blocky,NA,NA,27422427,33534623
Weak,Medium,Subangular blocky,NA,NA,27422572,33534793
Weak,Medium,Subangular blocky,1,2,27422624,33534852
Weak,Fine,Granular,2,NA,27422624,33534853
Moderate,Fine and medium,Subangular blocky,NA,NA,27422636,33534868
Weak,Medium,Prismatic,NA,NA,27422639,33534871
Weak,Fine,Granular,NA,NA,27422408,33534595
Weak,Fine,Subangular blocky,NA,NA,27422408,33534596
Weak,Fine,Subangular blocky,NA,NA,27422410,33534599
Weak,Medium,Subangular blocky,NA,NA,27422410,33534600
Weak,Fine,Subangular blocky,NA,NA,27422422,33534617
Weak,Fine,Subangular blocky,NA,NA,27422623,33534851
Weak,Very coarse,Subangular blocky,NA,NA,27422634,33534866
Weak,Fine,Subangular blocky,NA,NA,27422637,33534869
Weak,Fine,Subangular blocky,NA,NA,27422721,33534969
Weak,Coarse,Prismatic,1,2,27422724,33534972
Moderate,Medium,Subangular blocky,2,NA,27422724,33534973
Moderate,Fine,Granular,NA,NA,27422783,33535045
Moderate,Medium,Subangular blocky,NA,NA,27422793,33535058
Weak,Fine and medium,Subangular blocky,NA,NA,27422723,33534971
Weak,Very coarse,Prismatic,NA,NA,27422781,33535043
Moderate,Fine,Granular,NA,NA,27422782,33535044
Weak,Medium,Subangular blocky,NA,NA,27422784,33535046
Weak,Fine,Granular,NA,NA,27422794,33535059
Moderate,Coarse,Prismatic,NA,NA,27422704,33534947
Moderate,Extremely coarse,Prismatic,NA,NA,27422704,33534948
Weak,Fine,Subangular blocky,NA,NA,27422706,33534950
Weak,Fine,Granular,NA,NA,27422705,33534949
Weak,Fine,Subangular blocky,NA,NA,27422720,33534968
Weak,Medium,Subangular blocky,NA,NA,27422722,33534970
Weak,Fine,Granular,NA,NA,27422725,33534974
Weak,Medium,Subangular blocky,NA,NA,27422726,33534975
Weak,Medium,Subangular blocky,NA,NA,27422791,33535055
Weak,Medium,Prismatic,1,2,27422792,33535056
Strong,Very fine,Subangular blocky,2,NA,27422792,33535057
