unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,51368210,96404018
ML,No ,51368210,96404019
SC,No ,51368210,96404020
ML,Yes,51368217,96404032
CL,No ,51368217,96404033
MH,No ,51368217,96404034
CL,No ,51368219,96404037
SC,Yes,51368219,96404038
CL,Yes,51368224,96404047
CL,Yes,51368226,96404050
CH,Yes,51368233,96404057
CL,No ,51368235,96404059
CH,Yes,51368235,96404060
CL,Yes,51368283,96404135
SC,No ,51368285,96404137
CL,Yes,51368285,96404138
CL,Yes,51368292,96404152
CL,Yes,51368220,96404039
SC,No ,51368220,96404040
SC,No ,51368221,96404041
CL,Yes,51368221,96404042
ML,No ,51368222,96404043
CL,Yes,51368222,96404044
ML,No ,51368223,96404045
CL,Yes,51368223,96404046
SC-SM,No ,51368237,96404062
SC,Yes,51368237,96404063
SC-SM,No ,51368238,96404064
SC,Yes,51368238,96404065
SC-SM,No ,51368239,96404066
SC,Yes,51368239,96404067
CL,Yes,51368240,96404068
CL,Yes,51368287,96404141
SC,No ,51368287,96404142
ML,No ,51368288,96404143
CL,Yes,51368288,96404144
MH,No ,51368289,96404145
CL,No ,51368289,96404146
ML,Yes,51368289,96404147
MH,Yes,51368290,96404148
CL,No ,51368290,96404149
CL,Yes,51368212,96404022
SC,No ,51368212,96404023
CL,Yes,51368213,96404024
SC-SM,No ,51368213,96404025
CL,Yes,51368214,96404026
SC-SM,No ,51368214,96404027
CL,Yes,51368215,96404028
SC,No ,51368215,96404029
ML,Yes,51368228,96404052
CL,Yes,51368229,96404053
CL,Yes,51368230,96404054
CL,Yes,51368231,96404055
CH,Yes,51368232,96404056
ML,Yes,51368279,96404129
MH,No ,51368279,96404130
CL,No ,51368280,96404131
ML,Yes,51368280,96404132
CL,Yes,51368281,96404133
CL,Yes,51368282,96404134
CL,Yes,51368209,96404017
CL,Yes,51368211,96404021
SC,Yes,51368216,96404030
SC-SM,No ,51368216,96404031
CL,Yes,51368218,96404035
ML,No ,51368218,96404036
SC-SM,No ,51368225,96404048
CL,Yes,51368225,96404049
ML,Yes,51368227,96404051
CH,Yes,51368234,96404058
CL,Yes,51368236,96404061
CL,Yes,51368284,96404136
SC,No ,51368286,96404139
CL,Yes,51368286,96404140
MH,Yes,51368291,96404150
ML,No ,51368291,96404151
CL,Yes,51368293,96404153
