soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,183,183,203,Moist,184500333,114579677
183,183,203,203,203,203,Wet,184500333,114579678
0,0,0,168,168,203,Moist,184500334,114579679
168,168,203,203,203,203,Wet,184500334,114579680
0,0,0,137,137,198,Moist,184500335,114579681
137,137,198,203,203,203,Wet,184500335,114579682
0,0,0,122,122,183,Moist,184500336,114579683
122,122,183,203,203,203,Wet,184500336,114579684
0,0,0,137,137,198,Moist,184500337,114579685
137,137,198,203,203,203,Wet,184500337,114579686
0,0,0,152,152,203,Moist,184500338,114579687
152,152,203,203,203,203,Wet,184500338,114579688
0,0,0,183,183,203,Moist,184500339,114579689
183,183,203,203,203,203,Wet,184500339,114579690
0,0,0,203,203,203,Moist,184500340,114579691
0,0,0,203,203,203,Moist,184500341,114579692
0,0,0,203,203,203,Moist,184500342,114579693
0,0,0,168,168,203,Moist,184500343,114579694
168,168,203,203,203,203,Wet,184500343,114579695
0,0,0,183,183,203,Moist,184500344,114579696
183,183,203,203,203,203,Wet,184500344,114579697
0,0,0,91,91,168,Moist,184500345,114579698
91,91,168,203,203,203,Wet,184500345,114579699
0,0,0,76,76,152,Moist,184500346,114579700
76,76,152,203,203,203,Wet,184500346,114579701
46,46,122,203,203,203,Wet,184500347,114579702
0,0,0,46,46,122,Moist,184500347,114579703
0,0,0,30,30,107,Moist,184500348,114579704
30,30,107,203,203,203,Wet,184500348,114579705
0,0,0,46,46,122,Moist,184500349,114579706
46,46,122,203,203,203,Wet,184500349,114579707
61,61,137,203,203,203,Wet,184500350,114579708
0,0,0,61,61,137,Moist,184500350,114579709
0,0,0,91,91,168,Moist,184500351,114579710
91,91,168,203,203,203,Wet,184500351,114579711
107,107,183,203,203,203,Wet,184500352,114579712
0,0,0,107,107,183,Moist,184500352,114579713
0,0,0,122,122,198,Moist,184500353,114579714
122,122,198,203,203,203,Wet,184500353,114579715
107,107,183,203,203,203,Wet,184500354,114579716
0,0,0,107,107,183,Moist,184500354,114579717
0,0,0,76,76,152,Moist,184500355,114579718
76,76,152,203,203,203,Wet,184500355,114579719
0,0,0,91,91,168,Moist,184500356,114579720
91,91,168,203,203,203,Wet,184500356,114579721
0,0,0,203,203,203,Moist,184500357,114579722
0,0,0,203,203,203,Moist,184500358,114579723
0,0,0,203,203,203,Moist,184500359,114579724
0,0,0,203,203,203,Moist,184500360,114579725
0,0,0,203,203,203,Moist,184500361,114579726
0,0,0,203,203,203,Moist,184500362,114579727
0,0,0,203,203,203,Moist,184500363,114579728
0,0,0,203,203,203,Moist,184500364,114579729
0,0,0,203,203,203,Moist,184500365,114579730
0,0,0,203,203,203,Moist,184500366,114579731
0,0,0,203,203,203,Moist,184500367,114579732
0,0,0,203,203,203,Moist,184500368,114579733
46,46,122,203,203,203,Wet,184500369,114579734
0,0,0,46,46,122,Moist,184500369,114579735
107,107,183,203,203,203,Wet,184500370,114579736
0,0,0,107,107,183,Moist,184500370,114579737
0,0,0,91,91,168,Moist,184500371,114579738
91,91,168,203,203,203,Wet,184500371,114579739
91,91,168,203,203,203,Wet,184500372,114579740
0,0,0,91,91,168,Moist,184500372,114579741
30,30,107,203,203,203,Wet,184500373,114579742
0,0,0,30,30,107,Moist,184500373,114579743
0,0,0,91,91,168,Moist,184500374,114579744
91,91,168,203,203,203,Wet,184500374,114579745
0,0,0,61,61,137,Moist,184500375,114579746
61,61,137,203,203,203,Wet,184500375,114579747
0,0,0,76,76,152,Moist,184500376,114579748
76,76,152,203,203,203,Wet,184500376,114579749
107,107,183,203,203,203,Wet,184500377,114579750
0,0,0,107,107,183,Moist,184500377,114579751
0,0,0,46,46,122,Moist,184500378,114579752
46,46,122,203,203,203,Wet,184500378,114579753
0,0,0,122,122,198,Moist,184500379,114579754
122,122,198,203,203,203,Wet,184500379,114579755
0,0,0,76,76,152,Moist,184500380,114579756
76,76,152,203,203,203,Wet,184500380,114579757
0,0,0,203,203,203,Moist,184500381,114579758
0,0,0,203,203,203,Moist,184500382,114579759
0,0,0,203,203,203,Moist,184500383,114579760
0,0,0,203,203,203,Moist,184500384,114579761
0,0,0,203,203,203,Moist,184500385,114579762
0,0,0,203,203,203,Moist,184500386,114579763
0,0,0,203,203,203,Moist,184500387,114579764
0,0,0,203,203,203,Moist,184500388,114579765
0,0,0,203,203,203,Moist,184500389,114579766
0,0,0,203,203,203,Moist,184500390,114579767
0,0,0,203,203,203,Moist,184500391,114579768
0,0,0,203,203,203,Moist,184500392,114579769
0,0,0,76,76,152,Moist,184500453,114579875
76,76,152,200,200,200,Wet,184500453,114579876
0,0,0,46,46,122,Moist,184500454,114579877
46,46,122,200,200,200,Wet,184500454,114579878
0,0,0,76,76,152,Moist,184500455,114579879
76,76,152,200,200,200,Wet,184500455,114579880
0,0,0,107,107,183,Moist,184500456,114579881
107,107,183,200,200,200,Wet,184500456,114579882
0,0,0,46,46,122,Moist,184500457,114579883
46,46,122,200,200,200,Wet,184500457,114579884
0,0,0,122,122,198,Moist,184500458,114579885
122,122,198,200,200,200,Wet,184500458,114579886
0,0,0,61,61,137,Moist,184500459,114579887
61,61,137,200,200,200,Wet,184500459,114579888
0,0,0,91,91,168,Moist,184500460,114579889
91,91,168,200,200,200,Wet,184500460,114579890
0,0,0,30,30,107,Moist,184500461,114579891
30,30,107,200,200,200,Wet,184500461,114579892
0,0,0,91,91,168,Moist,184500462,114579893
91,91,168,200,200,200,Wet,184500462,114579894
0,0,0,91,91,168,Moist,184500463,114579895
91,91,168,200,200,200,Wet,184500463,114579896
