texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SICL,No ,Yes,Silty clay loam,51251098,102402867
CL,No ,No ,Clay loam,51251099,102402868
SICL,No ,Yes,Silty clay loam,51251099,102402869
SIL,No ,No ,Silt loam,51251099,102402870
CL,No ,No ,Clay loam,51251100,102402871
L,No ,Yes,Loam,51251100,102402872
SICL,No ,Yes,Silty clay loam,51251101,102402873
SICL,No ,Yes,Silty clay loam,51251102,102402874
SICL,No ,Yes,Silty clay loam,51251103,102402875
SICL,No ,Yes,Silty clay loam,51251104,102402876
SIL,No ,No ,Silt loam,51251104,102402877
L,No ,No ,Loam,51251105,102402878
CL,No ,Yes,Clay loam,51251105,102402879
CL,No ,No ,Clay loam,51251106,102402880
L,No ,Yes,Loam,51251106,102402881
SICL,No ,Yes,Silty clay loam,51251107,102402882
SICL,No ,Yes,Silty clay loam,51251108,102402883
SIL,No ,Yes,Silt loam,51251109,102402884
SICL,No ,No ,Silty clay loam,51251109,102402885
SICL,No ,Yes,Silty clay loam,51251110,102402886
CL,No ,No ,Clay loam,51251111,102402887
GR-CL,No ,Yes,Gravelly clay loam,51251111,102402888
L,No ,No ,Loam,51251111,102402889
SICL,No ,Yes,Silty clay loam,51250873,102402462
SIL,No ,No ,Silt loam,51250874,102402463
SICL,No ,Yes,Silty clay loam,51250874,102402464
SIL,No ,Yes,Silt loam,51250875,102402465
SICL,No ,No ,Silty clay loam,51250875,102402466
SIL,No ,Yes,Silt loam,51250876,102402467
SICL,No ,No ,Silty clay loam,51250876,102402468
SICL,No ,Yes,Silty clay loam,51250877,102402469
SICL,No ,Yes,Silty clay loam,51250878,102402470
SICL,No ,Yes,Silty clay loam,51250879,102402471
SICL,No ,Yes,Silty clay loam,51250880,102402472
SIL,No ,Yes,Silt loam,51250881,102402473
SIL,No ,Yes,Silt loam,51250882,102402474
SICL,No ,Yes,Silty clay loam,51250883,102402475
SIC,No ,No ,Silty clay,51250884,102402476
SICL,No ,Yes,Silty clay loam,51250884,102402477
SIC,No ,No ,Silty clay,51250885,102402478
SICL,No ,Yes,Silty clay loam,51250885,102402479
SICL,No ,Yes,Silty clay loam,51250886,102402480
SIL,No ,No ,Silt loam,51250886,102402481
SIL,No ,Yes,Silt loam,51250887,102402482
SIL,No ,Yes,Silt loam,51251112,102402890
SICL,No ,Yes,Silty clay loam,51251113,102402891
SIC,No ,No ,Silty clay,51251113,102402892
SICL,No ,Yes,Silty clay loam,51251114,102402893
SIC,No ,No ,Silty clay,51251115,102402894
SICL,No ,Yes,Silty clay loam,51251115,102402895
SICL,No ,Yes,Silty clay loam,51251116,102402896
SIL,No ,No ,Silt loam,51251116,102402897
SICL,No ,Yes,Silty clay loam,51251117,102402898
SIL,No ,No ,Silt loam,51251117,102402899
SIL,No ,Yes,Silt loam,51251118,102402900
SICL,No ,No ,Silty clay loam,51251118,102402901
SICL,No ,Yes,Silty clay loam,51251119,102402902
SICL,No ,Yes,Silty clay loam,51251120,102402903
SIL,No ,Yes,Silt loam,51251121,102402904
SICL,No ,No ,Silty clay loam,51251121,102402905
SICL,No ,Yes,Silty clay loam,51251122,102402906
SIL,No ,No ,Silt loam,51251123,102402907
SICL,No ,Yes,Silty clay loam,51251123,102402908
SIL,No ,Yes,Silt loam,51251124,102402909
SICL,No ,No ,Silty clay loam,51251124,102402910
SIL,No ,Yes,Silt loam,51251125,102402911
SICL,No ,No ,Silty clay loam,51251125,102402912
