ApsimVersion = 7.9 r4044
Title = CS_270_base
           Date           year      CropYield      corn_buac       soy_buac          Bioma      RootDepth         sowDOY       emergDOY     FlowerDate   MaturityDate    Harvest_doy   FallFrostDOY    LAI_maximum       ETAnnual CropTranspiration      TotalNupt     GrainlNupt AvgDroughtStress AvgExcessiveWStress     AvgNStress  AvgWTInseason DaysWTbelow50cm       EOAnnual   RunoffAnnual       Drainage             NR     GrossMiner       NetMiner     NlossTotal         Denitr   NLeachAnnual          AvgWT  NO3_atHarvest   NO3_atSowing NO3_30cmHarvest NO3_30cmSowing   CropYield_kg        SOC_7cm       SOC_22cm       SOC_45cm       SOC_75cm      SOC_105cm        crop_hi Maize_GrainsNumber Maize_GrainSize ResidueWTatSowing ResidueNatSowing      SoyNfixed       StoverWT StoverNitrogen       StoverCN    FOM_january   BIOM_january  RootWt_atHarv       RS_ratio      NconcRoot       NHI_crop
   (dd/mm/yyyy)         (year)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()                ()             ()             ()               ()                  ()             ()           (mm)              ()           (mm)           (mm)             ()        (kg/ha)        (kg/ha)        (kg/ha)             ()        (kg/ha)             ()           (mm)        (kg/ha)        (kg/ha)              ()             ()             ()             ()             ()             ()             ()             ()             ()                 ()             (g)           (kg/ha)          (kg/ha)        (g/m^2)             ()             ()             ()        (kg/ha)        (kg/ha)             ()             ()             ()             ()
     31/12/1991           1991         68.123          0.000         68.123       8826.575       1567.940              0              ?        169.000        237.000        135.000        263.000          6.180        834.194           329.702        303.726        246.613            0.968               1.000          1.000       1665.366           4.000        985.449         61.272        -26.532            0.5          143.5          124.1         41.182           27.9         13.404       1339.178           42.8           38.7           7.101          7.101       3977.628          2.407          2.086          1.457          0.730          0.490          0.505              0.000           0.000             455.3              4.0          23.15      -3977.628          0.000         40.246          634.7         4183.8          0.000          0.000          0.000          0.000
     31/12/1992           1992        232.532        232.532          0.000      23679.213       1526.500            122        128.000        198.000        269.000        294.000        290.000          4.655        664.053           261.184        232.456        151.962            1.993               1.000          1.819       1364.485           0.000        933.197         33.483        170.051          170.0          101.7           79.5         40.146           26.3         13.800       1117.327           10.8           46.4          12.208         12.208      12430.954          2.409          2.075          1.456          0.730          0.491          0.532           3721.904           0.334             729.7              8.4           0.00       9287.829         70.692         52.554          626.8         3882.0       2314.486          0.098          1.070          0.654
     31/12/1993           1993         13.789          0.000         13.789       1625.879        541.460            122        128.000        187.000        262.000        285.000        281.000          0.927        427.788            82.185         58.377         49.918            1.000               0.806          1.000        429.470         118.000        861.153        391.201        554.797            0.8           61.0           10.4          8.241            5.4          2.790        703.563            5.1            5.7           0.430          0.430        805.125          2.433          2.070          1.456          0.730          0.491          0.534              0.000           0.000            3826.7             27.4           5.20       -805.125          0.000         42.694         2257.7         3714.2          0.000          0.000          0.000          0.000
     31/12/1994           1994        238.472        238.472          0.000      21885.781       1541.080            121        129.000        193.000        253.000        293.000        298.000          4.403        766.898           293.089        209.934        148.305            1.994               1.000          1.706       1691.631           0.000        976.412         37.474       -130.200          170.0           99.3           86.8         18.359           14.2          4.166       1438.052           23.7           35.9          30.693         30.693      12748.486          2.436          2.059          1.454          0.730          0.491          0.590           4213.492           0.303             159.8              1.6           0.00       8059.664         56.241         57.323         2773.6         4098.8       2097.239          0.096          1.069          0.706
     31/12/1995           1995         47.251          0.000         47.251       6160.041       1353.389            121        129.000        192.000        257.000        292.000        264.000          4.478        518.555           222.145        207.587        171.054            1.000               1.000          1.000       1087.453          22.000        890.574         39.703        188.868            0.3           90.2           48.0         15.283           10.2          5.024       1088.920           16.2           10.9           0.392          0.392       2758.930          2.458          2.052          1.454          0.731          0.492          0.507              0.000           0.000            2856.5             19.3          20.41       2679.627         22.792         47.028         2162.3         3929.9       1092.593          0.201          1.503          0.882
     31/12/1996           1996        221.584        221.584          0.000      20999.924       1516.842            122        129.000        198.000        255.000        294.000        276.000          4.402        715.202           265.492        200.599        140.366            1.994               1.000          1.712       1365.445           0.000        927.505         48.767        110.670          170.0          100.9           83.9         47.137           34.2         12.919       1190.046           18.1           33.8          20.423         20.423      11845.699          2.463          2.044          1.452          0.731          0.492          0.572           3909.750           0.303             891.8              8.9           0.00       7718.131         53.053         58.192         2359.3         4209.7       2241.714          0.107          1.068          0.700
     31/12/1997           1997         52.488          0.000         52.488       6116.051       1505.425            122        129.000        186.000        258.000        292.000        293.000          3.572        515.333           221.081        226.452        190.013            1.000               0.998          1.000       1279.543           3.000        931.076         14.028        150.453            0.5          100.7           55.6         16.241           11.3          4.932       1144.192           23.1           10.7           0.536          0.536       3064.727          2.484          2.038          1.452          0.731          0.492          0.545              0.000           0.000            2992.4             19.7          21.73      -3064.727          0.000         39.455         2474.4         4104.3          0.000          0.000          0.000          0.000
     31/12/1998           1998        212.079        212.079          0.000      19952.795       1139.010            121        126.000        192.000        244.000        293.000        307.000          4.123        699.044           268.281        208.309        145.512            1.994               1.000          1.688       1365.531           2.000        930.437         43.030        103.790          170.0          139.3          114.9         64.498           51.0         13.514       1187.943           41.9           46.8          26.839         26.839      11337.575          2.476          2.029          1.450          0.731          0.492          0.577           4340.429           0.261             515.5              5.9           0.00       7063.976         55.041         51.336         1879.6         4344.0       1911.856          0.096          1.071          0.699
     31/12/1999           1999        216.492        216.492          0.000      21054.113       1278.683            139        144.000        205.000        265.000        294.000        276.000          4.382        593.202           288.125        221.212        154.131            1.994               1.000          1.785       1120.141          17.000        953.699        152.314        212.028          270.0           88.7           43.4        103.029           85.6         17.384       1068.492           18.6          105.4          58.807         58.807      11573.454          2.498          2.025          1.450          0.731          0.492          0.556           3581.548           0.323            1445.2             10.5           0.00       7938.312         59.369         53.484         2007.9         3988.7       2069.815          0.098          1.070          0.697
     31/12/2000           2000         49.847          0.000         49.847       6379.148       1511.191            139        144.000        186.000        254.000        296.000        280.000          4.228        547.304           237.146        217.538        180.451            1.000               0.999          1.000       1370.537           0.000        931.820          4.332          4.250            0.3          113.5           55.0         12.824            9.6          3.246       1297.672           20.0           10.3           1.000          1.000       2910.503          2.530          2.019          1.449          0.730          0.492          0.507              0.000           0.000            2650.6             18.8          20.52      -2910.503          0.000         46.989         2368.0         4257.8          0.000          0.000          0.000          0.000
     31/12/2001           2001        153.530        153.530          0.000      19601.291       1564.819            129        134.000        199.000        248.000        288.000        278.000          4.246        737.297           283.303        220.879        119.163            1.993               1.000          1.748       1660.832           0.000        934.504         42.863        -50.372          270.0          135.6          110.9         94.486           65.9         28.801       1347.172          122.5           89.5          55.756         55.756       8207.602          2.526          2.011          1.447          0.730          0.492          0.429           2918.412           0.281             261.9              2.8           0.00       9935.600         94.425         42.089         1618.0         4634.6       1995.121          0.102          1.070          0.539
     31/12/2002           2002         49.579          0.000         49.579       6228.838       1196.625            129        134.000        183.000        251.000        287.000        280.000          3.710        466.648           242.959        214.306        179.484            1.000               0.971          1.000        952.830          44.000        945.810         50.424        194.766            0.6          105.3           46.6         77.663           54.5         23.006       1072.422           37.5           63.3           1.551          1.551       2894.909          2.598          2.005          1.447          0.730          0.492          0.504              0.000           0.000            5490.2             61.9          19.20       2748.585         23.312         47.161         2880.3         4351.9        976.354          0.170          1.505          0.877
     31/12/2003           2003        222.443        222.443          0.000      22562.502       1515.853            119        126.000        198.000        253.000        294.000        273.000          4.381        764.488           322.851        264.722        171.059            1.992               1.000          1.759       1504.379           0.000        945.893         40.312        -36.708          270.0          149.1          131.9        106.153           73.6         32.677       1350.156           86.5           70.2          38.821         38.821      11891.621          2.592          1.999          1.445          0.730          0.492          0.536           3969.878           0.300             688.5              7.1           0.00       8969.938         85.158         42.133         2700.0         5379.6       2283.177          0.101          1.071          0.646
     31/12/2004           2004         52.548          0.000         52.548       6201.609       1505.198            119        126.000        196.000          0.000        258.000        276.000          4.222        545.573           198.274        243.747        190.230            1.000               0.968          1.000       1095.485          14.000        893.732         56.209        222.150            0.6          113.9           66.0         64.586           42.0         22.489       1073.173           17.1           47.8           0.967          0.967       3068.222          2.629          1.995          1.445          0.730          0.492          0.495              0.000           0.000            2610.5             22.9          20.56       3055.143         51.953         23.523         2605.5         5009.8       1187.182          0.191          1.500          0.780
     31/12/2005           2005        233.752        233.752          0.000      21651.859       1565.943            125        129.000        196.000        250.000        290.000        280.000          4.426        795.764           313.194        246.474        165.030            1.993               1.000          1.754       1616.745           0.000        962.564         85.708        -71.495          270.0          183.7          172.8        106.659           74.5         32.396       1373.977          152.1           32.6          12.441         12.441      12496.184          2.599          1.987          1.444          0.730          0.493          0.586           4327.363           0.289             409.4              6.9           0.00       7614.732         73.739         41.307         1880.0         5496.6       2201.335          0.102          1.071          0.670
     31/12/2006           2006         72.101          0.000         72.101       8717.067       1625.284            125        129.000        193.000        275.000        275.000        284.000          7.113        669.672           347.283        323.352        261.014            0.985               1.000          1.000       1701.412           0.000        920.123          0.020        -27.169            0.2          136.4           96.6         74.914           55.6         19.075       1334.513           24.6           80.3           2.233          2.233       4209.901          2.627          1.982          1.443          0.730          0.493          0.534              0.000           0.000            1369.8             12.2          24.94      -4209.901          0.000         34.367         2165.7         4717.3          0.000          0.000          0.000          0.000
     31/12/2007           2007        217.744        217.744          0.000      21657.084       1567.982            133        138.000        199.000        251.000        284.000        296.000          4.646        778.282           310.354        243.568        155.859            1.985               1.000          1.777       1610.156           0.000        979.021         58.537        114.864          270.0          174.3          149.7        129.974           83.9         46.172       1172.850          127.8          155.3         104.327        104.327      11640.394          2.610          1.974          1.441          0.730          0.493          0.548           4324.691           0.269             441.5              5.8           0.00       8754.530         81.398         43.021         1377.5         5014.2       2434.440          0.112          1.069          0.640
     31/12/2008           2008         44.045          0.000         44.045       5133.578       1148.790            133        138.000        195.000          0.000        266.000        295.000          2.565        536.432           179.289        190.159        159.448            1.000               0.911          1.000        837.057          36.000        874.250        208.189        383.303            0.4           90.0           42.6         83.664           55.7         27.764        889.273           31.1           61.2           0.968          0.968       2571.750          2.644          1.971          1.441          0.730          0.493          0.501              0.000           0.000            2339.5             20.5          16.20       2499.945         29.017         34.462         2181.6         4490.0        869.350          0.169          1.503          0.841
