ApsimVersion = 7.9 r4044
Title = Corn_0_oat39
           Date           year      CropYield   CropBiomamas      RootDepth     FlowerDate   MaturityDate    LAI_maximum      TotalNupt  AvgWTInseason     RainSeason NfertilizerAmount     GrossMiner       NetMiner SowingNO3_60cm
   (dd/mm/yyyy)         (year)             ()        (kg/ha)           (mm)          (doy)          (doy)      (m^2/m^2)        (g/m^2)           (mm)           (mm)           (kg/ha)        (kg/ha)        (kg/ha)             ()
     31/12/2000           2000        162.622        17195.2       1595.272        210.000        268.000          3.988          14.21       2004.461        341.300               0.0          156.9          144.7         28.743
     31/12/2001           2001         93.020        15105.3       1529.075        198.000        251.000          3.610          13.09       1699.789        403.098               0.0          157.8          148.3         18.766
     31/12/2002           2002        158.268        15844.4       1512.225        197.000        251.000          3.675          13.43       1695.001        452.882               0.0          162.0          151.2         21.066
     31/12/2003           2003        144.717        16214.9       1262.025        202.000        260.000          3.912          13.88       1479.041        466.217               0.0          163.3          152.5         22.801
     31/12/2004           2004        157.067        16884.7       1532.390        202.000        270.000          3.739          13.94       1580.167        462.784               0.0          166.3          155.9         19.195
     31/12/2005           2005        164.292        16783.5       1534.683        200.000        256.000          4.138          14.70       1780.024        571.857               0.0          172.4          159.4         24.846
     31/12/2006           2006        158.745        16108.9       1563.460        197.000        251.000          3.817          14.14       1964.925        323.088               0.0          164.0          153.8         23.503
     31/12/2007           2007        149.879        16095.9       1529.766        193.000        245.000          4.080          13.79       1684.020        437.286               0.0          165.1          155.5         17.955
     31/12/2008           2008        134.032        14640.5       1226.788        202.000        266.000          3.327          12.59       1057.950        719.582               0.0          157.2          145.4         14.082
     31/12/2009           2009        161.678        16569.4       1563.582        202.000        268.000          3.705          13.87       1664.402        407.757               0.0          162.8          150.6         18.762
     31/12/2010           2010        136.059        15262.6       1000.163        197.000        248.000          3.889          13.02        982.849        849.884               0.0          157.0          147.3         23.135
     31/12/2011           2011        135.840        15512.6       1359.755        200.000        255.000          3.653          13.56       1475.999        326.898               0.0          167.9          153.1         15.678
     31/12/2012           2012        149.404        15810.7       1436.600        189.000        240.000          4.213          12.35       1915.922        236.970               0.0          126.6          123.1         28.269
     31/12/2013           2013        145.436        14589.2       1502.000        194.000        249.000          3.851          11.66       1585.744        276.352               0.0          145.9          131.2         13.639
     31/12/2014           2014        138.016        15456.4       1057.593        199.000        261.000          3.676          13.09       1090.197        699.262               0.0          157.4          145.8         17.551
     31/12/2015           2015        169.299        17102.8       1398.230        200.000        256.000          4.157          14.16       1331.255        735.326               0.0          164.5          152.8         25.040
     31/12/2016           2016        145.319        16365.2       1513.706        195.000        250.000          3.870          14.54       1726.313        535.960               0.0          167.1          157.9         24.287
